	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_117	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_3	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_26	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Tac2_tdTpositive_cell_1	Rbp4_CTX_250ng_1
1500011B03Rik	627.63	203.63	0.0	0.0	274.1	0.0	5.49	38.89	5.84	640.25	59.36	267.69	117.47	300.36	55.39	119.0	28.17	531.09	0.0	112.31	44.06	0.0	927.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	282.31	149.42
Arhgap32	74.09	86.84	0.0	0.0	0.0	0.0	0.17	0.04	0.0	0.04	7.2	14.09	2.51	16.92	3.15	1.23	0.0	0.02	0.0	61.01	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64	137.07
Astn1	131.37	6.46	0.0	0.0	0.0	0.0	0.08	0.27	0.0	0.0	45.22	0.33	71.32	11.31	6.11	6.83	0.03	0.1	0.0	111.49	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.33	113.91
B3galnt1	674.28	146.48	0.0	0.0	0.0	0.0	2.78	1.06	0.15	0.2	176.03	225.99	175.21	294.16	30.82	405.42	0.25	0.63	0.0	573.93	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.72	58.33
Ccl27b	113.94	45.01	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	1.16	2.97	1.44	6.83	0.85	1.96	0.0	0.0	0.0	36.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	30.63
Cspg5	120.74	42.05	0.0	0.0	0.0	0.0	0.15	0.11	0.0	0.1	22.27	33.53	7.57	30.07	6.76	46.66	0.19	0.06	0.0	2.41	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.19	163.54
D3Bwg0562e	237.67	75.88	0.4	0.4	0.78	0.03	2.34	1.03	0.63	0.73	36.67	32.93	83.86	58.63	41.02	152.2	0.65	0.61	0.33	85.36	7.13	0.0	0.62	0.11	0.33	0.42	0.55	0.62	0.0	0.33	78.53	121.62
Epm2aip1	86.91	81.31	0.02	0.52	0.64	1.73	0.08	0.71	0.1	0.0	27.93	9.35	33.94	98.5	2.05	13.79	0.0	0.19	116.31	46.57	0.18	0.16	0.21	0.0	23.41	0.0	0.34	0.0	0.1	0.14	24.0	81.29
Etv5	13.82	176.16	0.04	0.0	0.0	0.0	0.76	0.31	0.0	0.0	20.41	4.54	21.93	5.07	0.12	121.14	0.19	0.56	0.0	102.72	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.32	79.74
Gabrb2	233.64	507.59	0.0	0.0	0.0	0.0	0.3	0.37	0.04	0.25	474.28	510.3	422.09	489.32	61.0	158.4	0.09	0.22	0.0	286.58	0.04	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	494.27	112.15
Gm13306	113.94	45.01	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	1.16	2.97	1.44	6.83	0.85	1.96	0.0	0.0	0.0	36.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	30.63
Gm14430	11.58	21.38	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	5.35	24.87	13.32	9.19	6.94	0.11	0.0	0.21	0.0	1.3	0.03	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	8.51	7.67
Gm14434	11.58	21.38	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	5.35	24.87	13.32	9.19	6.94	0.11	0.0	0.21	0.0	1.3	0.03	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	8.51	7.67
Gm2506	113.94	45.01	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	1.16	2.97	1.44	6.83	0.85	1.96	0.0	0.0	0.0	36.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	30.63
Gm4724	11.58	21.38	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	5.35	24.87	13.32	9.19	6.94	0.11	0.0	0.21	0.0	1.3	0.03	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	8.51	7.67
Kif5c	132.76	168.45	0.0	0.0	0.0	0.0	0.25	0.06	0.0	0.05	97.47	117.2	46.6	173.63	37.32	34.47	0.14	0.07	0.0	224.95	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.21	410.62
Lin7a	137.17	64.8	0.03	0.0	0.0	0.0	0.29	0.16	0.12	0.0	116.98	17.05	53.22	10.35	7.9	62.02	0.08	0.24	0.0	404.2	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.07	0.0	0.0	14.23	29.65
Lrrc27	82.89	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	51.24	22.87	44.34	0.14	72.74	0.0	0.0	0.0	59.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.77	8.26
Mapk10	111.74	379.06	0.1	0.0	0.0	0.0	1.59	0.36	0.0	0.05	117.48	152.98	302.2	148.3	22.45	498.39	0.04	0.23	0.0	237.5	0.2	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	206.9	134.09
Myt1l	69.71	154.08	0.02	0.0	0.0	0.0	0.97	0.11	0.08	0.0	45.61	103.98	31.54	55.55	12.14	50.17	0.0	0.03	0.0	103.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.24	108.73
Ncan	114.86	143.64	0.1	0.08	0.15	0.09	1.36	1.73	0.27	0.11	7.67	29.29	17.29	46.38	0.79	134.44	0.2	0.48	0.0	88.19	0.21	0.09	0.0	0.08	0.0	0.0	0.35	0.06	0.1	0.0	7.06	87.88
Necap1	570.55	494.82	0.0	0.0	0.0	0.0	1.46	0.17	522.17	0.0	280.93	473.83	983.18	976.11	71.79	435.27	0.6	0.4	0.0	627.45	0.24	0.0	0.0	0.0	296.65	0.0	0.0	0.0	0.0	0.0	455.2	181.74
Osbpl3	1.1	72.88	0.0	0.09	0.0	0.0	0.0	0.06	0.0	0.0	36.38	16.38	5.48	31.28	0.03	51.58	0.0	0.0	0.0	3.31	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.14	17.31
Pclo	64.28	49.36	0.06	0.03	0.06	0.0	5.59	0.14	0.04	0.3	24.42	32.44	39.01	73.97	28.01	49.98	0.07	0.07	0.0	34.39	0.0	0.0	0.0	0.0	0.39	0.03	0.34	0.0	0.0	0.0	20.63	60.14
Pgm2l1	179.93	144.39	0.02	0.0	0.0	0.0	0.6	0.39	0.04	0.04	33.42	35.56	8.38	30.5	48.19	256.22	0.14	0.19	0.0	262.08	31.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.65	139.14
Pgm3	22.59	54.78	0.0	0.0	0.0	0.12	0.78	0.0	0.0	0.0	18.83	35.78	3.58	49.11	17.71	60.19	0.0	0.05	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.16	8.23
Pms2	6.99	121.58	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.12	0.16	1.86	37.24	52.72	0.49	1.28	0.05	0.0	0.0	0.12	0.0	0.0	0.0	0.21	0.0	299.03	0.0	0.0	0.0	0.0	29.2	11.87
Prpf8	187.44	26.03	0.0	0.3	0.0	0.0	0.0	0.11	0.0	0.0	14.79	31.59	3.35	35.51	11.71	69.73	0.03	2.78	0.0	48.14	0.0	61.7	0.0	107.88	0.0	0.0	1.35	34.34	10.59	0.0	31.05	85.01
Slc4a10	405.27	261.66	0.03	0.0	0.0	0.0	1.28	0.29	3.12	0.07	41.88	77.43	117.74	349.96	35.87	145.01	0.17	0.13	0.0	109.19	0.16	0.0	0.1	0.0	18.59	0.0	0.0	0.0	0.0	0.0	56.2	157.25
Sncb	244.74	98.24	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	333.9	195.88	240.66	178.55	54.37	146.45	0.0	0.2	0.0	178.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.67	500.1
St8sia3	102.65	179.69	0.0	0.0	0.0	0.0	1.1	0.35	0.0	0.01	3.38	95.21	36.07	16.86	10.18	162.51	0.04	0.15	0.0	151.21	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.11	0.0	0.0	91.72	74.77
Sult4a1	275.8	472.26	0.0	0.0	0.0	0.0	2.69	0.17	0.12	0.16	296.08	294.19	332.14	356.33	61.32	238.93	0.3	0.1	0.0	166.11	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.88	438.7
Trf	0.0	0.0	22673.57	25143.74	40934.39	29291.22	59004.26	16338.74	25492.58	28131.18	0.0	0.0	0.0	0.0	0.0	0.0	18745.12	20574.64	24636.45	0.0	26091.44	39899.4	24883.01	47798.56	67608.53	30444.99	26736.61	24780.17	25232.5	31832.26	0.14	219.44
