	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_20	Ctgf_tdTpositive_cell_21	Ctgf_tdTpositive_cell_23	Cux2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_121	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_51	Nos1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_71	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_172	Rbp4_tdTpositive_cell_173	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700029J07Rik	0.0	0.0	0.16	0.08	0.0	0.0	0.0	74.6	0.17	0.0	0.0	36.91	10.3	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.12	0.17	0.0	0.0	0.0	0.08	0.26	0.0	1.21	0.11	0.04	0.0	0.13	0.0	0.0	0.22	0.15	0.0	0.0	0.0	0.0	0.0	35.31	0.04	0.05	12.91	0.0	0.0	0.0	0.0	0.0	0.1	0.13	0.0	0.0	0.0	0.32	0.18	2.58	6.4	5.25	1.6	5.79	0.0	2.54	0.0	1.3	1.42	3.79	1.73	14.93	0.12	5.71	0.0	0.0	0.14	0.0	0.0	0.0	15.65	5.44	4.68	4.83
1700110K17Rik	0.0	0.0	0.0	0.0	0.0	1.69	0.0	12.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.76	0.0	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.3	0.17
1810010H24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.56	0.0	0.0	1.76	0.0	0.0	0.0	0.34	0.0	2.86	14.11	12.15	8.98	3.02	0.32	5.61	1.94	3.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76	5.37	5.01
1810041L15Rik	7.15	31.31	0.0	8.58	0.0	0.0	11.11	124.46	0.07	0.0	45.79	18.43	0.0	0.03	3.54	0.05	0.0	15.46	0.0	0.0	0.0	69.61	1.04	63.91	0.05	0.0	0.0	0.06	0.0	53.07	96.23	2.63	13.3	0.12	22.37	7.43	11.67	33.33	0.15	27.77	0.1	25.69	0.08	48.84	18.43	0.06	0.0	0.0	0.1	0.0	0.65	0.05	0.0	10.24	0.63	44.63	0.0	54.86	0.08	6.05	1.32	5.91	10.37	17.79	9.58	21.3	11.42	5.08	14.15	7.47	11.82	0.06	0.0	82.14	0.05	10.89	64.34	54.19	0.1	0.07	0.0	27.73	26.54	27.94
2010317E24Rik	0.0	0.07	0.21	0.0	0.19	0.0	0.0	0.4	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.2	0.0	0.05	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.12	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.19	0.0	0.2	0.19	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.1	0.0	0.0	1.1	1.19	1.11
2610028E06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.09	0.0	0.0	0.09	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.76	0.63	0.24
2810049E08Rik	0.0	0.0	1.47	0.67	0.61	1.57	0.52	99.78	0.91	0.39	4.05	1.41	0.61	1.34	1.48	1.02	30.54	0.0	2.36	0.0	1.22	2.09	1.46	0.14	5.32	1.27	1.68	0.0	0.61	1.45	0.0	0.0	0.15	1.33	1.1	0.32	1.08	3.21	1.03	1.6	0.0	1.0	1.66	0.89	0.7	1.01	1.66	1.13	1.69	0.0	1.4	53.48	24.71	2.97	8.42	0.7	0.0	7.21	0.0	5.0	1.08	1.08	0.95	4.59	3.07	4.37	2.8	0.52	0.77	1.6	2.93	0.95	2.69	0.26	0.72	0.9	1.11	1.7	0.87	0.67	0.0	9.34	6.75	7.46
2900026A02Rik	0.12	0.83	2.02	25.85	0.85	13.79	13.03	42.95	1.25	0.14	14.23	12.85	13.15	29.7	0.92	0.41	1.23	0.49	21.33	0.08	1.86	3.61	1.25	31.06	1.13	17.74	1.24	0.12	2.01	0.35	0.06	1.58	0.11	6.47	0.19	0.12	0.34	10.41	2.44	0.4	1.6	0.78	29.14	1.44	2.31	6.48	1.81	0.54	1.17	0.0	12.37	1.71	1.72	0.78	0.05	0.42	52.32	11.05	0.3	2.66	6.21	5.36	14.04	6.59	20.5	5.98	12.07	3.87	6.25	10.29	8.86	0.84	22.34	1.5	0.26	22.0	21.37	0.0	2.75	38.97	7.26	31.56	36.11	29.76
4930405A21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.0	0.0	29.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	20.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.7	0.84
4930429D17Rik	0.45	0.0	0.0	1.73	0.4	0.0	0.0	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.17	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.18	0.0	0.38	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.56	0.22	0.22	0.0	0.21	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0
