	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_79	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51
4930511M06Rik	14.24	27.31	0.88	34.63	31.61	65.23	10.35	31.43	36.74	63.62	63.61	57.46	65.14	62.69	53.2	45.0	61.98	66.05	66.94	38.21	41.01	86.97	68.26	39.28	83.53	82.59	66.98	38.62	32.45	53.73	70.66	61.87	60.3	74.84	74.94	73.06	48.0	46.47	122.87	60.72	50.34	83.28	55.24
5430427O19Rik	0.09	2.15	0.0	4.31	3.21	1.8	0.0	1.07	2.51	2.74	3.25	2.72	4.23	2.95	2.13	1.48	0.48	3.2	4.28	0.62	1.75	4.72	7.06	4.22	5.76	3.6	8.28	1.96	1.8	2.52	3.25	4.93	3.5	6.21	3.92	18.88	3.43	2.86	3.34	3.38	2.18	4.93	3.34
5730577I03Rik	8.48	11.13	0.0	14.69	20.75	17.28	0.0	14.82	14.73	24.25	36.18	24.24	31.49	20.77	23.35	23.23	16.28	17.64	19.34	17.59	10.64	38.71	25.59	20.44	42.3	24.7	22.57	8.87	9.39	26.61	19.79	36.93	54.44	30.44	18.57	25.44	17.37	9.53	42.64	23.18	17.57	27.92	25.78
A730017L22Rik	12.26	24.03	0.0	56.88	40.69	47.05	0.58	38.88	35.76	94.8	84.62	45.54	57.68	45.96	49.34	34.74	46.33	50.48	49.98	32.28	18.2	105.97	64.62	38.72	79.79	49.83	91.8	31.05	40.4	47.63	55.36	38.37	63.84	66.42	52.86	112.46	121.21	40.96	111.54	52.73	53.84	88.95	51.44
Adam22	1.62	40.43	1.34	63.12	52.49	50.47	29.32	59.59	32.47	111.33	39.54	123.99	88.36	56.04	83.15	28.36	31.45	65.66	18.35	54.96	30.29	184.35	100.79	57.36	42.58	111.21	161.73	76.49	40.78	28.18	63.76	47.91	35.06	52.57	13.65	53.3	17.99	45.98	65.66	15.02	31.56	22.46	58.32
Bpifc	0.0	0.35	0.0	1.72	0.0	1.01	0.04	1.01	1.07	1.29	1.16	0.93	0.74	0.0	1.86	1.32	0.71	0.0	0.58	0.73	0.9	5.0	2.93	1.17	1.26	1.09	2.91	0.6	0.75	2.79	0.3	0.48	0.24	3.29	3.1	0.75	0.12	0.92	0.61	0.83	0.23	3.63	1.94
Car5b	1.5	1.33	0.6	2.01	1.97	1.62	0.23	1.2	1.93	1.63	2.62	1.45	1.89	2.06	2.31	2.22	1.78	1.85	4.34	1.52	1.13	4.15	5.13	2.7	2.69	1.67	2.48	1.87	1.46	1.72	2.13	2.04	1.31	2.17	2.51	4.21	2.06	2.55	4.76	0.69	1.63	2.87	2.02
Ccdc132	0.03	86.37	0.0	39.71	21.52	0.72	5.05	27.14	11.08	64.65	59.65	144.64	76.34	88.8	61.03	32.2	0.31	1.57	103.78	37.32	12.32	239.22	32.11	68.4	73.51	55.17	61.18	55.18	26.31	30.02	47.11	8.03	0.27	50.6	18.17	37.02	46.49	13.79	67.62	19.19	8.89	79.25	0.29
Cdh10	0.0	0.0	0.0	5.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.93	0.69	23.0	0.0	18.35	0.19	0.0	14.48	0.0	73.36	41.32	0.0	68.64	45.23	79.08	0.0	0.0	1.55	27.71	23.1	0.0	16.42	43.53	0.0	0.0	19.26	0.0	0.0	0.0	10.52	0.0
Csf2rb2	0.08	3.23	0.0	5.81	2.59	3.92	0.31	4.61	3.21	4.33	5.76	3.15	1.9	1.79	3.16	5.15	2.56	4.14	3.35	2.84	2.84	12.82	4.27	5.05	7.16	5.27	6.79	3.55	2.0	3.02	4.65	4.44	5.54	6.16	6.15	5.1	8.93	4.01	8.79	3.41	2.86	4.23	2.11
