	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_4	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_85	Slc17a6_tdTpositive_cell_13	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1700065J18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0
2700062C07Rik	0.0	0.2	162.63	0.0	0.0	0.19	189.88	0.31	69.96	0.0	0.0	0.0	167.47	201.69	114.32	54.0	69.84	49.89
4933400B14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0
5730405O15Rik	0.0	0.49	0.0	0.0	0.0	2.67	17.13	8.03	0.0	0.0	0.5	0.0	0.0	21.64	1.42	4.23	1.62	0.82
5830403M04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.36	0.0	0.0	0.0
AI314831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0
Aida	2.09	6.16	2.78	2.07	0.68	1.0	1.43	73.27	0.51	0.38	1.93	0.66	1.34	92.76	28.02	21.16	8.15	10.25
Ankrd49	0.0	0.0	0.0	0.0	0.0	0.32	2.69	0.06	0.0	1.09	24.83	0.0	0.0	251.11	0.86	47.25	42.45	45.22
Ap2a2	29.31	23.04	56.54	25.06	18.6	45.22	116.28	69.08	33.93	44.26	55.75	4.62	22.01	132.24	97.14	120.75	123.52	134.89
Ap3d1	3.21	2.07	0.1	31.7	47.6	25.89	2.59	44.79	3.23	110.21	52.08	18.88	0.0	168.87	19.98	27.36	24.6	26.69
Arrb1	0.0	0.0	0.0	99.39	0.0	0.0	0.06	8.6	0.02	139.77	0.55	0.0	0.0	64.88	5.18	6.85	6.13	6.38
Asb8	206.64	0.09	122.64	0.31	0.0	134.58	0.2	68.11	0.07	340.31	5.93	0.0	0.0	181.94	130.48	97.41	91.13	93.4
Atp5l	515.11	841.57	609.04	873.28	115.45	982.67	1271.62	1228.47	1252.7	876.71	1136.25	712.91	873.78	1732.9	1416.42	1221.71	1316.19	1300.26
Atp6v0c	886.56	913.98	1273.48	1512.34	1083.91	857.36	1134.47	1479.24	973.55	1061.01	1153.6	825.79	1608.05	2084.2	1386.83	1155.16	1817.26	1708.79
B230312A22Rik	0.0	0.72	0.0	0.0	0.0	0.12	0.14	0.6	0.05	2.51	0.0	0.0	0.0	28.01	4.88	3.36	1.88	1.73
Cdkl5	0.0	0.0	7.59	0.0	0.0	0.0	1.25	77.35	3.76	7.27	17.95	0.0	0.0	93.26	41.99	20.61	10.46	15.99
Chchd3	110.22	96.01	0.0	0.0	0.0	85.55	65.0	238.44	183.72	0.0	5.52	224.94	217.07	193.21	120.35	82.49	83.8	94.73
Cntn5	0.0	0.0	0.0	3.68	0.0	0.0	0.0	9.46	0.0	0.0	0.0	17.7	0.0	100.93	1.74	3.12	1.23	1.15
Crtac1	0.0	0.0	0.0	58.4	0.0	0.29	0.0	0.04	0.0	0.73	0.0	0.0	0.0	61.91	14.46	4.57	2.5	2.26
Deb1	329.54	112.89	442.16	210.38	171.67	386.46	690.23	344.31	120.42	167.38	113.09	0.0	126.63	966.06	449.22	479.32	390.8	456.68
Dnajc17	0.0	0.0	0.0	107.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.8	22.89	9.54	14.66	8.23
Dpcd	94.36	87.78	147.57	139.55	99.32	0.0	143.74	152.95	74.15	85.2	57.57	0.52	0.0	178.34	117.71	166.03	163.78	162.71
Dynlt1c	0.0	2.34	0.0	0.0	0.0	0.0	0.66	0.0	0.76	0.0	0.0	4.87	0.0	137.25	0.0	2.81	10.73	3.66
Ei24	0.0	47.59	0.11	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	27.57	4.72	7.97	3.94	12.76
Elmo2	5.4	8.98	55.76	5.36	8.65	18.31	57.77	99.52	1.42	9.86	48.73	3.29	2.34	172.18	61.31	35.76	61.8	55.57
Etnk2	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0
Fam196a	0.0	0.02	85.27	0.0	99.24	0.04	0.0	33.65	6.12	0.0	0.0	0.0	0.0	63.69	21.35	42.72	39.87	35.93
Gba	0.44	0.35	0.0	0.0	0.0	0.0	0.24	105.29	46.54	190.24	0.06	0.41	0.0	225.93	18.26	31.54	45.49	46.86
Gm4303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0
Gm4305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0
Gm4307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0
Gnpda1	242.49	92.79	0.0	0.0	0.0	139.21	0.19	0.14	0.0	0.0	0.0	0.0	111.27	245.7	61.87	79.98	79.17	82.42
Has3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
Hn1	524.2	258.73	60.92	353.3	94.82	128.56	251.39	291.36	119.72	243.92	239.22	77.62	300.57	631.0	242.65	299.1	308.02	273.97
Lsmd1	126.83	0.21	97.7	32.17	134.63	150.53	187.81	152.49	291.68	88.08	346.82	0.0	139.32	255.67	155.62	101.9	148.8	154.66
Magohb	0.0	0.0	0.0	0.0	78.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.06	39.44	32.21	57.54	33.12
Mfap4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.28	0.0	3.01	0.0	0.0
Myl6	541.58	395.96	530.12	738.1	1239.75	368.19	1142.28	1188.01	1033.6	1314.1	1135.18	735.76	1058.81	2811.48	1246.96	1057.84	1236.18	1087.13
Mylk3	0.0	0.03	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.68	4.19	0.87	0.0	0.56
