	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_39	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Amph	1.13	0.0	132.85	131.78	40.58	181.7	0.0	0.0	0.0	0.0	231.97	0.14	187.19	143.51	157.7	0.0	0.0	0.0	23.59	130.42	25.1	0.37	188.61	87.25	100.88	262.75	80.12	39.56	106.11	104.81	137.74	139.7	633.66	163.78	146.5	113.96	297.89	121.07	228.61	105.94	120.28	0.0	158.38	205.97	197.74	189.72	20.72	131.75	355.69	134.71	0.3	0.0	0.12	0.0	0.0	0.11	204.88	67.08	55.61	1.47	272.41	150.83	118.3	253.62	0.23
Ap2m1	0.3	0.33	1346.21	1474.29	1611.34	2270.71	0.0	0.32	0.0	742.95	1074.99	4.07	1909.38	1560.71	717.78	0.27	0.0	785.88	2639.57	1864.32	1462.93	1359.36	2083.16	1304.67	1484.34	1937.84	1656.71	1975.08	1990.32	2210.66	1831.1	2254.13	2502.35	1648.45	1603.45	1548.72	1436.03	1803.5	1808.59	1987.0	1174.44	614.15	1572.61	1670.99	1534.93	1625.76	1352.06	2106.03	1596.04	1777.37	3.78	1.99	1159.05	1.18	1.47	536.84	2185.15	1624.01	1500.51	1591.32	2185.14	1923.55	1696.99	1822.67	1507.38
Atp5a1	84.95	370.48	490.36	478.2	717.44	753.34	0.0	0.14	498.53	369.34	804.58	23.8	430.78	656.0	1688.11	0.0	0.0	0.0	911.2	540.92	434.61	464.29	738.48	351.7	641.31	524.12	733.21	835.04	1022.64	641.14	474.07	1099.19	863.73	583.34	900.42	547.88	841.68	844.8	563.15	601.48	635.05	268.42	494.03	1003.94	724.64	878.44	826.54	707.49	879.74	469.15	0.0	22.88	0.0	0.0	0.0	51.99	788.44	697.82	397.41	688.45	536.05	471.34	748.3	652.02	777.08
Ciapin1	0.0	87.75	12.96	21.06	0.0	36.74	0.0	0.0	0.0	0.23	29.63	0.22	44.99	2.73	47.45	0.16	0.0	0.0	75.49	11.45	34.99	25.28	90.23	48.91	3.14	25.85	48.17	50.48	40.18	42.44	14.95	44.76	126.79	69.7	61.02	21.78	81.53	47.94	55.77	46.51	67.23	0.05	65.92	59.54	10.13	69.82	6.73	48.05	53.18	15.39	14.84	0.31	0.0	0.28	0.14	0.37	2.43	37.03	39.77	0.0	47.64	48.56	23.05	84.12	24.45
Crhbp	0.0	0.0	7362.95	6339.49	496.64	8007.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10382.36	7732.3	8618.73	8376.74	13129.11	7427.0	7498.9	13484.99	11786.92	8116.93	13619.24	9099.84	14829.4	11772.85	12350.96	8610.23	10536.89	8212.23	0.18	7354.85	9475.0	11364.94	8211.03	2934.61	7935.89	11440.08	11398.61	10468.61	11572.06	10497.6	11678.84	8467.4	0.0	0.0	0.0	0.0	0.0	0.0	12702.79	3482.24	13766.7	1069.07	9058.73	12082.35	3594.21	9589.51	11803.92
Cygb	0.0	0.0	97.59	79.86	0.47	223.61	0.0	0.0	0.0	0.0	11.85	0.0	0.0	0.27	0.0	0.0	0.0	0.0	82.95	67.02	58.91	73.97	131.57	43.99	103.8	29.87	189.84	144.8	255.56	154.66	14.82	143.46	259.52	163.19	99.1	149.21	48.98	32.74	118.87	126.09	70.59	0.0	80.33	103.82	63.02	53.48	67.63	69.55	19.1	188.76	0.0	0.0	0.0	0.0	0.0	0.15	234.2	4.15	213.92	0.0	87.17	122.29	36.71	97.6	70.07
Ddb1	0.0	83.48	5.95	90.34	38.86	35.05	0.0	0.24	0.57	0.0	81.2	1.65	17.07	104.73	3.24	0.0	0.0	0.0	151.54	193.3	101.82	46.43	217.1	136.7	98.75	61.45	98.32	114.86	122.49	130.24	151.72	92.88	287.45	182.94	11.47	34.72	12.12	66.79	67.61	154.13	31.14	113.55	21.51	17.01	77.07	63.12	127.48	31.34	152.23	63.07	0.0	0.16	0.0	0.0	0.0	0.0	88.8	73.93	40.97	1.53	94.48	36.37	70.18	51.28	5.84
Endod1	0.0	0.0	20.03	25.67	8.43	7.49	0.0	0.0	0.0	0.0	75.96	0.0	0.0	15.82	12.62	0.0	0.0	0.0	46.36	0.33	38.44	47.09	4.58	5.2	46.22	91.27	36.38	0.0	26.6	57.4	11.86	32.26	172.04	23.12	14.36	22.71	0.0	4.15	37.93	30.64	23.72	68.95	28.61	28.04	46.35	17.89	35.74	55.82	37.61	62.57	0.64	0.0	217.07	0.0	0.0	0.0	36.1	54.51	20.56	0.0	8.01	6.33	44.06	12.26	23.17
Fxyd6	0.0	0.0	1258.92	1315.02	297.16	2034.75	118.42	0.0	0.0	0.0	0.59	0.26	0.0	0.35	0.57	0.0	0.0	0.0	1975.2	1223.79	2025.66	2007.25	2291.2	1461.07	1368.79	1685.28	2253.15	2060.95	2099.33	2279.12	2422.83	2327.07	2923.97	2288.52	1793.9	2065.79	56.74	2354.93	1668.23	2887.92	1899.8	669.3	2182.04	2023.45	1507.95	1630.87	1572.19	2320.04	2571.73	2110.0	0.0	0.0	0.0	0.0	0.68	0.6	1738.28	0.09	1934.42	1156.97	2172.5	2600.93	1530.91	2351.57	1668.92
Gpi1	69.41	807.75	432.72	1015.27	953.23	552.03	78.15	5.23	915.9	7.95	521.75	21.52	421.63	745.5	295.82	23.49	2.35	0.0	970.98	834.86	906.39	518.66	821.53	616.51	908.15	661.4	906.39	662.78	768.46	500.42	617.85	1479.48	1567.16	836.94	764.12	484.44	908.49	709.09	615.45	624.4	473.2	481.15	189.26	865.88	562.22	599.01	576.52	762.92	1094.09	632.97	409.02	12.93	6.34	14.1	11.91	244.38	716.01	701.79	708.04	430.97	772.5	741.79	627.5	916.32	809.44
