	Calb2_tdTpositive_cell_27	Rbp4_tdTpositive_cell_161	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700018A04Rik	0.0	0.0	0.0	0.14	0.14	0.3
4921510H08Rik	0.0	0.0	0.0	0.0	0.0	0.05
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930526D03Rik	0.0	0.0	0.0	0.14	0.14	0.15
4930539N22Rik	0.0	0.0	2.63	0.0	0.35	0.1
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
Aadat	0.0	0.0	0.0	0.11	0.32	0.06
Adcy10	0.0	0.0	0.0	0.28	0.3	0.43
Adipoq	0.0	0.0	0.0	0.08	0.08	0.25
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Amot	0.0	0.06	0.0	9.57	8.69	9.56
Arhgap24	0.0	0.0	0.0	4.44	4.97	4.42
Arhgef10l	0.0	0.0	0.0	26.99	30.38	29.12
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atf4	0.0	89.18	27.14	161.87	157.26	146.61
Atp12a	0.0	0.0	0.0	0.15	0.09	0.13
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B3galt5	0.0	0.0	0.0	22.83	23.77	23.8
Bcl2l15	0.0	0.0	0.0	0.2	0.31	0.79
Bfsp1	0.0	0.0	0.0	0.71	0.71	0.77
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C7	0.0	0.0	0.0	1.06	1.0	0.6
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc113	0.0	0.0	0.0	2.6	4.38	4.89
Ccdc14	285.06	0.0	0.0	2.08	1.91	2.84
Ccdc148	0.0	0.0	0.17	9.13	8.85	9.16
Ccdc88b	0.0	0.0	0.0	2.13	2.33	2.72
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst5	0.0	0.0	0.0	0.72	0.72	1.16
Cym	0.0	0.0	0.0	0.08	0.08	0.25
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
D830046C22Rik	0.0	0.0	0.0	0.08	0.08	0.17
Dear1	0.0	0.0	0.0	1.68	1.03	1.9
Dennd1a	0.0	0.0	1.32	36.88	35.78	35.53
Dlg4	0.0	0.11	0.37	535.98	535.3	542.17
Dsg1c	0.0	0.0	0.0	0.32	0.32	0.43
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Expi	0.0	0.0	0.0	4.61	2.53	2.18
F11	0.0	0.0	0.0	0.04	0.04	0.05
Fam160a2	0.0	0.0	0.23	24.28	25.16	25.64
Fam195a	0.0	0.0	0.0	11.87	16.48	13.16
Fbxo47	0.0	0.0	0.0	1.16	1.17	1.1
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Frem1	0.0	0.0	0.0	1.26	1.07	1.22
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm11413	0.0	0.0	0.0	0.38	0.4	0.45
Gm12216	0.0	0.0	0.0	1.57	1.48	0.99
Gm13889	0.0	0.0	0.0	38.58	48.56	42.39
Gm20594	0.0	0.0	0.0	0.86	0.0	0.0
Gm5512	0.0	0.0	1.43	3.43	11.16	9.44
Gm572	0.0	0.0	0.0	0.14	0.14	0.07
