	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_56	Nos1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_41	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_31	Sst_tdTpositive_cell_83	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27
2410015M20Rik	638.72	649.02	121.24	0.0	299.68	509.32	237.61	603.17	317.89	107.84	814.04
9530036O11Rik	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.09	0.0	0.0	0.0
AV039307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0
Adamts16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.45	0.0	0.14	0.0
Alg10b	1.58	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0
Atp5l	2873.25	3725.26	1442.21	619.39	1959.02	1340.98	1269.75	2565.22	2121.43	2479.97	2180.24
Atpif1	2193.56	2520.15	450.33	1090.66	1861.2	300.92	1639.58	2084.55	840.17	1805.12	1524.12
Aurkaip1	149.96	472.21	0.0	132.99	571.39	87.97	63.2	285.55	199.43	291.87	187.76
BC002163	1105.58	1415.89	683.68	227.56	593.91	707.17	726.49	719.81	289.55	367.23	719.02
BC089597	0.0	0.0	0.32	0.0	0.44	0.0	0.11	0.24	0.0	0.0	0.0
Cdkn2d	326.5	294.6	75.16	172.24	291.15	15.32	0.44	271.19	246.26	189.64	216.84
Chchd1	261.68	378.3	329.64	290.83	208.9	123.21	321.94	589.75	824.66	405.32	288.43
Ckmt1	836.05	948.5	251.92	126.41	407.93	205.16	161.16	412.36	0.55	1222.06	794.74
Cmas	0.0	7.17	0.0	50.14	145.67	0.0	7.39	92.96	53.81	0.0	88.36
Cobll1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0
D930020B18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0
Dpy30	203.77	490.18	586.09	0.0	199.57	0.0	342.79	327.1	546.35	196.98	290.89
Dynlrb1	2549.26	1406.79	1349.28	1202.71	1269.93	1100.74	1193.25	1833.05	2230.13	1451.0	2742.1
Eif3k	1147.73	1129.56	594.99	673.56	1445.21	381.1	531.5	842.68	291.78	594.48	1137.81
Esd	419.49	182.93	39.26	126.81	449.55	205.88	98.76	288.75	204.14	156.22	195.75
Fabp3	632.58	1622.4	399.58	743.14	802.04	186.5	1098.72	663.96	1743.89	1065.4	1152.98
Fam163a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0
Fbn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0
Fis1	756.72	2380.08	684.59	35.99	554.98	571.95	665.12	1734.75	506.94	160.8	821.12
Gabarapl2	878.9	1759.91	741.88	540.58	779.33	246.83	666.46	931.55	1761.05	1229.37	620.98
Gm14391	92.83	270.13	32.77	3.96	58.12	10.94	57.42	338.16	49.79	139.2	176.56
Gm5111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.68	0.0	0.0	0.0
Gm5177	42.06	53.86	21.62	22.12	45.47	20.4	25.51	52.48	39.3	36.53	42.59
Gm6623	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.38	0.0	0.11	0.0
Gm9897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.04	0.0
Gng13	0.0	167.03	0.0	1.34	106.25	39.56	85.4	410.08	79.89	0.0	103.81
Gng3	1174.97	2244.05	373.47	613.23	1480.92	418.36	1293.89	1323.7	1457.83	1106.57	1365.08
Hcfc1r1	144.06	310.66	132.46	198.68	378.85	0.0	325.95	517.76	191.55	316.24	250.97
Higd2a	483.74	1170.72	268.1	169.02	572.22	309.2	632.65	1127.36	669.18	824.29	723.44
Hist1h2bn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
Hsd3b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.06	0.0	0.0	0.0
Lmo1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0
Lrit1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0
Lsm7	929.2	1054.58	409.67	221.7	472.73	700.47	330.66	634.8	592.22	484.87	795.09
Mcts1	110.33	262.61	5.69	0.0	89.48	26.39	164.08	816.2	42.56	325.72	608.6
Mea1	466.48	979.07	300.83	236.78	770.35	90.3	191.97	598.58	145.11	914.9	806.04
Mrpl13	409.34	504.02	268.83	37.3	283.96	152.25	1.1	188.96	167.65	427.52	0.0
Mrpl20	1292.81	860.5	368.8	147.58	466.87	607.15	607.69	912.26	564.92	640.99	1318.96
Mrps18a	479.23	472.3	532.3	170.24	433.54	149.65	136.83	311.36	166.2	340.22	391.05
Mtss1	0.68	27.04	0.0	0.0	20.4	0.0	0.0	32.14	0.0	0.0	16.91
