	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_51	PvalbD.Slc32a1_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_106	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1110012J17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.12	2.05	19.25	0.23	8.47	23.04	28.3	5.41	7.43	6.81	0.0	0.03	10.41	12.52	250.83	23.42	0.4	69.83	0.52	0.98	1.12	4.64	12.36	0.02
1700034K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.51	0.44	10.46	3.08	0.0	0.0	0.26	0.23	0.0	0.0	0.24	0.0
2010002M12Rik	0.0	0.14	0.0	9.88	8.43	0.0	1.09	0.17	1.7	1.74	1.04	0.25	1.12	0.2	14.04	9.47	0.54	71.53	4.82	3.7	102.63	47.84	32.16	5.98	0.48	0.27	0.04	0.17	0.95	0.0
3110082D06Rik	0.0	0.0	0.0	0.0	0.0	0.0	14.61	0.0	87.76	40.33	0.0	0.36	0.0	2.93	1.52	0.2	12.49	93.86	5.52	0.0	175.77	5.03	0.5	109.33	0.0	0.02	25.63	21.29	0.0	0.03
4930526L06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	2.01	0.84	0.22	6.1	0.46	0.0	0.0	0.14	2.38	0.22	0.45	2.07	25.38	0.0	0.3	2.28	0.15	1.4	0.72	0.0	0.0	0.0
4930556M19Rik	0.53	1.02	0.42	0.22	2.38	0.0	0.41	1.21	3.03	4.3	3.68	0.41	3.1	0.0	0.71	1.13	0.36	1.06	1.92	0.8	10.41	4.69	3.45	3.96	0.15	0.49	1.24	0.28	0.87	0.71
4932412D23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.6	0.15	0.12	0.0	0.0	0.0	0.1	0.28	0.0	0.01	0.31	2.42	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933402E13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.05	0.0	0.11	0.06	0.0
5031425E22Rik	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.23	40.2	0.0	0.0	0.0	71.91	0.0	0.06	0.0	0.0	0.0	0.28	1.11	0.0	0.0
9130227L01Rik	0.0	0.0	0.14	0.0	0.81	0.0	0.25	0.31	1.02	0.0	0.0	0.0	0.0	0.18	0.22	0.16	0.46	0.55	1.3	0.16	9.18	5.34	1.01	3.6	0.23	0.04	0.31	0.1	0.65	0.09
AI182371	0.0	0.0	0.0	1.42	1.31	0.0	0.73	0.0	4.19	3.56	0.13	0.57	0.27	0.0	0.42	0.15	1.51	0.28	0.48	1.52	6.35	3.78	0.76	0.84	0.23	0.69	0.0	0.46	0.08	0.42
AU022793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.45	0.12	0.0	0.0	0.17	0.0	1.31	1.22	0.0	0.21	1.04	2.64	0.95	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
Adrb1	0.0	0.0	0.0	0.0	0.0	0.0	5.02	2.67	34.96	0.17	6.91	0.0	0.0	0.0	0.0	0.06	0.07	3.24	15.54	1.74	118.58	84.54	6.97	17.55	1.25	1.17	0.0	0.06	0.0	0.07
Atp1a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	215.88	152.8	9.36	1.88	0.73	1.26	0.28	1.19	1.0	3.19	70.93	49.02	149.1	236.51	302.71	225.21	29.1	43.38	18.81	29.16	8.72	32.66
Bard1	0.06	0.0	0.03	0.0	0.0	0.0	0.17	0.49	0.64	1.05	0.04	0.74	0.0	0.24	0.67	0.71	0.47	0.47	0.77	0.38	2.02	1.24	0.71	1.72	0.05	0.06	0.17	0.82	0.41	0.04
Basp1	0.0	0.0	0.0	0.0	0.0	0.0	2.43	18.44	367.44	147.86	29.93	136.76	0.49	43.1	7.11	0.94	5.51	66.56	122.82	186.43	415.81	599.8	111.49	312.72	56.42	37.93	75.47	77.39	85.03	125.8
Boc	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	5.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	3.69	136.91	115.95	6.05	54.35	0.0	0.0	0.29	0.0	10.22	0.0
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.6	9.17	344.85	411.12	20.98	7.38	0.0	0.0	11.59	1.18	0.0	0.45	93.01	34.54	14.7	274.48	171.5	289.98	17.69	2.83	25.62	34.21	4.38	27.11
Cd226	0.2	0.0	0.0	0.0	0.0	0.0	0.63	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.76	9.9	6.79	0.31	4.96	0.0	0.0	0.68	0.0	0.0	0.0
Cd244	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.08	0.0	0.35	0.47	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
Cnih3	0.0	0.0	0.0	0.0	0.12	0.0	0.18	0.0	427.49	621.31	0.59	75.16	0.0	0.08	12.17	0.54	0.18	41.31	85.54	51.78	556.72	351.54	30.15	515.28	0.35	1.01	30.05	0.16	54.02	54.18
Cntrob	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.0	1.75	0.0	0.0	0.0	0.0	0.18	0.0	0.05	0.04	0.0	65.33	63.09	0.15	0.0	0.04	21.95	41.94	25.68	32.65	0.0
Cpne9	1.3	0.0	0.14	1.43	0.0	0.0	1.12	22.9	16.18	26.24	18.72	0.6	0.65	0.8	6.36	3.23	0.67	1.21	70.68	11.99	233.62	195.29	14.93	15.61	0.89	171.94	42.39	68.96	19.33	0.57
Csf3r	0.57	0.71	0.0	1.6	0.29	2.22	0.85	1.26	7.09	3.02	0.43	2.56	0.21	0.44	1.24	0.6	1.32	1.07	2.08	1.19	17.18	4.32	1.08	1.54	0.59	0.41	0.65	0.74	1.08	0.66
D030047H15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.77	0.79	0.0	0.0	2.37	0.11	0.0	0.17	0.23	6.39	241.6	0.0	0.0	0.42	0.0	0.89	0.06	14.16	4.53	0.0
Dennd4a	0.0	23.74	0.0	0.0	0.0	0.0	5.38	1.25	6.57	29.55	0.21	0.0	0.33	1.3	0.0	56.17	7.09	0.02	6.53	1.04	91.48	55.36	25.28	1.45	1.33	15.09	1.77	30.26	33.42	9.34
Dopey2	0.0	0.0	0.0	0.0	0.0	0.0	7.39	0.0	2.68	1.13	9.01	14.64	0.0	2.62	0.81	2.37	0.24	0.57	56.79	34.2	127.48	11.92	2.0	31.58	0.02	1.97	34.99	17.58	0.0	0.0
Egr1	96.34	373.38	0.0	72.32	0.0	0.0	40.21	136.49	254.51	881.19	69.02	0.0	3.22	20.91	18.79	3.46	0.49	1.72	245.5	332.13	1137.39	1099.41	530.33	854.54	21.45	34.19	67.07	2.64	35.24	57.71
Frmpd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.77	2.27	124.96	7.65	2.23	1.86	0.0	0.0	0.37	0.0	0.07	7.25	8.22	94.29	22.25	0.57	9.87	11.32	5.61	0.0	8.9	5.09	20.83
Ftcd	1.12	3.46	0.28	0.0	0.76	0.0	0.32	0.65	0.35	1.33	0.55	1.44	1.01	0.12	0.29	3.51	0.59	0.23	1.65	2.64	5.88	3.1	2.77	2.57	0.22	0.13	0.37	3.91	0.24	0.44
Gfm2	0.0	0.0	0.0	0.0	0.0	0.0	0.28	7.2	33.77	13.6	1.14	139.26	0.0	0.6	8.05	0.49	109.29	2.58	66.99	18.29	278.44	17.33	0.6	303.44	14.85	52.78	0.05	94.79	0.12	3.78
