	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_28	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
2310016M24Rik	375.48	0.0	298.03	756.44	417.74	442.97	295.52	659.87	675.25	531.31	349.69	997.24	600.53	498.71	486.91
2410002F23Rik	0.0	0.0	22.12	119.04	213.8	34.68	25.6	101.33	0.0	32.83	154.39	0.55	43.9	109.28	0.0
4933439C10Rik	0.25	0.0	0.0	0.0	70.87	0.35	0.0	0.0	0.0	16.06	20.15	1.16	0.97	0.0	0.0
Acsl3	1.81	0.0	121.78	312.92	183.97	99.25	128.38	34.26	75.78	108.65	115.57	23.92	55.18	8.93	0.0
Agtpbp1	0.0	0.0	28.95	81.33	32.01	34.05	23.37	0.07	92.55	46.62	46.67	2.22	16.05	18.64	0.0
Alg10b	0.0	0.0	0.0	0.0	10.97	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0
Amy2a2	0.05	0.08	0.14	0.82	0.29	0.18	0.07	0.14	0.14	0.7	0.23	0.16	0.41	0.09	0.07
Amy2a3	0.05	0.08	0.14	0.82	0.29	0.18	0.07	0.14	0.14	0.7	0.23	0.16	0.41	0.09	0.07
Amy2a4	0.05	0.08	0.14	0.82	0.29	0.18	0.07	0.14	0.14	0.7	0.23	0.16	0.41	0.09	0.07
Anp32a	0.0	46.82	120.71	88.45	80.99	60.92	86.99	44.45	95.9	58.37	80.46	35.81	94.79	29.57	0.0
Ap2a1	0.0	0.0	8.32	22.68	28.18	0.96	0.0	1.27	10.16	0.0	18.26	0.0	0.13	5.04	0.0
Apbb3	0.0	0.0	0.0	77.16	95.57	0.95	0.18	65.21	34.73	0.0	20.2	0.0	54.13	0.09	0.0
Banf1	0.0	0.0	192.93	684.59	352.61	215.36	228.56	261.88	97.83	191.63	100.5	0.0	176.69	52.63	0.0
Bbs2	0.0	0.0	4.53	20.1	75.84	18.7	1.89	0.0	0.0	0.0	18.59	6.4	0.0	39.6	0.0
Bccip	0.0	0.0	103.3	222.52	425.36	102.0	189.46	246.34	89.85	164.41	167.62	150.79	346.54	144.43	0.0
Bhlhb9	0.0	0.0	51.33	143.02	159.49	9.22	17.08	58.18	4.07	39.88	82.17	54.95	99.12	90.31	0.0
Bud31	0.0	0.71	247.04	448.72	308.03	59.63	87.34	206.16	233.54	53.7	302.78	194.71	34.84	178.89	0.0
Clvs1	0.0	0.0	32.72	157.77	217.12	82.98	104.69	148.14	95.28	94.56	60.07	23.98	62.57	85.67	0.0
Copb2	0.0	0.0	46.7	180.83	275.3	24.06	54.37	105.47	27.15	0.8	87.54	40.32	69.18	163.14	0.0
Dab2ip	0.0	0.0	0.0	9.46	19.95	0.0	0.0	0.0	0.0	5.71	0.56	8.12	2.74	0.0	0.0
Diras1	0.0	0.0	0.0	53.36	27.86	9.99	8.04	17.21	14.35	26.68	20.4	7.2	0.46	9.43	0.0
Dis3l2	0.0	0.0	0.0	3.95	52.18	6.83	37.62	51.79	0.0	6.7	0.97	0.0	39.35	0.0	0.0
Dpf2	0.18	0.17	30.03	179.38	126.0	49.98	64.32	86.17	77.19	46.03	86.8	144.81	58.3	22.93	0.0
Dync2h1	0.0	0.0	5.35	20.36	30.27	12.11	0.03	3.09	12.21	12.1	0.03	0.65	0.0	7.05	0.0
