	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1110008J03Rik	0.0	0.0	0.07	0.0	80.41	0.0	0.0	2.55	0.0	0.0	85.51	2.69	0.21	0.0	0.21	57.05	73.87	14.87	102.56	0.0	62.06	0.0	0.61	0.27	137.59	0.0	126.67	32.95	320.67	18.53	24.33	18.64
1500031L02Rik	179.72	220.41	48.34	0.0	256.05	0.0	0.0	137.51	391.9	0.0	148.58	42.26	3.1	60.63	137.88	236.31	240.78	273.9	76.52	210.48	106.59	120.78	70.55	367.97	72.55	24.02	114.54	0.44	420.91	165.5	161.53	126.11
1700047I17Rik2	7.62	3.11	3.24	4.07	1.14	2.15	0.0	26.37	4.1	7.45	1.69	4.87	2.98	5.97	12.26	1.07	4.86	62.57	38.9	2.52	0.81	2.88	4.29	4.87	18.88	12.52	0.97	14.66	10.42	13.41	14.19	19.02
1700048O20Rik	5.15	3.54	3.21	4.3	2.45	0.0	0.0	4.11	11.22	14.29	1.41	3.68	2.03	2.38	6.25	3.05	1.51	1.8	2.53	165.2	1.33	4.16	6.42	3.95	1.36	4.39	93.78	3.86	347.3	10.42	6.95	3.33
2310035C23Rik	1.14	0.65	0.02	96.42	4.67	0.0	0.0	0.0	1.36	46.88	0.0	22.46	1.57	17.8	0.12	4.73	0.0	0.0	7.17	58.03	45.21	0.0	0.0	3.84	80.75	12.6	16.27	82.4	143.73	19.64	16.35	20.62
4932411N23Rik	0.0	0.14	0.0	0.31	0.0	0.0	0.0	1.68	0.0	2.09	0.7	0.0	0.0	0.09	0.09	0.0	0.0	0.0	0.68	0.62	0.0	0.0	0.0	0.0	0.62	1.76	0.0	0.0	4.59	0.74	0.87	0.48
4932412D23Rik	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.07	0.0	0.09	0.33	0.0	0.0	0.0
6330409N04Rik	463.12	0.0	0.0	0.0	284.05	0.0	0.0	272.04	0.0	0.0	0.0	0.0	32.51	0.0	104.7	255.09	75.54	66.97	0.0	108.32	0.51	0.16	124.44	186.35	10.17	98.36	0.87	0.07	182.14	76.6	44.37	40.19
9530091C08Rik	4.8	6.17	8.01	6.7	8.96	0.0	1.41	84.57	10.37	3.92	3.67	29.99	7.75	5.57	4.5	4.32	4.73	21.21	7.2	75.57	4.58	4.61	8.47	24.92	17.35	30.39	4.94	44.03	80.58	6.71	6.35	4.41
A230050P20Rik	0.0	6.6	0.56	0.33	0.93	0.34	0.0	4.75	2.69	2.14	1.07	21.57	5.22	8.9	0.0	0.5	0.44	5.93	22.67	3.05	58.67	0.95	1.63	12.48	25.63	58.0	5.19	29.88	88.74	6.41	12.53	10.94
Abl2	1.23	7.87	1.63	1.39	73.37	0.0	0.0	1.78	4.3	48.67	1.12	1.15	29.53	17.34	0.59	18.26	1.96	15.25	1.09	5.16	4.36	2.09	8.4	35.25	0.78	1.91	17.07	1.64	92.54	7.77	7.32	8.53
Actr10	691.85	522.33	1274.52	832.44	1184.55	4.0	0.0	353.08	787.2	515.89	445.08	559.66	929.96	611.81	596.58	609.51	458.72	586.56	409.68	379.09	458.47	682.78	317.9	658.62	504.84	478.28	350.44	422.61	1243.35	951.83	645.61	659.18
Actr1b	22.66	383.75	309.85	149.59	377.98	0.0	0.0	267.61	323.55	523.14	151.48	172.4	172.13	72.13	0.0	15.77	1.01	218.14	212.05	457.44	174.22	571.3	201.01	401.77	131.51	143.75	164.75	246.88	284.0	96.77	132.96	104.04
Actr8	0.0	96.81	0.0	0.0	322.37	0.0	0.0	0.19	323.68	141.47	152.3	0.05	334.36	130.18	0.0	129.45	215.41	0.0	6.37	0.0	137.0	0.0	12.14	164.88	1.81	208.99	190.76	13.4	710.01	43.6	47.84	36.41
Adcyap1	14.75	0.05	0.1	0.0	131.47	0.0	0.0	0.0	106.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	53.55	0.0	0.0	0.0	92.67	0.0	0.0	6.49	239.4	0.0	0.0	0.0
Ankle1	7.41	3.4	2.56	1.61	1.73	0.0	0.0	2.17	1.06	0.71	0.66	1.26	1.95	1.63	0.27	3.02	0.0	1.74	1.92	4.61	1.07	0.41	3.68	1.43	0.52	2.11	0.28	1.48	11.17	0.0	0.75	1.22
Ankrd28	1.34	0.13	0.61	0.0	0.0	0.0	0.0	9.53	0.0	0.09	0.33	26.66	6.69	9.82	0.06	0.0	76.91	14.33	0.0	84.52	14.49	0.1	0.0	0.19	0.04	6.2	19.07	26.78	117.72	2.09	3.71	5.68
Ap3s2	61.74	0.06	5.47	0.04	0.0	0.0	0.0	0.13	0.0	0.14	0.0	0.07	0.04	0.0	0.0	42.16	0.0	3.92	15.62	8.17	17.36	97.87	0.0	0.09	37.9	0.2	41.16	0.25	130.72	19.66	22.78	23.72
Apbb3	0.0	0.0	0.05	9.42	0.0	0.0	0.0	193.41	207.93	0.0	99.32	161.1	0.08	8.35	0.0	0.0	108.17	3.21	0.0	0.0	0.0	0.0	0.0	0.05	55.59	105.3	0.0	0.12	360.44	25.65	15.46	16.62
Arfrp1	0.0	95.84	0.0	134.07	0.66	0.0	0.0	0.0	0.0	13.37	111.21	0.04	49.97	0.0	0.0	36.56	0.0	0.0	47.63	247.93	38.31	0.0	80.59	42.53	0.0	0.1	88.53	17.47	236.65	48.16	29.28	35.6
Arrb2	0.0	1.54	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	9.5	0.0	0.0	28.5	0.39	0.0	5.68	15.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	0.0	79.48	1.57	1.21	0.0
Asap1	3.31	118.15	45.22	0.44	60.53	0.0	0.0	13.41	9.39	243.82	51.63	91.43	119.51	39.48	0.0	34.62	1.5	32.69	16.31	0.0	60.29	41.59	44.91	17.28	122.31	7.68	8.92	31.65	231.25	28.2	29.11	28.63
Asb11	196.75	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.78	0.0	39.59	358.27	0.0	0.0	0.32	0.0	0.0	0.0	0.0	103.35	307.35	0.0	363.62	126.1	37.71	137.22	145.84	387.14	34.21	31.33	21.17
Asna1	0.0	0.15	0.0	0.19	58.3	0.0	0.0	32.11	184.73	124.06	75.8	56.44	70.41	158.04	237.38	93.39	17.57	169.43	146.82	4.61	47.4	116.96	185.41	161.35	91.29	26.25	128.51	63.72	354.13	78.48	109.91	81.34
Atcay	178.02	58.1	215.12	0.0	91.07	0.0	0.0	102.75	9.74	276.27	0.12	83.34	0.18	99.01	136.4	0.0	34.06	76.41	90.91	62.69	63.38	160.88	173.02	74.21	0.27	50.32	60.3	40.95	462.66	40.66	57.52	56.07
Blvra	0.0	0.25	0.0	57.9	0.0	0.0	0.0	0.0	105.43	436.34	0.0	77.45	130.27	0.0	0.0	182.5	104.16	118.48	152.42	299.1	139.64	145.22	235.92	59.38	281.06	171.83	115.37	220.52	516.4	157.9	153.54	129.58
Brwd1	67.84	59.72	0.25	68.11	25.52	0.0	0.0	160.89	205.53	0.59	20.98	84.95	0.62	277.32	176.68	103.67	63.11	84.39	34.3	0.25	25.47	32.89	4.34	42.37	105.93	87.44	62.64	0.63	336.35	53.31	44.47	44.0
Ccdc123	82.49	0.04	0.04	0.0	55.53	0.0	0.0	0.0	0.0	0.0	75.37	0.0	0.0	0.0	0.0	0.92	0.0	57.66	0.0	0.22	44.72	0.0	0.0	0.0	0.0	7.87	4.3	0.0	196.33	13.97	12.49	10.04
Ccl27b	0.0	88.08	2.22	7.78	39.72	0.0	0.0	98.78	170.68	32.42	70.05	177.4	128.86	52.23	5.88	54.51	1.96	23.53	2.86	8.68	8.55	94.11	0.0	106.16	180.86	5.22	0.0	199.04	47.08	61.27	76.52	71.98
Ccpg1	264.62	11.75	0.42	0.16	102.88	0.0	0.0	210.7	0.0	132.68	103.56	184.65	172.42	1.91	58.27	15.47	194.81	117.52	100.36	20.44	56.8	147.57	24.01	2.57	56.53	88.77	0.0	52.53	326.75	81.71	67.54	67.1
