	Cux2_tdTpositive_cell_107	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_71	Ndnf_tdTpositive_cell_9	PvalbF.Gad2_tdTpositive_cell_29	Rbp4_tdTpositive_cell_61	Rbp4_tdTnegative_cell_10	Rorb_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_78	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500011H22Rik	137.18	0.0	0.44	0.0	27.2	0.0	0.0	38.13	0.0	0.0	28.03	22.58	48.66	38.06	54.64	48.6	50.73	61.73	36.85	44.78	66.66	59.7	50.33	90.96	99.25	83.48
2010109I03Rik	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.43	2.7	0.19	0.09	2.75	3.83	0.31	0.0	0.1	0.68	1.12	0.74	0.2	0.33	0.81	0.75	0.73	0.53	0.74
4930447C04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	6.25	18.39	20.93	6.82	9.26	7.52	14.04	10.18	9.36	10.29	7.15	11.48
4931408A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	0.0	7.63	4.61	5.29	1.4	0.0	3.0	1.2	1.92	1.18
Alyref2	3.38	0.0	1.01	5.36	1.18	0.0	0.0	0.08	1.5	0.55	1.71	0.12	0.0	0.0	2.45	6.1	1.82	0.21	0.6	0.46	1.44	5.88	6.15	4.32	4.91	5.54
Astn2	0.14	0.0	0.0	0.0	0.16	0.13	0.0	0.18	0.0	0.0	0.05	0.6	3.38	0.43	0.3	0.28	1.65	1.3	0.16	0.25	1.77	0.59	0.37	24.18	24.75	22.11
Bean1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	112.1	0.0	0.26	5.36	4.13	2.53	0.11	3.77	3.42	1.22	0.08	0.31	2.25	0.54	0.76	10.89	11.52	10.31
Camsap3	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	22.49	0.0	0.0	0.0	0.13	0.31	0.55	0.13	0.0	1.2	0.37	0.48	0.8	0.88	16.37	20.07	18.67
Cep350	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.55	0.0	0.58	0.56	3.0	1.8	3.22	4.92	2.35	1.58	2.63	1.53	2.25	1.81	3.16	14.35	12.47	14.36
Chic2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	1.83	0.0	1.94	0.96	1.29	15.44	17.01	14.17
Crybb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	0.47	0.0	0.0	0.0	0.0	0.0	1.25	0.96	0.49	1.48	2.16	2.09
Ctu2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	7.87	0.0	0.19	1.98	0.39	4.29	3.78	8.43	0.13	0.39	1.12	0.56	10.64	13.79	12.49
Cyb5r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.14	0.38	0.19
Eif2c2	0.0	0.0	0.41	0.06	5.62	1.14	0.0	1.05	0.0	0.0	0.0	2.19	0.0	4.13	1.83	2.32	0.11	0.29	2.76	2.83	0.81	1.69	1.24	26.1	22.83	28.05
Epb4.1	0.0	0.0	2.39	0.0	1.4	21.46	0.0	23.63	0.0	0.0	0.03	36.04	0.0	5.69	7.61	4.38	4.72	2.12	2.42	5.07	2.69	3.04	3.06	19.44	16.96	18.44
Fryl	0.06	0.0	0.0	0.0	2.74	0.0	0.0	0.01	0.08	0.0	0.0	0.23	0.0	4.19	5.56	8.46	13.5	5.46	4.3	3.54	9.44	4.75	8.76	22.19	20.94	23.28
Gigyf2	4.95	0.0	0.0	0.0	4.19	0.04	0.0	2.9	0.0	5.31	0.11	25.07	5.52	8.71	12.21	9.11	5.56	4.89	5.0	12.48	7.46	7.77	5.98	32.74	29.92	31.35
Gm11762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	2.03	3.19
Gm14430	16.04	0.0	1.31	0.12	0.0	0.0	0.0	0.0	0.11	0.0	0.1	11.54	6.11	1.76	4.79	6.89	5.17	1.83	4.81	3.28	4.14	5.97	4.22	7.67	5.07	7.49
Gm14434	16.04	0.0	1.31	0.12	0.0	0.0	0.0	0.0	0.11	0.0	0.1	11.54	6.11	1.76	4.79	6.89	5.17	1.83	4.81	3.28	4.14	5.97	4.22	7.67	5.07	7.49
Gm4724	16.04	0.0	1.31	0.12	0.0	0.0	0.0	0.0	0.11	0.0	0.1	11.54	6.11	1.76	4.79	6.89	5.17	1.83	4.81	3.28	4.14	5.97	4.22	7.67	5.07	7.49
Grlf1	5.24	0.0	0.89	0.0	4.93	1.23	0.0	1.79	9.06	22.22	56.29	17.67	14.32	9.53	8.49	2.71	13.17	2.97	6.0	8.65	8.48	7.44	9.13	71.07	67.29	71.92
Gxylt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.97	0.79
Hcn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.89	12.1	12.24
Il1rapl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	3.13	2.3	3.38
Ilkap	59.14	0.0	0.0	0.0	0.71	0.17	0.0	0.0	0.0	0.0	3.68	46.26	0.0	27.72	14.9	8.74	33.45	14.66	17.16	15.07	14.5	20.84	16.6	47.68	51.14	49.31
Iyd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.97	1.59	0.67
Klhl11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	1.45	0.0	7.79	0.0	6.49	0.11	0.0	0.0	1.11	0.28	1.43	33.15	27.4	30.66
Krt15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.38	0.12
Larp1	0.4	0.0	0.0	0.0	2.35	0.83	0.0	0.09	0.0	0.0	4.08	22.58	20.68	9.74	9.94	13.61	7.53	6.39	3.17	6.24	10.51	6.59	9.69	53.52	50.27	54.8
Lrrc15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.02
Mapre3	44.4	0.0	0.0	0.0	10.35	142.86	0.0	0.0	0.0	2.9	0.17	179.89	106.6	35.18	32.39	16.68	28.03	19.82	11.51	23.76	12.49	13.49	11.59	190.73	200.75	198.18
Mff	0.36	0.0	0.0	0.0	23.74	101.68	0.0	0.11	0.0	0.0	16.39	91.83	156.38	31.78	58.2	27.46	33.57	48.36	48.96	21.2	41.22	38.21	36.86	208.49	208.02	203.49
Mirg	2.1	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.74	0.91	1.33	1.42	0.45	0.0	0.19	1.72	4.47	4.07	1.92	25.79	26.16	28.9
