	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_6	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_168	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_42	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_49	Rorb_tdTpositive_cell_51	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
Apbb1	0.0	0.0	0.0	211.54	0.0	0.0	0.25	0.0	0.0	0.0	199.64	0.0	0.35	1.88	2.21	166.62	146.93	211.04	171.5	51.64	36.94	111.81	1.98	115.8	55.23	218.52	46.76	65.38	0.0	0.22	1.15	0.57	0.0	0.0	1.01	0.0	0.0	0.0	385.98	436.03	0.93	209.04	405.63	0.87	324.69	298.91	527.93	0.0
Atp5d	0.0	0.0	0.0	249.07	31.2	0.0	0.0	1049.45	0.0	13.78	1.45	0.0	0.0	0.0	1.18	75.73	180.86	368.73	73.4	41.92	101.48	297.05	6.35	338.71	125.59	60.3	102.92	180.71	11.87	0.33	0.0	0.0	0.0	0.0	0.72	0.0	0.67	3.11	472.85	338.27	0.39	138.38	140.76	505.16	500.91	114.26	418.49	0.0
Atp6v1b2	0.0	0.0	0.0	872.96	0.0	0.0	0.0	0.0	0.0	0.0	339.74	0.0	0.24	0.44	10.73	699.67	656.88	571.44	389.01	525.73	419.36	486.07	59.97	365.34	68.38	164.32	323.36	162.11	144.17	0.54	1.33	661.84	0.0	0.0	32.45	0.0	0.0	0.0	641.06	260.75	1.16	801.5	797.06	2.58	1156.31	932.36	398.8	0.38
Atp6v1d	15.08	202.46	0.0	402.07	341.68	0.0	30.39	916.83	485.79	0.0	1327.52	0.0	0.48	537.58	12.17	1006.0	1074.12	884.84	650.02	1400.39	1068.74	1130.67	308.99	850.83	879.18	1135.64	1201.2	1268.78	0.93	1.07	286.76	191.16	0.0	1.03	1103.78	0.48	0.0	0.0	575.59	1224.16	53.88	1439.37	1279.66	40.85	919.32	1303.04	481.01	314.23
B230209E15Rik	0.0	0.0	0.0	75.38	1.17	0.0	0.0	0.0	0.0	0.0	15.21	0.29	0.33	1.75	0.51	17.33	63.09	41.04	87.98	79.94	87.18	174.05	33.45	13.1	23.52	98.49	103.67	69.71	0.31	0.58	1.07	0.76	0.0	0.0	0.32	0.32	0.0	0.0	148.29	114.3	0.86	98.54	154.79	1.02	96.98	45.49	30.39	0.0
Brp44	0.0	0.0	0.0	65.6	0.0	419.51	0.0	0.0	0.0	142.0	178.25	586.65	66.2	0.74	2.59	83.66	237.05	261.12	98.8	31.9	41.59	266.08	0.0	115.5	273.71	20.04	165.79	127.47	0.0	115.32	607.95	0.0	0.0	427.48	0.0	0.0	0.0	0.0	243.61	0.0	0.0	171.62	248.56	0.51	197.46	96.89	46.16	0.0
Cabp1	0.0	0.0	0.0	4.99	0.0	0.0	0.0	0.0	0.0	0.0	3.39	0.0	0.0	0.52	0.92	43.62	14.69	6.15	7.25	2.06	28.41	1.36	1.65	60.03	6.67	0.0	9.39	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.98	0.0	20.66	6.35	0.0	52.29	8.45	3.69	0.0
Camk1g	0.0	0.0	0.0	106.81	0.0	0.0	0.0	0.0	0.0	0.0	587.65	0.0	0.0	0.98	1.29	161.76	73.54	0.19	73.87	13.19	8.99	252.75	30.88	0.66	150.91	139.56	209.39	80.75	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.24	0.0	87.73	44.28	0.29	80.42	42.44	0.68	438.92	432.14	522.49	0.0
Ccl27b	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	0.68	0.81	0.18	54.72	30.68	0.23	50.62	21.3	21.44	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	167.16	0.0	3.32	44.3	0.46	1.79	0.49	49.16	0.0
Clstn3	0.0	0.0	0.0	329.28	0.0	0.0	0.0	0.0	0.0	0.0	2.57	0.0	0.16	0.3	1.56	70.12	216.27	78.52	56.46	19.32	6.45	113.32	44.5	59.72	23.66	18.31	1.83	56.6	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.24	97.7	0.26	195.95	348.82	0.31	126.86	100.27	102.79	0.0
