	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_72	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700021K19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	10.97	3.41	10.85	1.25	0.0	15.95	16.12	34.95	0.0	3.62	0.71	0.0	0.65	63.19	8.31	46.8	44.81	44.11
2310039H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	34.32	0.0	0.0	0.0	0.0	0.0	63.12	29.37	4.36	6.73	6.28
2310039L15Rik	3.07	0.0	0.0	2.88	0.0	3.65	28.97	33.4	27.24	12.16	28.79	17.93	30.45	20.57	22.53	10.03	55.63	23.1	25.29	21.18	25.48	37.49	84.56	13.49	26.88	20.6	29.57
Aak1	0.05	0.18	0.03	0.0	0.07	4.66	22.88	16.25	17.92	11.35	36.49	37.31	11.19	17.14	22.92	16.29	39.62	19.28	21.97	16.12	34.21	18.36	46.12	3.86	77.03	72.23	78.8
Arfgef2	0.0	0.0	0.0	0.0	0.0	0.0	4.29	11.67	4.37	11.78	9.37	3.86	15.04	14.45	2.9	13.27	11.51	0.0	5.9	11.93	11.66	5.29	33.46	0.0	31.51	30.54	31.38
Atp1a1	0.0	0.0	0.0	0.0	0.0	0.0	8.73	0.0	0.0	0.63	0.0	0.0	0.15	0.77	5.84	0.14	0.29	5.35	0.0	0.0	22.01	0.4	29.51	1.44	824.42	838.73	822.76
Atrn	0.0	0.0	0.28	0.0	0.04	1.43	2.7	29.35	4.11	17.48	6.75	14.52	10.9	22.16	10.16	22.86	17.72	13.13	38.82	9.03	32.82	5.0	27.48	0.0	85.45	83.79	91.7
C85492	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.55	0.0	4.81	0.0	6.24	11.07	27.44	0.0	1.39	0.0	0.0	0.0	60.03	29.22	161.44	0.0	28.22	32.88	28.74
Ccdc109a	0.0	0.0	0.0	0.0	0.0	0.92	18.95	53.79	57.14	0.27	49.53	35.36	45.32	20.89	15.89	44.65	0.0	0.14	0.0	49.92	21.69	54.87	67.0	0.0	26.71	27.69	26.87
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	6.15	0.0	0.0	0.0	0.76	0.31	0.0	2.62	1.92	8.14	1.56	0.3	0.26	0.0	0.0	2.37	4.94	0.0	30.63	28.29	22.96
