	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_73	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Abca3	0.0	59.18	0.4	11.98	0.0	38.71	0.0	0.1	33.17	0.2	0.0	14.58	13.28	29.29	37.7	0.0	14.5	3.35	7.21	3.23	2.29
Alg6	0.25	157.96	73.42	0.08	0.0	0.28	0.0	0.34	0.14	0.0	0.0	0.0	138.69	0.2	50.26	36.94	21.68	11.17	28.14	13.49	14.46
Ap2a2	29.31	161.36	23.04	56.54	18.6	54.58	39.26	45.22	122.81	116.28	114.22	93.32	56.63	60.36	64.44	44.26	97.14	68.0	120.75	123.52	134.89
Arhgap42	0.0	78.58	0.0	0.0	0.0	0.0	1.98	0.0	147.28	60.39	0.0	0.0	0.0	0.0	0.23	0.0	2.25	0.14	1.64	0.25	0.45
Armc9	2.85	204.62	0.14	0.21	61.81	0.4	18.63	0.08	0.08	131.33	0.0	0.0	0.09	181.14	65.5	0.0	25.63	32.85	18.1	17.03	26.56
Ash1l	9.74	55.87	43.84	5.21	4.72	7.96	18.3	0.59	67.69	1.01	43.13	0.0	77.01	17.94	66.1	0.0	19.49	21.82	24.52	18.55	18.8
Ccdc22	0.0	109.34	58.76	0.0	0.0	0.0	0.0	4.58	0.0	107.06	0.0	99.56	0.2	0.28	0.19	0.0	13.36	29.13	10.63	33.25	23.66
Ccdc86	0.0	27.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.26	0.0	0.0	8.17	0.0	0.0	0.0	2.69	1.39	3.2	3.81
Cct8	414.33	621.44	211.98	173.52	1.15	274.74	279.03	187.65	67.36	685.83	135.87	1148.24	52.27	485.64	552.35	564.5	589.98	377.84	475.9	388.88	404.12
Dab2ip	0.0	32.99	0.04	7.86	0.0	0.0	0.1	0.0	0.0	0.0	5.18	0.0	0.0	10.55	0.54	0.0	2.09	0.04	1.48	2.15	2.35
Dynll1	425.23	1043.63	496.44	604.66	480.34	638.66	350.21	277.92	355.7	485.48	772.93	1119.38	636.17	639.6	502.89	213.21	1020.97	1381.08	731.94	923.72	817.25
Esf1	118.42	62.7	68.6	0.07	11.57	16.24	8.35	60.27	158.48	18.52	7.14	17.88	0.0	18.13	5.59	16.42	25.22	42.58	35.21	38.59	28.34
Etv1	0.0	164.61	0.08	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.15	0.11	0.0	29.77	29.19	26.32	20.66	19.69
Fam135b	0.0	75.37	14.12	0.0	75.48	0.0	0.0	35.14	58.56	0.0	0.0	0.0	0.28	0.0	10.84	0.0	16.14	25.55	6.46	14.24	6.92
Gm5506	547.33	1188.85	398.98	1161.86	489.5	346.19	631.73	399.72	171.26	431.65	914.03	1173.23	1120.97	1074.78	716.22	596.45	1103.37	1087.49	1024.71	1100.05	1290.25
Gnb5	217.97	828.68	193.77	0.77	0.0	144.32	154.79	271.64	599.18	15.58	817.15	264.97	119.35	708.64	107.76	177.37	306.64	295.1	203.98	319.2	283.45
Gnptab	1.17	9.69	0.02	0.0	0.0	0.0	0.0	0.0	1.96	0.08	0.0	4.21	0.4	3.48	0.08	0.0	7.59	5.41	9.19	8.92	8.72
Gorab	0.0	56.21	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.02	0.0	0.0	21.08	12.39	31.45	37.65	28.84
Gpr107	0.0	23.75	0.0	0.06	0.14	0.0	0.0	0.0	0.0	66.32	67.19	0.18	0.0	0.0	0.0	0.0	6.91	8.75	11.93	8.88	6.85
Gpr123	0.17	86.55	0.02	0.11	0.0	0.0	0.0	0.2	0.0	0.0	0.25	44.14	2.93	75.05	9.03	0.0	121.77	98.91	41.43	72.33	61.78
Grik3	0.17	27.23	0.05	0.11	0.0	0.0	0.07	0.05	0.15	0.09	0.14	6.41	0.05	0.0	16.11	0.11	6.86	11.59	10.33	12.09	11.47
Grm8	0.0	111.89	0.0	0.0	0.0	0.12	0.0	0.0	0.11	0.0	63.55	0.0	0.0	0.0	108.06	0.0	68.61	25.49	30.41	34.89	44.97
Gys1	0.0	35.74	0.03	0.0	0.0	0.0	0.0	0.06	0.0	8.75	0.0	0.0	0.36	0.51	0.11	0.0	7.94	4.16	4.84	4.09	6.38
Hscb	0.0	68.46	5.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.24	25.69	8.62	9.93	5.47
Htra2	0.0	67.73	0.0	0.0	0.0	0.0	0.0	89.59	19.89	0.07	0.0	0.0	0.26	0.37	2.2	0.0	5.64	20.53	10.17	15.77	10.2
Ifi27l1	0.0	225.6	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	119.84	86.45	2.42	1.73	186.84	0.0	47.68	110.05	72.28	85.71	81.4
Larp4b	0.0	138.95	0.56	52.68	3.59	29.24	168.93	0.04	0.08	0.0	21.23	87.63	0.0	72.6	111.08	0.0	45.78	23.77	37.33	28.59	28.19
Lcmt1	170.99	428.83	0.0	134.25	226.47	135.49	248.86	2.53	165.64	73.86	0.0	479.47	0.0	391.86	238.17	0.0	193.57	171.81	238.21	225.54	224.75
Ldb2	284.63	213.43	0.16	0.0	86.78	85.31	0.0	0.08	52.15	0.0	120.26	39.08	0.18	143.98	104.5	65.87	117.55	192.47	177.23	171.89	202.17
Ldha	892.29	2665.19	451.52	1283.85	2066.63	1041.07	1390.46	170.99	537.59	704.63	1505.03	1568.17	1577.11	1325.2	1364.33	802.25	1787.17	1966.69	1598.2	2019.03	1862.91
Lzic	0.0	0.0	0.06	0.0	0.0	0.0	2.34	26.27	0.23	0.0	0.22	0.0	0.0	0.0	0.0	0.0	1.71	20.71	7.82	7.45	6.13
Myl4	0.0	1068.2	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.15	0.0	38.78	1193.22	0.0	196.21	862.85	355.7	404.85	406.13
Pdzk1	0.0	27.39	49.23	0.0	0.0	0.0	0.0	0.0	70.12	0.0	41.64	0.0	0.0	0.0	0.0	0.0	1.02	0.59	2.27	3.93	2.79
Pfn1	1.85	152.6	0.0	0.27	0.0	0.52	2.74	4.3	30.03	110.57	0.94	42.54	0.0	0.0	9.67	3.42	10.49	22.65	21.6	25.71	26.79
Plcd1	0.0	14.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	6.44	0.0	2.31	2.14	3.9	2.88
Ppp1r9b	0.18	9.73	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.63	0.0	0.72	11.44	0.0	6.32	4.39	4.44	1.42	4.85
Ptprr	2.2	52.04	0.45	55.55	0.0	0.0	0.23	155.75	0.16	0.17	0.0	0.0	0.18	0.36	0.0	0.0	20.73	14.28	11.14	9.98	7.78
