	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040F04Rik	0.0	0.42	0.0	54.52	2.02	1.53	3.04
1190007F08Rik	0.0	0.0	0.0	21.84	6.19	5.71	6.28
1700001L05Rik	0.0	0.0	0.0	37.65	2.99	3.7	3.47
1700006F04Rik	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1700047I17Rik2	2.63	6.19	11.07	53.62	17.56	16.4	17.92
1700065D16Rik	0.0	0.11	0.27	7.33	0.33	0.62	0.66
1810012K16Rik	0.0	0.0	0.0	56.03	0.58	0.18	0.4
1810032O08Rik	0.0	0.0	0.0	63.94	4.3	6.5	3.96
2310021P13Rik	0.0	0.21	0.0	31.45	64.68	67.63	69.39
2410137F16Rik	0.0	0.15	0.0	45.2	3.38	2.78	4.46
2900092C05Rik	0.0	0.0	0.0	0.48	0.0	0.0	0.0
4732471J01Rik	0.0	0.0	0.0	22.38	4.59	4.14	5.4
4930447A16Rik	0.0	0.0	0.0	26.0	0.0	0.0	0.0
4930448C13Rik	0.0	0.0	0.0	0.51	0.0	0.0	0.0
4930448I18Rik	0.0	0.0	0.0	27.74	0.14	0.13	0.0
4930488L21Rik	0.0	0.0	0.0	1.9	0.27	0.65	0.83
4930502E09Rik	0.0	0.0	0.0	56.47	0.0	0.0	0.0
4930524L23Rik	0.0	0.0	0.0	8.22	0.44	0.59	0.68
4933430I17Rik	0.0	0.0	0.0	1.77	0.39	0.79	0.4
5031434O11Rik	0.0	0.0	0.0	74.69	4.86	4.31	4.43
9030624G23Rik	0.0	0.0	0.0	40.31	16.15	16.02	14.89
9130409I23Rik	0.0	0.0	0.0	0.55	0.28	0.17	0.43
9430015G10Rik	0.0	0.0	0.0	79.07	17.12	16.84	17.89
A530046M15	0.0	0.0	0.0	3.62	0.26	0.06	0.0
A730036I17Rik	0.0	0.0	0.0	0.47	0.5	0.55	0.72
AI197445	0.0	0.0	0.32	1.65	1.47	0.81	1.81
AY358078	0.0	0.0	0.0	1.36	0.23	0.0	0.07
Abhd2	0.0	17.39	0.0	40.2	54.68	50.93	55.98
Ablim2	0.0	0.0	0.0	126.91	99.48	96.84	98.33
Accn1	9.51	0.12	0.0	59.64	50.26	51.96	53.47
Acp6	0.0	0.0	0.0	76.81	13.63	15.31	14.61
Adam21	0.0	0.0	0.0	83.4	0.85	0.41	0.66
Adcy5	0.0	0.0	0.0	16.44	139.88	145.98	149.99
Anks4b	0.0	0.0	0.0	0.19	0.44	0.32	0.25
Arhgef1	0.0	1.43	0.0	25.31	45.39	45.58	47.1
Aspg	0.0	0.0	0.0	0.14	2.2	2.82	2.65
Atxn7	0.0	4.8	0.0	43.05	15.84	14.28	14.81
BC018242	0.0	0.0	9.76	25.35	148.85	160.32	156.13
BC024582	0.0	0.0	0.0	21.71	0.07	0.07	0.0
Bai2	0.0	2.4	0.0	6.5	231.59	239.36	249.07
Baz1b	0.0	0.82	0.0	51.73	59.56	56.72	57.34
Bmp4	0.0	0.0	0.0	48.54	3.0	3.32	4.21
Bpifb9b	0.0	0.0	0.0	0.96	0.0	0.0	0.0
C030046E11Rik	0.0	0.0	0.0	45.92	24.7	21.25	22.83
C130039O16Rik	0.0	0.63	0.0	6.08	12.02	11.68	9.99
Cars2	0.0	0.34	0.0	60.4	13.21	14.77	13.2
Ccl27b	0.0	2.09	0.0	2.94	30.63	28.29	22.96
Cd59b	0.0	0.0	0.0	39.88	0.57	0.52	1.12
Cdkl4	0.0	0.0	0.0	0.53	18.63	17.77	16.35
Cenpo	0.0	0.0	0.0	10.26	3.2	2.47	2.08
Cenpp	0.0	0.0	0.0	99.03	2.58	2.98	1.88
Chd1l	0.0	0.0	0.0	28.06	9.5	7.8	9.73
Clasrp	0.0	0.0	0.0	24.27	55.37	61.75	62.67
Cno	0.0	0.0	0.0	36.15	16.57	21.55	20.75
Col11a1	0.0	6.09	4.51	11.4	7.67	6.41	8.47
Cops7b	0.0	0.0	0.0	61.61	23.92	21.65	21.84
Cpne9	2.11	1.55	0.85	3.61	41.51	35.51	40.38
Cyp39a1	0.0	0.0	0.0	63.48	1.81	1.92	1.9
Dach1	0.0	0.0	0.0	2.83	8.21	8.54	7.44
Dlx1	0.0	0.0	0.0	68.79	16.9	20.94	19.29
Dnmt1	0.0	0.0	0.0	53.76	29.29	31.37	29.43
Dock3	0.0	2.76	49.51	90.25	112.39	109.71	116.14
E130006D01Rik	0.0	0.0	0.0	73.12	1.5	0.9	1.49
Eif3f	0.0	0.0	0.0	45.07	119.78	136.1	125.5
Ephx2	0.0	0.0	0.0	71.39	21.05	22.49	22.78
Exo1	0.0	0.0	0.11	0.07	0.41	0.45	0.29
