	Pvalb_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_67	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810011L19Rik	0.0	0.0	0.0	0.0	8.41	9.31	7.9
4933407L21Rik	0.0	0.0	0.34	0.0	3.76	4.13	5.16
AA987161	0.95	0.0	0.08	0.0	5.21	4.46	5.89
Aanat	0.0	0.0	0.0	0.0	1.28	1.42	0.85
Abcd1	0.41	0.0	0.0	0.0	11.46	10.96	10.78
Accn2	0.0	0.0	0.0	0.0	51.4	49.24	50.01
Acvr1b	0.0	0.0	0.0	0.0	96.77	99.5	94.22
Apba1	17.64	16.99	0.17	13.57	76.46	78.19	83.66
Bcl11b	0.14	2.05	0.05	0.08	35.56	39.1	36.72
Cchcr1	0.0	0.0	0.0	0.0	6.1	5.35	5.02
Cyp51	6.39	0.08	0.0	0.0	44.42	44.22	41.2
Ddx58	0.14	0.09	0.24	0.5	3.58	2.86	3.2
Dhx34	0.0	0.0	0.0	0.0	8.82	8.48	8.41
Dll3	0.33	0.0	0.0	0.0	2.19	2.12	2.24
Dnmbp	0.0	0.0	0.0	0.0	6.09	5.8	7.07
Dppa2	0.0	0.0	0.0	0.0	0.06	0.43	0.16
Dpysl5	3.73	14.56	0.0	1.22	19.09	19.81	19.66
Efnb3	0.0	0.0	0.0	0.0	76.88	82.78	80.5
Fam59b	0.0	0.0	0.0	0.0	9.6	9.25	9.73
Fgf11	0.0	0.0	0.0	0.0	20.65	17.45	23.2
Gata3	0.0	0.0	0.0	0.0	0.03	0.03	0.04
Gm1715	0.0	0.0	0.0	0.0	0.2	0.19	0.62
Gm2109	0.0	0.0	0.0	0.0	0.35	0.13	0.37
Gpr17	0.0	0.0	0.0	0.0	27.98	29.65	31.41
Gpr26	0.0	0.0	0.0	0.0	67.54	58.53	83.82
Gpr52	0.0	0.0	0.0	0.0	17.82	15.03	14.66
Gramd4	0.0	0.0	0.0	0.0	30.74	29.31	32.63
Htra4	0.0	0.0	0.0	0.0	0.86	1.15	0.75
Inpp5a	0.0	0.0	0.0	0.89	42.92	46.53	44.53
Kif26b	0.0	0.0	0.0	0.0	2.88	3.43	3.79
Kifc3	7.89	0.0	0.0	0.0	38.63	41.59	38.76
Klhl36	0.0	0.0	0.0	0.0	7.31	7.92	7.4
Krt28	0.0	0.0	0.0	0.0	0.13	0.44	0.35
LOC433374	0.0	0.0	0.0	0.0	1.63	1.48	1.36
Lrfn4	0.0	0.31	0.0	1.27	30.47	36.08	37.06
Lrp3	0.0	7.83	0.0	0.0	53.44	58.28	55.54
Lrrc23	0.0	0.0	0.0	0.0	1.29	2.56	3.09
Lrrc32	0.0	0.0	0.0	0.03	2.76	3.49	3.0
Lrrc34	0.0	0.0	0.0	0.0	0.43	0.36	0.56
Me1	0.0	0.0	0.0	0.0	46.9	47.04	44.19
Mir3064	0.0	0.0	0.0	0.0	216.63	192.59	174.23
Mtmr10	0.0	0.0	0.0	0.0	11.13	12.35	11.92
Osbpl10	0.0	0.0	0.0	0.0	38.78	39.97	39.26
Pcdha10	0.0	0.0	0.0	0.0	4.13	5.56	4.53
Pcdhb19	0.0	0.0	0.0	0.0	5.24	4.81	5.56
Pcdhgb2	0.0	0.0	0.0	0.0	8.59	9.12	8.06
Pcyt1a	19.29	11.58	0.0	0.0	21.4	22.79	20.27
Pi16	0.0	0.0	0.0	0.0	0.66	0.83	1.09
Pip5k1c	31.3	50.02	6.74	42.99	278.69	283.61	289.0
Plcxd1	0.0	0.0	0.0	0.19	14.59	14.9	16.3
Ppp1r1b	0.0	0.0	0.0	0.0	454.86	500.69	444.22
Psd2	0.74	1.84	0.81	1.71	27.9	27.54	32.93
Ptger1	0.0	0.0	0.0	0.0	20.27	21.52	20.0
Rab5b	28.38	67.35	80.36	26.28	115.63	114.56	113.46
Rnf43	0.0	0.0	0.0	0.0	1.87	1.74	2.02
Safb2	1.28	3.63	0.0	9.72	55.44	61.77	56.06
Sept9	3.33	31.07	0.0	0.0	47.07	49.95	49.54
Sertad2	0.0	0.0	0.0	0.0	15.77	15.71	15.34
Slc25a33	0.0	11.57	10.09	0.0	37.88	43.15	37.19
Slc35d3	0.0	0.0	0.0	0.0	7.06	8.28	6.71
Smpd3	4.06	0.89	0.08	0.12	52.6	55.28	52.37
Snord4a	0.0	0.0	0.0	0.0	5.9	11.11	3.04
Sox21	0.0	0.0	0.0	0.0	8.03	7.85	8.1
Spata2	3.14	28.94	31.61	0.0	51.24	53.51	47.27
Srcin1	11.32	3.77	5.25	1.23	138.51	141.68	150.57
Styk1	0.21	0.0	0.0	0.0	0.28	0.3	0.27
Tbc1d8	0.0	5.94	0.0	0.0	20.16	19.89	20.27
Tcof1	1.54	11.96	1.37	0.0	13.47	13.78	13.53
Tlk1	0.52	2.15	2.07	1.0	73.53	68.48	65.5
Tm9sf2	0.23	0.9	0.0	55.96	117.92	122.27	115.06
Tmem145	2.45	0.0	0.17	0.0	46.98	46.54	54.47
Tomm40	8.63	2.67	0.25	1.63	93.49	106.06	97.58
Tubgcp3	0.0	0.37	0.0	20.79	30.37	29.06	26.76
Unc119b	0.0	1.0	0.0	2.54	21.35	22.4	20.12
Usf2	0.35	1.14	0.24	0.26	85.09	90.72	88.71
Vars	0.0	1.72	0.0	0.0	28.26	31.81	30.57
Vps37b	0.0	0.0	0.0	0.0	39.01	44.26	36.05
Zfp593	0.0	0.0	0.0	0.0	9.79	12.81	10.99
Zscan20	0.0	0.0	0.0	0.0	4.12	3.66	3.09
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
