	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700011I03Rik	146.68	0.0	0.0	0.21	0.3	0.0
4732471J01Rik	148.71	0.0	0.0	4.59	4.14	5.4
4930519F09Rik	15.75	0.28	0.0	8.89	7.3	8.55
6530401N04Rik	17.67	0.0	0.0	7.64	7.04	7.6
9030625A04Rik	123.54	0.0	0.0	5.4	4.63	5.96
Abhd11	928.23	0.0	0.0	39.94	43.8	41.16
Aftph	735.51	0.0	0.0	53.28	50.56	52.53
Alg8	930.5	0.0	0.0	9.52	7.07	8.54
Ankrd44	235.83	0.0	0.0	6.46	5.37	6.32
Arid4a	545.82	0.0	0.0	20.44	16.67	18.46
Arpc1b	854.53	0.0	0.23	22.11	22.95	26.75
Atic	506.73	0.0	0.0	25.94	27.5	26.74
B3galtl	210.9	0.0	0.0	14.82	14.88	13.76
Bin1	956.06	75.25	113.08	228.71	237.59	245.82
C330013E15Rik	748.98	0.0	0.0	2.89	3.49	4.9
Ccdc23	604.1	0.0	0.0	22.08	25.53	23.18
Ccnyl1	781.62	0.0	0.0	20.96	19.68	19.73
Cdca4	857.77	0.0	0.0	5.8	6.66	6.5
Cep68	267.3	0.0	0.0	17.27	16.32	17.75
Commd7	356.56	9.19	4.91	20.06	21.17	21.62
Csl	22.24	0.0	0.0	0.03	0.0	0.0
D10Wsu102e	328.85	0.0	0.0	15.84	15.63	14.99
Ddx3x	1350.8	80.63	0.0	185.5	147.02	142.87
Dennd1c	495.97	0.0	0.0	1.4	1.77	1.66
Dffb	1113.54	0.0	0.0	9.49	10.03	9.04
Dgkd	445.2	0.0	2.17	56.24	56.97	58.22
Dock8	3.61	0.13	0.09	2.6	1.85	2.05
Dok1	9.45	0.0	0.0	1.82	1.71	2.1
Eif2b1	761.94	3.23	0.22	24.52	26.49	24.98
Eif2c4	424.73	0.0	0.0	8.15	7.51	7.83
Emr4	894.66	0.0	0.0	0.11	0.0	0.03
Fermt3	3001.13	0.0	0.0	3.2	3.64	3.59
Fert2	959.21	0.0	0.0	14.02	12.99	12.94
Ganab	678.69	0.0	0.0	77.53	79.53	77.78
Gm11545	365.44	0.0	0.0	0.04	0.07	0.11
Gm14326	329.35	2.22	0.0	18.46	11.31	17.73
Gm19619	21.96	1.68	0.0	3.24	2.32	2.7
Gtpbp4	419.14	0.0	0.0	31.87	28.98	31.04
Hps3	744.69	0.0	0.29	14.44	14.39	14.46
Irf5	488.08	0.0	0.0	3.35	4.26	4.01
Kdm6b	142.64	6.59	0.0	17.07	15.97	13.26
Lilrb4	24.26	0.0	0.0	0.38	0.33	0.61
Lin37	837.57	0.0	0.0	33.32	34.35	30.13
Liph	41.75	0.0	0.1	0.83	0.65	0.82
Lrp1	364.11	0.0	0.0	105.31	103.13	117.97
Mapk1ip1	2203.99	0.0	0.0	48.63	47.13	47.54
Mcm6	554.79	0.0	0.0	7.41	6.6	6.81
Mgat1	666.17	0.0	0.0	43.12	47.31	46.19
Mknk1	928.77	0.0	0.0	29.02	28.63	30.47
Mob3c	858.69	3.3	0.0	4.74	4.4	4.11
Mrpl3	548.32	0.0	0.71	82.17	78.13	74.92
Nagpa	650.98	0.0	0.0	10.16	10.63	10.4
Nmt1	1372.45	17.16	0.0	129.24	120.66	118.5
Papd4	275.1	4.32	0.0	28.08	25.27	25.6
Pcsk7	879.03	0.0	0.0	18.18	16.48	17.69
Pik3r5	5.6	1.16	0.06	3.75	3.38	3.72
Pla2g4b	422.08	1.95	0.55	6.32	6.3	5.06
Polr2m	825.54	0.0	0.0	182.36	197.49	182.07
Prdm9	107.57	0.13	0.0	2.41	3.04	2.37
Ptpre	1182.14	0.0	0.0	20.53	17.69	20.68
Qrsl1	912.69	0.0	0.0	17.56	16.08	15.8
Qtrt1	1047.57	0.0	0.0	16.68	16.92	15.02
Samd4b	275.64	0.0	0.0	36.48	34.92	33.74
Senp2	557.32	0.0	0.0	66.11	66.28	65.13
Sf3a2	302.39	0.0	0.0	29.43	32.21	30.48
Sgpl1	479.02	0.0	0.0	25.18	22.93	20.75
Slc12a7	61.28	0.0	0.0	2.6	2.34	2.03
Slc16a7	913.67	0.0	0.0	15.36	12.09	16.89
Slc30a6	880.75	0.0	0.0	11.94	12.64	12.1
Stk10	134.21	0.25	0.0	3.99	3.73	4.29
Stt3b	1480.24	0.0	0.0	65.68	64.99	63.55
Thap7	643.03	0.0	0.0	29.02	28.15	29.07
Thumpd3	1055.05	0.21	0.0	23.2	22.45	23.31
Tmem219	873.11	0.0	0.0	17.52	20.33	21.41
Traf6	636.14	0.0	0.0	10.24	10.31	10.0
Ubn1	357.62	11.69	0.0	27.68	26.73	27.37
Utp3	834.95	0.0	0.0	35.72	37.46	34.63
Vapb	277.59	0.0	0.0	53.38	58.23	58.6
Ykt6	732.98	0.0	0.14	89.2	88.57	87.68
Zkscan6	341.12	0.0	0.0	12.94	15.98	13.4
Zmat5	1542.88	0.0	0.0	49.57	49.63	49.97
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
