	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700028E10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.65	0.0	2.19	0.57	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	1.51	0.0	0.31	0.49	0.4
2410012E07Rik	0.0	0.36	0.63	0.0	0.0	0.73	0.27	0.0	0.0	0.0	0.0	0.52	0.49	1.83	0.0	0.0	0.0	2.81	0.0	0.95	0.0	0.24	0.18	0.06	0.54	0.42	1.18	0.48	0.2	0.0	0.79	0.0	0.62	0.0	0.0	0.82	0.0	0.0	0.0	0.7	0.72	0.53	0.15	0.18	0.28
2900026A02Rik	0.0	0.98	1.14	0.2	0.0	0.13	0.8	0.17	0.34	0.74	0.26	0.11	0.34	0.0	0.11	0.08	0.24	1.29	0.31	0.14	1.05	0.31	0.05	0.16	0.0	0.0	0.54	2.81	1.64	7.05	12.64	1.0	1.09	0.48	1.26	0.25	0.33	0.31	0.53	6.25	10.29	8.86	31.56	36.11	29.76
4430402I18Rik	0.0	0.0	0.0	0.0	0.0	34.4	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	4.22	0.0	69.05	20.73	0.0	0.0	4.16	0.0	24.67	0.0	0.0	0.0	32.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37	2.41	1.79	3.08	3.85	3.81
4930405A21Rik	0.0	0.0	0.0	0.0	18.72	17.96	23.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.19	0.0	0.0	0.0	8.98	0.0	0.0	0.0	3.48	0.0	0.0	0.0	8.35	0.0	0.0	0.0	0.0	0.0	3.69	0.0	0.0	0.41	0.0	3.23	1.09	0.61	0.7	0.84
4930444M15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.64	0.12	0.11	0.06
4930529C04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930593C16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.77	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.18
4930599N23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.74	0.53
4933424G06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	57.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.64	1.41	1.35	1.66
9230114K14Rik	97.67	38.31	3.27	28.54	0.0	1.37	2.39	25.04	4.66	10.07	73.82	3.07	1.94	1.64	5.59	2.26	0.87	176.67	1.63	3.79	18.8	1.38	1.58	21.06	1.22	1.55	2.99	26.54	3.52	4.42	3.69	3.33	12.74	5.48	2.89	2.8	9.21	10.91	8.83	5.91	8.84	10.45	4.3	3.25	3.9
