	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_77	Gad2_tdTpositive_cell_78	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_85	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Scnn1a.Tg2_tdTnegative_cell_4	Slc17a6_tdTpositive_cell_5	Sst_tdTpositive_cell_19
2900011O08Rik	0.0	0.2	0.18	0.84	0.0	190.36	0.0	181.0	864.18	251.49	0.22	0.0	0.0	0.0	0.0	0.0	3.96	1.51	7.17	342.17	685.55	343.94	526.14	504.71	710.14	269.11	514.98	518.84	627.57	315.64	356.74	129.11	88.75	97.1	420.8	299.01	35.3	30.26	196.47	1.51	13.33	75.39	0.55	81.51	0.81
3110052M02Rik	0.0	0.0	0.0	4.93	0.5	0.0	0.0	0.12	0.71	0.13	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.88	9.24	0.0	45.05	0.0	2.31	6.97	67.91	40.67	13.23	21.57	0.0	6.27	0.09	0.0	0.08	0.16	2.78	0.05	0.1	12.4	16.58	0.04	0.71	0.12	0.0	26.27
6430548M08Rik	0.0	0.0	0.0	9.4	0.0	30.49	0.03	0.62	16.63	2.09	0.0	0.0	0.0	0.13	0.0	0.0	0.83	0.0	0.0	49.52	34.61	22.27	4.41	34.97	52.87	111.32	22.53	35.11	32.13	51.54	105.81	10.11	11.85	0.76	35.66	52.32	0.52	0.1	2.62	0.0	26.99	0.48	0.0	160.82	0.06
A930013F10Rik	0.0	0.0	0.0	0.0	0.0	0.0	10.84	7.35	0.9	5.68	41.83	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.43	11.86	1.85	11.29	104.46	60.33	80.14	90.52	1.57	96.15	48.61	29.34	51.37	3.58	0.0	0.0	64.59	0.17	14.86	0.0	21.92	39.78	30.1	0.0	0.0	8.23	8.07
A930017M01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	23.16	23.06	62.28	0.0	0.0	7.95	140.0	12.12	0.0	24.76	29.98	0.0	6.9	0.0	0.0	0.0	2.81	0.41	0.42	0.0	0.0	0.05	0.0	0.0	0.0	0.0
Ahcy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.08	0.0	0.0	19.17	0.0	0.0	0.0	0.69	0.0	0.83	0.0	52.33	0.0	0.0	0.0	0.0	74.35	0.0	172.05	45.23	0.0	55.29	0.0	0.0	0.0	0.0	0.65	0.27	0.45	6.59	0.0	10.24	0.0	0.1	13.62	0.0
Akt3	50.07	0.0	0.0	0.0	0.0	1.45	0.03	0.0	21.29	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.66	11.39	0.34	9.32	43.56	0.0	32.97	46.29	1.2	0.0	21.48	28.43	30.88	0.38	20.56	0.3	0.07	37.11	0.19	3.25	4.79	0.0	1.72	6.11	0.05	0.18	0.0
Armc7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.92	0.0	55.33	0.0	0.0	0.0	0.0	0.0	0.0	8.23	0.0	0.61	0.25	0.0	0.0	77.67	0.53	0.0	0.0	0.0
Atp6v1g2	0.0	0.0	0.0	0.67	0.0	34.12	0.54	601.86	319.22	77.91	0.0	0.0	0.0	0.0	0.0	0.0	10.69	0.0	573.4	2467.94	2019.13	3168.32	2172.19	1367.05	1514.57	2100.72	2137.84	2273.89	1435.79	1258.45	2626.49	960.4	690.43	509.93	1620.9	1488.13	1041.09	1178.79	439.37	448.78	449.39	11.6	5.41	163.23	0.64
B230217C12Rik	0.0	0.0	0.0	143.35	0.0	1.49	0.0	30.78	333.68	187.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	59.66	210.79	228.11	316.85	191.08	99.26	309.35	534.79	258.69	77.93	292.06	279.24	98.45	56.45	0.0	151.73	226.8	142.57	0.49	4.0	13.27	210.53	1.03	0.22	0.0	0.0
