	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040F04Rik	0.0	0.0	0.0	26.03	2.02	1.53	3.04
1110067D22Rik	0.0	0.0	0.0	403.94	55.31	52.26	52.79
1700049G17Rik	0.68	0.0	0.0	65.85	5.69	4.98	4.91
2610206C17Rik	0.0	0.0	0.0	0.2	0.52	0.05	0.18
3110021N24Rik	0.0	0.0	0.0	45.09	10.84	9.7	11.31
4921536K21Rik	0.0	0.0	0.0	0.13	0.45	0.72	0.7
4930455C21Rik	17.92	96.41	5.31	165.48	20.81	20.82	22.2
9130221F21Rik	0.14	0.51	1.1	10.02	3.32	3.01	4.53
9930021D14Rik	0.0	0.0	0.0	20.41	0.0	0.37	0.0
A830019L24Rik	0.0	0.0	0.0	42.88	0.6	0.74	0.5
AI429214	0.0	0.0	0.2	21.93	3.3	3.29	3.74
AW495222	0.0	0.0	0.0	196.94	7.64	6.64	6.52
Amhr2	0.0	0.0	0.0	9.48	1.17	0.82	0.84
Amotl2	0.0	0.0	0.0	60.67	13.61	15.01	13.33
Arhgap39	0.0	0.0	0.0	25.25	43.44	45.47	45.88
Atpaf2	0.18	0.0	0.63	184.11	22.41	23.37	24.34
B020014A21Rik	0.31	0.0	0.81	6.79	2.66	1.69	2.72
BC030307	0.0	0.0	0.0	0.09	1.39	0.97	1.46
Bche	0.0	0.0	0.0	0.48	3.06	2.87	2.75
Calhm2	0.0	0.0	0.0	24.36	5.51	5.79	3.3
Cdc25a	0.0	0.0	0.0	45.19	3.58	4.21	3.39
Cml2	0.0	0.0	0.0	3.48	0.33	0.41	0.68
Cntrob	0.0	0.0	0.0	70.32	13.33	12.79	13.33
Creb3l2	0.0	0.0	0.0	30.47	5.84	5.34	6.09
Cyp7b1	0.0	0.0	0.0	136.84	13.12	12.19	13.12
D630023F18Rik	0.0	0.0	0.0	40.58	3.41	4.21	3.31
D630042F21Rik	0.0	0.0	0.0	0.16	0.03	0.0	0.06
Dcun1d1	0.0	0.0	0.0	247.54	28.99	26.8	28.36
Dlg5	0.0	0.0	0.0	2.74	14.3	13.9	15.68
Dok6	0.0	0.0	0.0	5.55	29.84	19.89	33.11
