	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310022B05Rik	0.0	0.0	0.0	114.36	0.0	0.21	40.21	0.26	0.19	120.14	0.0	0.0	0.0	0.0	1.99	46.11	51.31	45.81
2410002O22Rik	6.87	0.27	5.87	4.24	132.74	59.9	4.26	1.64	276.95	448.51	5.28	2.0	198.07	1.09	104.38	44.47	43.77	42.83
4930500J02Rik	0.89	0.0	0.0	1.35	1.57	0.0	1.14	0.0	0.0	2.17	0.0	0.0	0.0	0.0	2.54	2.3	1.97	3.37
9230112J17Rik	1.6	0.0	0.0	0.74	0.19	0.0	0.0	0.0	0.0	0.41	0.64	0.17	0.0	0.0	0.28	1.39	1.21	1.57
A930003A15Rik	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	0.0	4.07	0.0	0.0	0.0	0.0	0.0	0.69	0.59	1.2
AU022754	1.12	0.0	0.0	0.21	4.14	1.12	0.17	0.29	0.0	1.15	0.51	0.0	0.53	0.0	0.59	3.34	3.02	3.41
Abi2	0.11	0.0	0.86	298.71	352.44	0.56	282.41	348.2	0.0	599.01	0.0	0.0	72.74	248.9	113.96	98.85	90.11	93.98
Als2cr4	0.0	0.0	61.53	219.15	62.5	1.72	0.0	0.0	0.0	374.9	0.0	0.0	0.0	0.0	80.04	30.73	30.96	27.25
Alx4	0.35	0.0	0.17	0.34	0.88	0.67	0.31	0.15	0.47	1.12	0.21	0.0	0.79	0.0	0.23	1.44	0.95	1.11
Ankrd11	0.0	0.0	0.0	1.5	9.66	3.63	0.03	0.1	0.14	43.27	0.0	0.07	0.0	0.0	7.84	68.95	66.1	72.81
Asb3	0.0	0.0	0.0	0.0	21.29	0.0	0.0	0.0	0.0	559.38	0.0	0.0	0.0	0.0	36.81	12.52	11.04	11.72
Atg12	0.0	0.0	0.0	0.0	58.93	0.29	0.1	0.0	0.0	286.86	0.21	0.0	0.0	57.35	85.88	63.28	62.48	61.35
Atg7	0.0	0.0	291.97	0.0	4.38	0.0	89.8	0.0	0.0	272.88	0.42	0.0	5.0	0.0	19.98	18.47	21.21	22.24
Atpaf2	0.0	0.0	0.0	2.37	12.67	1.03	0.46	1.17	0.69	105.68	1.18	0.65	0.78	0.4	25.81	22.41	23.37	24.34
Bmyc	0.0	0.0	40.05	248.07	83.07	0.3	0.0	0.0	0.0	421.03	0.0	0.0	0.0	111.59	36.02	78.33	105.81	84.23
Camsap1	0.0	0.0	0.39	0.45	11.3	0.13	0.32	0.03	0.18	0.52	0.07	0.0	0.19	0.17	11.01	41.9	41.78	41.15
Ccdc58	0.0	0.0	0.0	0.0	31.21	0.34	0.0	0.0	0.0	415.55	0.0	0.0	0.0	0.0	9.86	13.02	10.85	10.76
Cenpo	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	3.97	3.2	2.47	2.08
Cgref1	0.0	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	8.86	26.66	28.98	29.97
Chrnb4	0.0	0.0	0.14	0.18	0.96	0.05	0.65	0.39	0.0	2.0	0.0	0.0	0.18	0.0	0.06	0.39	0.29	0.17
