	Ntsr1_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_16	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700009N14Rik	0.17	0.0	0.0	0.0	0.0	0.07	0.0
2310028H24Rik	70.98	0.0	0.0	0.0	162.12	167.13	173.94
4922501L14Rik	77.49	0.0	0.0	15.41	9.48	7.63	7.39
4930533P14Rik	0.4	0.0	0.0	0.0	0.18	0.0	0.0
A330041J22Rik	23.75	0.0	0.0	0.0	1.29	1.47	2.67
A730056A06Rik	9.19	0.0	0.0	0.0	3.56	2.62	3.48
A930005I04Rik	49.05	0.0	0.0	0.0	1.98	2.66	2.26
Btbd7	56.06	0.0	0.0	0.0	10.94	9.82	11.05
Ccl21c	3.12	0.0	0.0	0.0	2.51	1.59	0.0
Cd34	638.0	0.0	0.0	62.96	67.76	69.88	65.89
Cdk5r2	11.8	0.0	0.0	0.22	293.43	337.66	324.81
Cnn3	17.3	0.0	0.0	0.0	71.84	78.31	72.56
Cntn2	17.18	0.42	0.0	0.06	41.44	42.63	43.21
Col16a1	2.42	0.0	0.0	0.0	10.68	11.69	12.54
Crot	214.0	0.0	0.0	1.04	27.52	24.6	25.79
D630029K05Rik	0.04	0.0	0.0	0.0	0.09	0.13	0.24
Dedd	252.22	0.0	25.56	0.0	26.77	25.16	27.53
E2f1	153.82	5.24	4.2	7.74	14.95	13.52	12.78
Efhb	4.78	0.0	0.0	0.0	0.56	0.42	0.61
Eme1	5.64	0.0	0.0	0.0	0.05	0.44	0.48
Ercc1	316.38	0.0	0.58	0.29	24.84	30.75	27.46
Etohd2	77.65	0.0	0.0	0.0	2.13	2.44	2.25
Fah	264.25	0.0	0.0	0.0	31.75	26.48	28.3
Fbll1	66.28	0.0	0.0	0.21	34.35	40.91	38.67
Foxa1	0.06	0.0	0.0	0.0	0.0	0.0	0.0
Gadd45a	353.06	0.0	0.0	31.18	16.38	13.34	10.55
