	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_5	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001L19Rik	0.0	0.0	0.0	15.72	13.93	14.24
2310042D19Rik	0.0	0.0	0.0	2.05	2.51	2.54
2810403D21Rik	0.0	0.0	0.0	1.42	1.46	1.35
6030468B19Rik	0.0	0.0	0.0	0.09	0.18	0.19
9230009I02Rik	0.0	0.0	0.0	0.75	0.16	0.45
A330049N07Rik	0.0	0.0	0.0	2.67	2.33	3.13
AV051173	0.0	0.0	0.0	0.17	0.46	0.17
Abhd11	0.0	0.0	0.0	39.94	43.8	41.16
Adamts6	0.0	0.0	0.0	1.71	1.92	2.25
Adat2	0.0	0.0	0.0	9.09	9.16	9.72
Adat3	0.0	0.0	0.0	4.12	5.31	4.5
Ahdc1	0.6	0.07	0.0	21.02	21.81	21.88
Ammecr1	0.0	0.0	0.0	2.4	2.07	1.86
Arf5	0.0	0.0	0.0	212.82	242.07	231.34
Atp2b4	0.0	0.0	0.0	114.5	105.28	114.98
Atp6v0a4	0.0	0.0	0.0	0.19	0.24	0.23
BC025920	0.0	0.0	0.0	4.36	4.01	4.96
Bahcc1	0.0	0.0	0.0	8.31	8.54	9.14
Baiap2l2	0.0	0.0	0.0	2.34	3.74	2.67
C030016D13Rik	0.0	0.0	0.0	0.42	0.54	0.31
C78339	0.0	0.0	0.0	53.37	52.67	56.22
Ccr9	0.31	0.11	0.0	0.38	0.66	0.73
Cenpe	0.0	0.0	0.0	0.45	0.34	0.67
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col24a1	0.0	0.0	0.0	4.26	3.9	5.15
Cyp26b1	0.0	0.0	0.0	6.45	6.02	6.0
Cyp4f13	0.0	0.0	0.0	8.9	9.75	12.47
D030025P21Rik	0.0	0.0	0.0	0.05	0.08	0.04
Ddr1	0.0	0.0	0.0	49.01	57.35	57.3
Ehf	0.0	0.0	0.0	0.02	0.15	0.08
Eppk1	0.0	0.0	0.0	0.04	0.15	0.1
Etaa1	0.0	0.0	0.0	5.25	5.89	5.8
Fam20c	0.0	0.0	0.0	29.59	30.66	29.16
Fam72a	0.0	0.0	0.0	0.89	1.6	1.26
Fhad1	0.0	0.0	0.0	2.51	1.97	2.33
Gigyf1	3.52	29.08	0.0	34.53	40.61	39.7
Glrp1	0.0	0.0	0.0	0.29	0.48	0.47
Gm14872	0.0	0.0	0.0	7.05	6.23	6.99
Gm8369	0.0	0.0	0.0	0.07	0.14	0.15
Gnaz	0.0	0.0	0.0	56.74	56.71	56.07
Grap	0.0	0.0	0.0	7.02	6.97	6.9
Gstm4	0.0	0.0	0.0	12.76	12.91	11.48
H2-K1	0.0	0.0	0.0	31.51	30.73	29.74
Hcrtr1	0.0	0.0	0.0	2.81	2.83	2.99
Hist1h1d	0.0	0.0	0.0	0.03	0.17	0.1
I830012O16Rik	0.0	0.0	0.0	4.81	4.47	3.2
Irgq	0.07	0.94	0.0	67.22	66.07	66.39
Kcna5	0.0	0.0	0.0	5.29	5.97	4.82
Kcns1	0.0	0.0	0.0	14.64	18.65	18.42
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif13a	0.0	0.0	0.0	13.91	12.9	14.69
Klrg2	0.0	0.0	0.0	0.35	0.19	0.22
Ky	0.0	0.0	0.0	2.21	2.0	1.76
Lama3	0.0	0.0	0.0	2.18	1.91	2.55
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lphn2	0.0	0.0	0.0	51.0	46.86	49.63
Magel2	0.0	0.0	0.0	1.85	2.3	2.15
Mapk8ip3	59.53	4.12	0.0	224.21	229.53	233.17
Me1	0.0	0.0	0.0	46.9	47.04	44.19
Megf8	13.97	0.0	0.0	58.28	58.89	62.16
Mfsd9	0.0	0.0	0.0	4.87	4.59	5.0
Mgat4b	0.0	0.0	0.0	53.59	58.57	53.64
Mr1	0.0	0.0	0.0	3.74	2.89	4.06
Nkain1	0.0	0.0	0.0	47.92	51.3	48.5
Nos3	0.0	0.0	0.0	6.71	6.74	7.32
Nxph3	0.0	0.0	0.0	29.11	33.94	31.51
Oaf	0.0	0.0	0.0	9.32	10.52	8.55
Pex26	0.0	0.0	0.0	11.99	12.25	10.97
Pigt	14.65	0.0	0.0	72.19	79.62	79.03
Pnp	0.0	0.0	0.0	12.23	9.31	10.95
Prpf3	0.0	0.0	0.0	16.36	17.62	15.51
Ptgfrn	0.0	0.0	0.0	22.87	21.65	22.36
Ptgs2	0.0	0.0	0.0	8.98	8.44	8.98
Rbfox3	0.0	4.68	3.48	216.71	228.38	226.62
Rdh10	0.0	0.0	0.0	12.41	11.21	9.61
Rnf144a	0.0	0.0	0.0	20.01	19.24	19.9
S1pr5	0.0	0.0	0.0	13.6	15.22	18.08
Sac3d1	0.0	0.0	0.0	20.75	25.79	23.82
Serpinb6c	0.0	0.0	0.0	0.31	0.22	0.24
Slc29a4	0.0	0.0	0.0	9.37	9.23	10.36
Socs7	3.28	4.32	0.0	56.67	54.53	51.79
Sost	0.0	0.0	0.0	0.05	0.09	0.1
Ssh3	0.0	0.0	0.0	29.63	30.64	31.84
Syt17	0.0	0.0	0.0	56.63	51.77	56.47
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tceal6	63.58	3.55	0.89	120.76	130.38	124.57
Tcf3	0.0	0.0	0.0	18.71	22.55	19.67
Tex11	0.0	0.0	0.0	0.18	0.2	0.09
Tfam	0.11	0.12	0.0	20.22	20.62	20.25
Tgfa	0.0	0.0	0.0	24.02	24.04	24.52
Thbd	0.0	0.0	0.0	11.85	11.46	10.75
Tmc8	0.0	0.0	0.0	0.44	0.65	0.77
Tspan1	0.0	0.0	0.0	0.3	0.14	0.42
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ulk4	0.0	0.0	0.0	3.73	3.86	4.42
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Xrcc6bp1	0.0	0.0	0.0	9.32	11.59	11.36
Zc3h12d	0.0	0.0	0.0	0.07	0.05	0.09
Zfp36l3	0.0	0.0	0.0	0.04	0.04	0.12
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zranb3	0.0	0.0	0.0	5.96	5.3	5.59
c2_tRNA-Ala-GCY_	0.0	0.0	0.0	75.8	61.09	57.21
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
