	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Cux2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_121	Htr3a_tdTpositive_cell_123	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_51	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_69	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_107	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_129	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_155	Scnn1a.Tg3_tdTpositive_cell_64	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K19Rik	5.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.93	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.18	3.22	3.51
1700019E19Rik	89.21	0.0	0.0	0.0	0.0	0.0	114.43	0.0	0.0	67.57	66.59	0.0	0.0	0.0	91.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.52	85.72	0.0	0.0	0.0	0.0	0.0	0.0	98.93	92.79	0.0	0.0	0.0	102.62	59.49	217.8	0.0	0.0	0.0	0.0	0.0	134.14	57.8	7.98	90.02	75.6	0.0	0.0	28.26	42.39	22.55	27.07	36.31	23.53	0.44	0.0	0.0	18.51	0.0	0.0	0.0	0.0	0.0	0.0	15.13	13.42	16.41
1700110I01Rik	0.0	0.0	0.0	0.0	0.0	0.24	0.24	0.0	0.21	0.2	0.04	0.51	0.0	0.0	0.28	0.22	4.61	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.4	0.0	0.0	0.0	0.0	0.33	0.49	0.32	0.2	0.0	0.0	0.0	0.0	0.23	0.0	0.0	49.69	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.45	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.29	1.64	1.05	1.89
4921523A10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	1.01	0.0	0.16	0.0	0.0	64.56	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69	1.11	0.55	0.51
4930473A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.16	0.0	0.0	0.0	0.0	4.3	0.0	0.0	24.49	0.0	0.0	0.0	0.0	0.0	0.0	1.04	2.61	0.0	0.0	0.16	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1.32	1.42
4930474H20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930474N09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.24	0.26
4930502E18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.67	0.0	0.0	2.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.79	0.34
4933403G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	43.99	0.0	0.0	56.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	0.0	0.0	0.48	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.55	2.38	3.12
5033411D12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12	3.42	3.87
