	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_18	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_167	Rbp4_tdTpositive_cell_172	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_51	Rorb_tdTpositive_cell_53	Scnn1a.Tg3_tdTnegative_cell_13	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Add1	0.0	66.66	65.03	19.59	0.0	0.0	0.0	126.54	230.4	94.16	72.27	1.93	0.18	40.52	111.4	4.27	0.0	48.88	0.11	69.6	9.13	64.82	0.16	4.85	143.13	84.03	28.89	34.21	88.94	58.33	92.96	0.11	0.0	147.43	90.33	0.64	1.94	26.25	76.95	6.96	0.0	0.08	77.89
Arhgap25	0.0	222.3	26.47	116.12	0.0	0.0	0.0	0.0	305.07	35.73	175.76	0.0	0.0	136.64	250.66	0.0	0.0	172.51	0.0	0.84	48.97	0.0	0.0	106.54	172.45	0.12	0.0	0.0	0.0	48.16	158.38	0.17	0.0	0.0	262.74	0.61	0.0	0.0	0.0	0.0	108.98	0.0	0.1
Atp8a1	0.0	87.18	70.0	131.93	16.52	29.76	52.86	164.84	99.66	127.21	110.67	90.1	15.51	33.87	39.18	49.06	2.77	16.6	48.13	67.12	69.21	20.04	77.38	0.76	136.12	115.25	43.31	47.69	0.19	44.72	33.34	0.0	82.45	70.2	38.13	24.93	214.58	3.69	55.82	18.89	16.43	14.16	54.62
Cadm1	0.0	60.88	7.92	42.11	2.0	23.61	2.34	16.89	189.04	31.92	122.2	74.79	55.17	84.29	67.41	9.72	4.95	1.89	146.01	7.23	13.31	4.85	5.27	66.93	109.71	126.8	32.22	8.75	14.13	86.87	10.15	0.0	1.41	90.38	12.38	4.13	0.16	88.63	160.1	91.91	55.37	91.23	29.46
Celf2	0.0	114.79	183.3	178.43	52.83	395.26	82.97	61.59	190.73	126.02	146.91	81.7	144.18	116.13	156.98	0.53	0.0	85.33	92.3	101.36	111.92	85.73	105.45	15.78	139.42	171.46	71.94	54.09	81.08	110.86	54.37	0.62	0.0	213.28	95.84	78.18	0.0	69.7	162.56	104.91	62.39	59.31	58.0
Clec16a	0.0	31.72	0.0	51.42	0.0	0.0	0.0	0.0	24.99	14.05	44.39	2.59	0.0	0.0	12.72	0.0	0.0	0.0	0.0	35.31	29.55	19.78	0.7	0.05	14.29	33.85	0.0	0.0	0.0	1.57	24.02	0.0	1.49	7.6	19.89	31.8	0.0	0.09	0.0	0.0	0.38	0.0	0.0
Cygb	0.82	0.14	0.0	4.59	0.7	0.0	0.0	25.84	1.14	0.8	30.87	27.16	0.0	76.09	5.95	1.0	0.0	0.0	13.25	23.92	56.85	0.12	0.0	25.37	150.75	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	19.18	0.0	4.27	0.0	0.0	13.59	0.0	25.79	23.57	0.0
Dnajc27	0.0	1.48	0.0	0.0	0.0	37.47	0.0	13.21	31.97	36.14	64.49	46.37	74.65	0.0	0.43	0.0	0.0	26.9	0.09	106.47	58.64	0.0	106.4	0.0	50.35	80.94	0.0	27.65	47.85	25.37	93.93	0.09	0.0	111.47	0.75	17.67	0.0	0.0	0.0	0.06	0.0	4.79	48.16
Dpp10	0.0	108.8	50.52	75.83	5.78	5.39	0.0	156.31	156.8	126.84	230.13	55.11	36.39	111.09	258.04	0.0	0.0	13.52	19.29	135.85	57.57	49.87	97.67	0.4	62.96	96.78	71.31	81.03	330.2	80.3	159.74	0.18	0.0	130.9	151.64	71.26	0.0	0.24	0.06	0.06	91.06	36.31	30.64
Elof1	270.63	249.29	196.8	237.25	0.0	0.0	0.0	194.64	109.64	155.28	293.06	157.66	105.21	207.76	152.73	1.14	0.0	75.35	152.2	164.64	237.58	248.98	0.0	150.05	374.38	114.8	0.0	119.59	230.7	135.32	276.8	0.0	0.0	106.43	114.54	148.5	0.0	0.0	62.69	315.26	569.08	189.1	0.24
