	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700007L15Rik	0.0	0.0	0.0	0.41	0.9	0.85
1700015F17Rik	0.0	0.0	0.0	0.14	0.0	0.15
1700066J24Rik	0.0	0.0	0.0	122.44	120.76	115.31
2210016F16Rik	0.0	0.0	0.0	7.76	8.47	8.83
2310001A20Rik	0.0	0.38	0.88	59.4	62.01	57.4
4921536K21Rik	0.0	0.0	0.0	0.45	0.72	0.7
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930426L09Rik	0.0	0.0	0.0	1.07	1.14	1.66
4930505A04Rik	0.0	0.0	0.0	1.75	0.62	0.79
4930572J05Rik	0.0	0.0	0.0	62.99	72.32	67.03
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933412O06Rik	0.0	0.0	0.0	2.06	2.96	2.96
5031414D18Rik	0.0	0.94	0.0	1.82	1.47	1.38
5730480H06Rik	0.0	7.81	0.0	2.44	1.09	1.49
A730020M07Rik	0.0	0.0	0.0	0.25	0.25	0.36
AI314180	0.0	15.32	0.4	52.59	46.66	49.63
AK129341	0.0	0.0	1.57	11.03	10.01	10.88
Abcc10	0.0	0.0	0.0	7.25	8.35	8.26
Acsm4	0.0	0.0	0.0	0.14	0.09	0.09
Adap2	795.7	0.0	0.0	5.37	5.17	6.05
Ammecr1	0.0	0.0	0.0	2.4	2.07	1.86
Angptl2	0.0	0.0	0.0	2.63	3.5	2.48
Antxr1	0.0	0.0	0.0	9.98	8.77	8.59
Ap1s3	10.64	5.15	6.39	10.15	9.11	11.48
Arhgef1	0.0	0.0	0.0	45.39	45.58	47.1
Arhgef33	0.0	0.0	0.0	0.59	0.78	0.58
Arhgef37	0.0	0.0	0.0	1.59	1.84	1.79
Atp6v1c2	0.0	0.0	0.0	1.81	2.88	1.64
BC068157	0.0	0.0	0.0	21.94	22.67	21.53
Bche	0.0	0.0	0.0	3.06	2.87	2.75
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmp8a	0.0	0.0	0.0	0.43	0.28	0.28
C030046E11Rik	0.0	0.25	1.13	24.7	21.25	22.83
C130026L21Rik	0.0	0.0	0.0	6.59	4.79	6.36
Cacna2d3	0.0	0.0	0.0	91.48	87.75	93.67
Capn12	0.0	0.0	0.6	0.63	0.73	0.8
Capn9	0.0	0.0	0.0	0.08	0.04	0.04
Car4	0.0	0.0	0.0	49.01	52.92	48.62
Ccdc79	0.0	0.0	0.0	1.1	1.16	0.79
Cd19	0.0	0.0	0.0	0.12	0.04	0.04
Cd200r1	0.0	0.0	0.0	1.0	0.49	1.35
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdhr2	0.0	0.0	0.0	0.45	0.22	0.22
Cdkn3	0.0	0.0	0.0	0.93	0.75	0.96
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col7a1	0.0	0.0	0.05	1.26	1.66	1.5
Crb2	0.0	0.0	0.0	2.19	2.67	2.67
Cxcl16	0.19	0.0	0.0	1.61	1.39	1.16
Dact3	0.0	0.88	1.36	125.8	137.92	131.01
Dlx3	0.0	0.0	0.0	0.08	0.04	0.04
Dnahc2	0.0	0.0	0.0	0.8	0.86	0.83
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dusp5	0.0	0.0	0.0	13.73	13.94	7.55
E130309D14Rik	0.0	23.32	6.09	22.12	25.86	22.76
E2f8	0.0	0.0	0.0	0.36	0.58	0.55
Efna4	0.0	0.0	0.0	0.42	0.35	0.73
Epb4.1l1	0.0	26.84	18.1	226.35	219.82	236.74
Extl1	0.0	0.0	0.0	50.72	51.07	50.15
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
