	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930415F15Rik	0.0	0.0	0.0	0.41	0.26	0.28
4932425I24Rik	0.0	0.0	0.0	1.03	1.14	1.18
5430427M07Rik	0.0	0.0	0.0	0.58	0.51	0.6
6330407J23Rik	0.0	0.0	0.0	49.96	45.74	58.4
AI450353	0.0	0.0	0.0	5.11	4.5	4.53
AU022252	0.0	0.0	0.0	16.01	16.89	16.36
Ap4s1	0.0	0.0	0.0	59.25	59.9	58.08
Arf5	0.0	0.0	0.0	212.82	242.07	231.34
Arih2	0.0	0.0	0.0	31.73	32.75	30.87
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B4galt5	0.0	0.0	0.0	26.52	28.02	29.16
C1qbp	0.0	0.0	0.0	85.04	87.25	84.09
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacnb2	0.0	0.0	0.0	33.74	31.87	33.43
Ccdc105	0.0	0.0	0.0	0.23	0.54	0.6
Ccl27b	0.0	0.0	0.0	30.63	28.29	22.96
Cd33	0.17	0.14	0.0	5.21	4.81	6.26
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chpt1	0.0	0.0	0.0	33.45	24.64	32.57
Cnot6	0.0	0.0	0.0	35.36	33.77	31.14
Cpd	0.0	0.0	0.0	39.33	37.42	38.35
Creld1	0.0	0.0	0.0	81.42	90.54	85.74
Csrnp1	0.0	0.0	0.0	12.73	12.69	6.34
Cyp20a1	0.0	0.0	0.0	14.09	13.9	12.77
Cyp2j8	0.0	0.0	0.0	0.2	0.12	0.07
D730040F13Rik	1.31	0.05	0.0	22.62	16.53	21.26
Dnttip2	0.0	0.0	0.0	21.1	18.52	16.99
E130304F04Rik	0.0	0.0	0.0	14.75	15.69	14.41
Eif4e1b	0.0	0.0	0.0	0.3	0.16	0.36
