	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_56	Sst_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001J03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.53	0.37	0.68
1700019A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	32.48	0.49	0.16	0.17
1700026J04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.14	0.0	0.0	0.78	0.74	0.94
1700096K18Rik	0.0	0.45	0.3	0.0	0.0	0.69	0.0	0.16	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.17	24.84	3.24	3.83	3.56
1700113I22Rik	0.21	0.0	0.0	0.0	0.0	0.0	0.0	17.07	0.0	0.0	0.0	0.0	0.19	0.57	0.0	0.0	18.6	3.37	2.67	2.96
4921523A10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.0	1.3	1.11	0.55	0.51
4930414N06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.62	0.0	47.97	0.21	0.57	0.48
4930420K17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	1.6	0.33	0.0	0.79	0.85	6.17	25.36	13.13	13.26	16.54
4932418E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	2.57	2.74	3.13
Add2	50.65	43.46	0.08	0.0	0.0	0.0	0.0	0.0	0.0	77.59	0.0	3.47	3.88	10.49	45.39	0.0	22.2	117.5	113.28	121.53
Akt2	0.21	142.38	0.09	0.0	0.0	0.0	102.8	73.26	0.0	0.06	0.42	0.0	0.0	0.0	0.0	0.0	0.0	92.36	87.56	96.59
Aldoart2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.39	0.37	0.07	0.13
Arfgap1	41.36	0.76	0.0	0.0	65.58	0.0	97.9	88.36	0.05	14.53	0.0	60.9	0.0	4.27	0.0	0.0	3.69	88.85	98.95	100.44
B3gnt5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.06	0.42	0.63	0.51
