	Chrna2_tdTpositive_cell_62	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106
2700070H01Rik	4.26	0.0	1.11	2.86	1.09	3.59	0.94	2.83	8.21	1.23	2.33	1.3	1.01	4.2	4.07	0.84	3.13	1.5	3.09	4.71	3.38	4.8	0.44	0.68	1.59	5.78	3.64	6.0	3.82	3.03	3.78	4.53	3.22	0.1	0.0	0.0	2.57	2.28	0.0
Adcy9	0.58	0.0	14.53	0.0	1.14	0.0	0.0	23.98	0.0	0.0	23.02	0.0	33.31	0.0	23.33	2.22	1.13	0.0	0.0	27.18	5.89	0.0	0.0	0.0	0.0	29.56	0.35	3.44	1.46	0.0	4.27	9.34	17.49	0.0	0.0	0.0	0.0	0.0	0.0
Arhgef12	20.44	0.0	12.27	24.97	10.36	0.03	0.0	10.06	6.81	2.22	3.64	19.53	6.18	20.35	65.45	13.64	1.03	11.65	16.26	20.76	4.75	19.89	1.09	27.66	14.53	32.98	0.73	17.26	25.89	1.81	34.44	11.85	19.61	0.0	175.05	0.0	39.1	0.0	0.07
Atxn7l3	4.0	0.0	0.34	0.0	6.86	0.39	0.0	0.3	0.0	0.0	4.08	2.64	6.56	1.24	66.09	20.97	0.0	0.0	0.46	11.12	46.87	0.91	0.0	0.0	0.2	12.94	0.32	0.5	0.89	11.18	16.69	2.68	14.86	0.0	0.0	0.0	2.48	19.17	0.0
Chd8	4.9	0.0	0.08	1.78	8.95	22.76	0.0	0.0	12.9	0.04	16.35	16.14	7.75	12.82	13.52	4.91	0.0	0.85	1.94	13.58	4.76	15.56	3.33	6.51	23.59	7.61	4.33	13.23	23.6	8.05	21.6	1.23	0.07	0.0	0.0	0.0	0.76	3.33	0.04
Chrm4	0.4	0.0	0.23	0.0	0.11	0.0	0.0	0.27	0.59	0.0	0.0	0.81	0.0	4.77	2.7	0.16	0.0	0.16	2.29	0.13	21.27	0.85	0.0	1.62	0.81	0.41	1.98	2.12	0.3	0.95	44.76	0.89	0.49	0.0	0.0	0.0	1.42	0.24	0.0
Grlf1	12.04	0.0	30.58	2.32	24.78	3.28	0.0	10.91	0.43	1.35	8.63	19.36	11.28	47.35	48.15	3.99	19.62	8.17	9.3	8.35	51.13	55.26	4.23	2.27	7.25	18.24	7.02	19.91	21.79	0.35	50.74	8.66	9.28	0.0	0.0	0.0	14.08	2.01	2.5
Gtf2i	17.84	0.0	0.73	46.44	1.87	0.0	0.0	1.84	4.41	0.98	7.7	63.86	2.41	41.81	21.47	0.6	0.27	6.08	27.34	21.46	45.2	68.75	13.29	51.76	1.93	50.01	54.09	49.39	102.14	3.46	55.31	28.83	37.8	0.0	0.0	0.0	81.76	60.74	0.08
Ifrd1	41.4	0.0	0.0	0.0	56.9	19.93	0.0	12.92	80.57	11.68	6.44	0.25	14.01	13.16	149.73	3.38	0.0	36.51	0.71	51.15	11.62	1.68	0.0	0.0	40.91	51.5	1.96	59.77	0.23	0.84	70.6	7.26	12.11	0.0	0.0	0.0	16.9	95.56	0.0
Iscu	42.36	0.0	25.43	0.0	38.45	11.86	0.0	41.29	7.23	1.93	25.92	0.0	47.03	2.9	130.2	0.51	36.48	0.0	5.5	56.75	48.85	88.24	0.0	26.47	43.95	60.66	102.85	135.18	21.76	14.24	48.72	35.79	34.83	0.0	0.0	0.0	0.0	15.5	0.0
Kcnc3	12.83	0.0	0.0	13.55	8.14	17.17	0.0	0.36	4.56	0.02	4.92	11.9	7.36	15.04	11.75	7.73	1.69	0.17	3.4	0.07	16.02	3.61	1.51	8.31	1.07	7.85	0.46	13.63	8.76	8.27	19.09	2.49	8.74	0.0	0.0	0.0	6.44	2.45	0.0
Lancl1	138.2	0.0	36.69	106.06	29.05	147.62	0.0	63.43	65.09	67.14	92.35	67.51	119.77	106.16	174.56	47.43	24.61	52.45	43.28	202.37	63.9	75.13	99.08	217.85	134.46	237.45	31.81	118.71	115.04	104.93	50.85	159.85	89.87	0.0	0.0	0.0	31.74	34.94	6.12
