	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_4	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51
0610010B08Rik	0.24	0.0	0.06	0.0	0.0	0.0	48.31	0.45	45.53	30.03	1.11	12.26	41.3	1.56	37.24	28.14	15.71	13.5	14.58	37.78	14.76	22.01	30.43	43.91	10.96	11.07	15.46	12.05	5.5	15.13	14.51	0.26	24.77	28.25	0.47	11.04	74.99	6.95	7.16
Abca2	2.4	0.0	0.0	0.0	0.0	0.0	3.08	0.15	12.75	0.09	7.83	1.97	7.28	0.38	1.09	7.92	3.78	8.31	0.14	4.97	3.02	6.51	37.69	36.54	4.24	7.09	11.98	30.68	0.05	11.45	8.38	26.41	14.15	11.79	0.07	6.23	4.0	5.19	0.0
Adar	37.19	0.0	0.0	0.0	0.0	0.0	27.23	0.3	25.73	24.12	19.08	12.23	21.82	82.7	21.98	28.66	41.75	16.85	0.66	13.93	28.67	38.89	83.11	68.58	21.17	40.17	20.97	23.64	6.09	35.52	59.55	7.97	20.58	65.52	8.23	9.24	37.54	6.43	5.05
Arap2	0.0	0.0	0.0	0.0	0.06	0.25	8.21	0.16	42.98	41.52	0.33	40.74	13.82	23.13	27.93	1.48	18.69	0.0	0.89	15.49	0.0	67.02	70.73	82.01	23.73	2.76	6.23	11.39	2.03	7.43	1.94	38.73	31.4	9.96	14.4	32.28	40.28	3.81	6.47
Arfgef1	0.0	0.0	0.0	0.0	0.0	0.0	12.29	0.0	35.31	11.49	13.19	12.06	15.21	37.58	74.1	7.53	33.83	55.63	0.0	19.52	20.02	17.81	13.51	80.6	0.16	9.38	23.65	16.78	5.44	21.79	18.92	14.47	18.19	7.31	16.56	4.51	22.48	16.27	16.97
B230208H17Rik	0.08	0.0	0.0	0.0	0.0	0.0	15.64	215.45	2.25	0.0	1.73	35.34	11.54	18.26	10.24	3.25	0.69	1.28	0.0	0.0	0.0	3.19	92.9	46.24	17.08	19.4	14.01	1.58	14.07	9.59	30.03	0.0	0.0	22.15	0.85	9.12	18.96	19.99	0.06
B4galt6	0.41	0.0	1.62	1.39	1.24	1.93	24.18	1.89	25.62	31.49	24.23	15.24	23.97	12.24	28.69	55.75	6.58	43.0	8.94	27.51	16.9	10.19	43.64	75.91	19.96	51.31	44.62	14.06	43.73	23.92	27.45	68.12	29.11	12.92	33.79	21.35	44.5	17.64	8.57
Ccdc75	0.61	0.0	0.11	7.92	0.25	4.09	39.46	0.57	12.99	5.81	41.01	36.1	3.31	36.53	3.53	20.14	20.12	20.58	6.06	44.88	12.36	1.04	17.61	138.35	91.8	2.61	43.08	9.67	16.7	35.59	32.0	45.87	8.69	0.94	71.66	24.73	90.83	6.72	120.91
Cd209c	4.46	0.0	0.3	0.0	0.0	0.0	10.5	0.79	16.24	27.01	0.0	31.24	14.9	35.38	68.13	20.84	9.88	18.24	5.03	4.72	9.17	11.74	52.48	77.59	9.31	0.27	19.07	1.65	4.73	0.75	24.6	4.73	40.38	1.73	7.34	9.41	16.56	18.03	28.97
D430041D05Rik	0.0	0.0	0.0	0.0	0.04	0.09	14.73	0.12	8.99	0.75	10.87	0.0	5.45	16.71	37.2	0.0	20.21	21.01	0.0	14.07	13.06	8.62	30.36	53.47	0.0	37.0	6.12	20.63	22.98	25.65	6.48	20.71	4.97	5.74	3.15	9.4	8.44	19.73	13.59
Dcun1d4	1.92	0.0	0.0	0.0	0.0	0.0	4.57	0.0	27.68	9.77	14.75	26.46	4.13	21.66	17.89	20.08	2.28	1.5	0.82	0.15	28.38	1.59	120.42	78.89	31.48	105.34	33.19	4.8	9.59	8.69	19.51	0.0	5.22	3.64	1.96	10.76	13.06	3.35	17.92
Dnajc6	12.2	0.0	0.0	0.0	0.09	0.0	49.08	0.12	72.47	84.57	48.8	51.87	51.48	98.57	53.6	31.7	53.05	21.92	32.3	40.3	44.01	23.03	53.22	64.56	62.44	91.72	54.9	25.59	34.17	52.43	61.17	26.02	16.9	23.56	30.19	70.11	60.46	36.68	29.94
Fam49a	0.05	0.0	0.0	0.0	0.0	0.0	84.07	0.25	66.91	45.26	31.1	74.33	72.6	158.31	53.28	74.91	78.7	68.0	114.29	29.54	119.44	50.73	44.13	219.84	68.8	173.99	56.53	19.72	39.71	219.47	93.3	35.61	132.81	69.15	67.0	16.46	153.14	27.93	130.3
Fkbp15	0.0	0.0	0.0	1.21	0.0	0.0	1.05	0.0	18.01	0.14	0.0	0.0	0.0	0.0	23.81	2.17	18.84	0.35	0.0	28.26	2.52	5.66	55.71	67.35	15.42	1.96	5.39	0.0	0.09	0.0	1.83	13.93	14.21	3.82	0.12	0.0	0.12	2.89	4.93
Flrt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	16.96	10.25	0.13	0.43	0.0	11.32	0.0	1.06	0.0	7.38	0.0	11.65	14.86	45.73	71.95	15.91	0.0	32.41	12.56	0.0	14.79	15.58	0.0	17.88	0.0	13.65	42.86	35.58	0.0	13.1
Gm14430	0.0	0.0	0.07	0.0	0.0	0.0	3.32	0.0	31.03	36.04	0.0	14.72	31.75	1.87	14.72	6.05	13.5	14.04	5.35	16.5	13.46	12.83	28.02	52.69	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	9.13	19.5	0.54	6.88	14.82	8.34	2.38
Gm14431	0.0	0.0	0.78	0.0	0.0	0.0	0.76	0.24	1.71	0.62	0.74	0.0	7.8	6.64	3.35	3.96	2.26	5.03	0.0	2.76	5.1	0.76	1.99	5.14	1.79	1.31	1.04	2.52	4.65	0.0	5.83	1.51	0.0	1.48	1.58	0.43	1.56	0.36	1.92
Gm14434	0.0	0.0	0.07	0.0	0.0	0.0	3.32	0.0	31.03	36.04	0.0	14.72	31.75	1.87	14.72	6.05	13.5	14.04	5.35	16.5	13.46	12.83	28.02	52.69	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	9.13	19.5	0.54	6.88	14.82	8.34	2.38
Gm4724	0.0	0.0	0.07	0.0	0.0	0.0	3.32	0.0	31.03	36.04	0.0	14.72	31.75	1.87	14.72	6.05	13.5	14.04	5.35	16.5	13.46	12.83	28.02	52.69	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	9.13	19.5	0.54	6.88	14.82	8.34	2.38
Gm8898	0.0	0.0	0.78	0.0	0.0	0.0	0.76	0.24	1.71	0.62	0.74	0.0	7.8	6.64	3.35	3.96	2.26	5.03	0.0	2.76	5.1	0.76	1.99	5.14	1.79	1.31	1.04	2.52	4.65	0.0	5.83	1.51	0.0	1.48	1.58	0.43	1.56	0.36	1.92
Gtf3c6	0.0	0.0	463.07	0.48	0.0	0.0	158.71	0.0	33.15	84.13	49.13	127.83	48.59	44.64	22.0	37.8	98.3	45.37	37.64	39.51	68.66	0.0	203.37	151.14	97.06	132.41	23.28	53.13	24.92	28.19	74.26	0.0	23.2	2.43	130.49	90.47	0.0	39.06	0.0
Hiat1	0.0	0.0	0.0	0.0	0.0	0.0	10.55	0.0	21.75	1.51	0.0	13.58	0.49	0.0	0.0	8.24	37.67	0.0	0.0	0.0	36.67	30.52	0.0	114.63	0.0	0.0	20.83	20.59	0.0	22.23	29.68	0.0	11.38	2.15	38.03	0.0	0.0	0.0	3.71
Hmgcl	0.0	0.0	0.0	0.0	0.0	783.43	114.5	0.0	42.8	95.17	212.72	0.0	57.43	81.2	66.59	80.49	77.22	96.27	152.41	189.89	127.06	193.09	399.13	241.88	143.22	40.35	127.57	192.43	439.19	103.02	80.17	3.14	117.7	122.79	90.73	356.59	231.99	83.54	117.89
Ica1	0.0	0.0	0.29	0.3	0.0	0.0	218.44	1.14	242.9	93.92	236.35	129.31	109.24	158.49	191.87	102.52	149.3	168.42	122.8	116.67	198.56	81.55	637.18	583.04	4.97	92.92	55.53	106.75	99.76	18.31	129.03	271.57	26.92	77.85	315.13	60.12	233.45	182.51	230.38
Ift52	47.92	0.0	0.0	0.89	0.0	0.0	96.36	435.72	29.76	21.91	90.81	0.0	42.68	80.28	152.98	59.12	17.99	6.48	37.17	108.42	45.21	51.92	34.51	238.65	0.0	112.69	41.67	40.67	34.44	0.71	46.9	35.69	51.66	20.56	23.5	110.92	211.09	81.33	92.57
Ldhb	8970.97	2593.67	3517.81	5274.92	0.0	5600.23	8752.31	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8517.89	9220.91	9343.6	8808.99	8223.21	8574.79	10165.1	9602.81	7343.35	7061.15	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	8275.76	7724.63	10182.84	11746.38
Lpgat1	101.55	0.0	0.0	0.0	0.0	0.0	69.74	0.25	54.56	43.0	69.75	54.43	67.09	86.15	85.91	71.93	89.12	87.39	57.14	9.88	153.02	83.4	32.59	182.03	66.68	75.5	87.84	97.92	43.5	77.25	64.29	26.85	60.24	33.64	145.26	102.45	73.06	65.64	120.03
Mars	0.0	0.0	3.9	0.0	0.0	0.0	1.28	17.88	0.4	13.7	0.0	34.04	56.44	10.4	21.84	0.0	54.47	0.0	23.72	77.73	0.0	72.07	148.97	174.94	0.51	133.17	5.3	0.0	0.0	59.32	0.0	69.5	13.81	0.0	0.0	3.76	36.72	0.46	0.0
Ncoa2	0.0	0.0	0.0	0.0	0.0	407.69	0.1	0.0	21.68	1.21	10.15	0.06	0.0	13.32	8.45	0.29	13.03	16.11	1.02	0.0	18.39	5.37	47.39	24.27	4.64	0.04	5.81	16.22	11.77	24.96	3.82	10.24	13.74	0.0	1.93	0.0	1.77	0.17	0.0
Nsg2	26.11	0.0	0.0	0.0	0.0	0.0	31.94	0.54	77.52	3.77	104.49	46.45	51.52	17.25	48.12	28.67	143.4	38.14	17.32	68.26	29.95	37.39	127.39	122.68	70.46	57.88	40.02	22.28	56.35	92.11	69.2	55.01	53.16	123.6	0.0	18.52	119.46	14.37	28.66
Ocrl	0.0	0.0	0.0	0.0	0.0	0.0	22.19	0.0	1.02	20.89	24.97	1.19	6.13	0.0	34.44	15.69	44.66	45.03	24.39	10.39	23.07	0.09	65.61	144.26	0.0	34.59	18.03	0.0	20.91	36.49	33.43	66.72	4.28	0.0	22.57	24.61	57.93	1.99	7.5
Pclo	44.61	0.0	0.06	0.12	0.0	0.14	15.35	0.54	20.22	20.7	7.01	23.1	25.12	49.71	43.24	34.58	32.75	26.02	24.42	13.08	19.5	43.09	46.57	46.6	45.69	25.34	32.8	10.76	8.43	42.4	32.67	14.58	32.88	11.3	12.28	29.51	28.64	24.99	12.64
Pigk	54.58	0.0	0.0	0.0	0.0	0.0	13.2	0.0	79.92	61.6	87.23	21.57	59.79	30.55	76.39	68.11	34.82	26.37	16.23	63.44	35.62	26.46	52.25	154.37	90.24	49.79	58.35	38.0	27.68	78.81	76.47	44.67	34.4	45.69	6.22	11.11	125.98	35.45	45.14
Pisd	98.69	0.0	22.15	43.05	0.89	13.03	126.63	0.28	36.78	84.97	45.42	8.34	68.19	72.34	24.81	0.73	117.43	40.4	43.22	56.93	75.86	4.34	113.26	435.71	291.41	70.47	91.82	2.08	131.97	123.74	139.71	10.33	12.34	10.47	1.56	20.01	55.6	76.25	2.56
Ppm1e	18.92	0.0	0.07	0.0	0.0	0.0	20.09	0.0	92.55	73.35	26.48	31.4	25.38	47.25	34.2	33.24	38.29	25.38	7.09	103.4	92.34	54.6	66.61	44.98	49.16	62.8	84.65	60.11	38.92	68.41	2.11	28.0	82.36	40.3	54.78	2.08	80.84	46.65	38.2
Ppp3r1	17.92	10.81	0.0	0.0	20.9	0.0	65.29	6.55	82.77	95.45	38.25	106.31	36.73	89.22	104.77	50.34	132.61	31.1	80.2	27.44	144.26	26.8	8.21	325.52	81.96	83.37	83.35	86.69	8.22	134.02	58.67	28.61	53.42	28.25	33.91	80.16	79.37	10.06	84.96
Prorsd1	0.67	0.0	4.88	20.52	1.46	22.46	1.85	159.6	23.65	29.77	2.12	5.35	3.79	59.76	8.38	8.36	8.17	8.52	11.81	4.81	19.57	8.09	65.74	97.51	7.99	4.64	17.51	3.86	22.11	7.5	5.38	33.65	35.11	5.54	4.75	28.93	32.16	3.91	36.7
Purb	77.23	0.0	0.0	0.05	0.42	0.0	99.21	0.76	116.39	81.4	123.18	67.06	78.59	58.74	128.65	101.73	111.86	59.97	42.72	96.92	83.34	27.21	50.48	160.04	65.7	97.22	89.02	57.36	38.19	30.31	72.09	79.64	132.42	46.02	100.53	69.4	136.68	46.64	30.67
Rian	11.5	0.0	0.0	0.0	0.0	0.0	46.76	0.0	52.93	60.88	33.98	57.74	64.79	58.43	98.89	68.3	129.14	98.35	25.5	73.93	89.98	97.41	148.27	163.6	56.29	61.88	38.36	54.37	40.98	17.21	67.85	45.64	30.73	51.58	44.39	30.47	56.26	27.95	72.66
Slc23a2	0.04	0.11	0.0	0.0	0.0	0.0	10.16	0.09	32.48	12.51	0.19	41.17	9.27	25.35	18.15	42.3	47.74	1.89	3.17	6.68	0.81	7.62	48.88	93.77	9.32	45.49	19.42	39.86	6.6	39.19	17.54	86.39	11.84	7.6	0.0	11.05	39.46	17.74	0.82
Slc2a3	3.33	0.0	0.0	0.0	0.0	0.0	35.88	0.15	84.03	37.46	22.11	45.33	97.38	62.63	96.47	39.64	51.86	15.39	27.18	50.53	74.46	13.69	167.07	92.23	26.0	88.0	45.21	61.83	102.19	151.59	80.67	30.7	35.06	16.37	313.05	30.04	37.5	19.84	121.57
Tceal8	199.37	0.0	0.56	0.0	0.0	0.26	114.59	8.31	48.58	33.42	109.64	55.81	99.42	123.25	123.99	186.23	47.84	81.71	29.3	64.22	61.6	32.08	119.46	193.4	75.78	152.79	56.36	89.97	30.56	84.73	69.21	86.49	22.77	21.46	80.26	73.87	97.05	51.51	96.82
Tsc2	0.64	0.0	0.0	0.0	0.0	0.0	3.62	0.0	1.07	6.56	19.26	17.56	6.91	1.52	36.32	9.63	0.7	22.22	0.0	0.0	0.24	0.0	0.0	34.73	0.52	15.98	0.31	6.73	0.12	4.66	6.5	13.3	16.6	1.21	9.84	11.76	34.25	6.06	44.86
Tsr1	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.53	31.21	30.72	57.79	0.0	0.48	26.02	0.2	0.0	8.26	25.35	10.07	37.9	74.79	0.0	5.21	214.85	69.25	0.0	24.76	0.6	0.0	2.87	25.02	1.28	0.0	0.15	3.81	0.57	0.0	17.41	48.32
Ttc21b	0.0	0.0	0.0	0.0	0.0	0.0	1.02	0.0	8.16	0.0	0.0	0.0	0.83	0.0	7.76	0.0	0.0	8.98	4.05	0.0	0.0	0.0	23.15	43.74	21.02	8.11	15.71	0.06	0.18	0.0	0.0	0.0	15.46	14.94	1.19	0.0	0.48	0.4	25.05
Ttc9c	0.99	1.08	12.94	4.86	1.45	2.48	35.44	14.05	22.66	37.85	43.39	11.71	45.88	35.09	71.67	70.97	67.71	51.92	41.84	33.64	47.58	49.79	9.23	116.2	50.61	48.31	23.2	7.67	25.79	30.17	109.16	65.5	64.75	101.0	7.41	35.99	46.69	41.07	2.39
Ube2z	0.0	0.0	254.36	0.0	0.0	0.0	0.64	0.0	37.34	1.23	5.72	1.43	2.05	0.39	33.47	2.76	12.07	4.31	21.55	0.0	0.0	1.72	52.64	62.64	1.77	0.31	7.15	33.74	3.97	0.66	1.0	0.0	0.0	12.64	0.81	18.39	0.0	0.0	28.15
