	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_74	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_53	Cux2_tdTpositive_cell_75	Cux2_tdTnegative_cell_16	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_173	Slc17a6_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
2700038G22Rik	0.67	46.43	2.59	79.76	0.49	1.02	1.07	0.87	0.51	1.68	1.24	0.64	1.5	1.58	1.72	0.66	1.15	0.24	5.29	0.37
4930546K05Rik	0.14	0.0	0.08	0.57	0.0	0.29	0.0	0.0	0.0	0.13	0.0	1.26	0.3	1.03	0.33	0.0	0.0	0.0	0.0	0.07
AI197445	0.06	0.58	0.31	0.83	0.0	0.45	0.36	0.0	0.0	0.5	0.0	0.19	0.17	1.39	0.79	0.0	0.0	0.0	0.0	0.0
Ankle1	0.45	1.06	2.56	3.33	0.88	1.73	0.56	0.44	0.18	3.66	2.15	3.93	1.77	1.84	4.59	1.39	0.89	0.34	0.62	0.88
Elovl4	10.35	76.09	139.36	161.09	83.78	30.51	11.11	30.27	0.13	88.55	43.01	60.34	62.61	166.37	92.55	3.89	30.79	40.52	22.22	6.25
Esco1	0.14	58.13	115.64	120.99	20.92	0.0	0.0	34.39	0.0	39.62	10.56	125.56	76.59	60.3	113.9	0.06	20.74	0.06	0.0	0.0
Fndc5	0.0	0.0	0.49	38.81	0.0	217.11	0.0	0.0	0.0	16.68	0.0	0.0	8.13	71.25	0.0	0.0	0.0	0.0	0.0	0.0
Foxred2	0.0	0.0	0.02	11.06	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	12.65	0.0	75.42	0.0	0.0	0.0	0.0
Gabrb2	78.05	235.49	434.67	303.82	212.92	108.34	175.48	158.01	0.25	146.8	120.84	65.08	286.3	327.53	222.28	298.79	199.89	71.43	132.67	185.58
Gm15910	0.1	0.29	0.75	3.09	0.0	0.67	0.97	0.28	0.45	29.78	0.58	0.0	0.45	1.22	1.07	0.56	0.18	0.2	0.11	0.0
Gprasp2	0.39	49.52	166.12	149.91	1.96	0.0	59.26	0.22	0.0	132.99	146.28	128.75	14.13	73.19	116.34	4.89	0.0	68.66	39.19	65.84
Gtpbp1	0.0	0.18	0.09	65.08	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.34	0.0	57.6	0.0	0.0	0.0	0.0	0.0	0.0
Hs3st1	75.83	3.42	2.99	83.79	0.0	0.0	0.0	0.0	0.0	2.97	0.0	1.15	0.0	96.97	212.07	0.17	0.0	0.0	0.0	0.0
Hsf1	0.0	47.71	54.14	196.36	1.32	0.0	0.0	0.0	417.0	0.0	0.0	0.0	0.0	75.74	99.46	0.0	0.0	0.0	0.0	0.0
Kctd16	8.52	10.51	172.12	97.36	0.0	92.7	0.0	0.0	0.0	0.17	0.0	0.0	0.0	73.34	67.55	0.0	0.0	0.0	0.0	0.18
Letmd1	61.09	88.78	137.3	241.07	0.0	0.0	73.49	0.19	330.01	148.67	53.54	95.1	93.29	96.91	228.48	76.73	0.0	2.76	21.01	0.0
Lrrc28	3.78	38.15	38.63	122.78	0.0	0.0	51.95	0.0	0.0	3.56	0.0	70.21	100.21	83.52	155.79	0.0	56.74	11.03	0.22	13.06
Mars	0.0	43.18	0.1	181.77	0.0	0.0	0.0	1.85	0.0	152.03	0.0	0.0	0.0	81.58	107.24	0.0	0.08	0.0	0.0	0.0
Mcart1	21.11	92.28	150.37	125.9	58.42	3.73	48.33	27.63	2.74	84.54	3.4	86.87	36.89	83.91	103.49	100.44	62.22	50.38	58.39	58.21
Med31	67.85	83.78	87.4	86.29	0.0	121.71	57.56	27.8	0.0	62.03	0.0	0.34	0.0	183.95	407.58	9.09	121.71	84.67	117.67	209.5
Osbp2	0.0	6.8	18.61	18.92	0.48	0.0	0.0	0.0	0.0	13.64	0.27	0.0	0.35	3.13	3.28	0.0	0.0	0.0	0.0	0.06
Pepd	0.0	125.71	178.73	407.4	3.96	0.0	0.0	0.0	0.0	144.22	156.09	0.0	122.75	188.03	177.9	0.0	0.13	0.0	56.21	53.95
Ptprk	0.0	0.07	0.34	60.94	0.0	1.09	0.22	0.04	0.0	28.63	0.04	0.05	0.11	34.61	0.12	0.34	0.0	0.04	0.0	0.0
Rasgrf1	149.71	367.75	277.13	703.97	92.19	17.91	0.0	0.0	0.0	271.66	196.04	30.54	242.07	351.66	301.29	38.96	0.78	0.0	0.07	0.11
Scp2	86.52	87.89	174.8	206.95	0.0	0.19	55.95	53.27	0.0	109.56	93.02	136.57	118.0	159.66	85.25	122.55	101.95	62.16	229.98	56.01
Stmn1	10587.49	6513.65	8897.34	3448.35	6535.63	11391.73	12096.72	9467.14	10015.46	9224.38	13005.25	11961.92	8163.91	8054.62	10788.95	10789.21	12161.23	10051.01	11287.74	9866.46
Tcf4	81.98	77.36	152.13	183.79	39.24	18.09	77.96	13.7	102.92	135.06	2.33	271.08	143.01	173.72	178.23	153.18	58.94	12.68	28.58	79.76
Tmem106b	19.0	29.94	91.11	71.15	39.61	75.93	0.0	39.45	0.12	81.84	13.52	3.22	0.97	55.37	173.27	3.14	0.0	0.0	55.27	0.43
Trafd1	33.07	75.27	0.04	180.96	0.0	43.48	0.0	0.0	2.62	0.18	0.0	0.0	0.0	156.19	0.0	0.0	13.46	0.0	0.0	0.0
Zfp14	0.0	48.47	0.09	141.18	0.0	0.0	0.1	0.0	0.0	0.13	0.0	0.0	0.08	79.24	0.0	0.0	1.89	0.0	0.0	0.0
Zfp941	0.11	63.22	87.84	65.51	0.1	0.16	0.14	0.0	0.0	0.53	0.0	0.41	62.05	77.43	0.18	0.0	0.11	0.08	23.41	0.15
