	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_12	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_55	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTnegative_cell_17
1110012J17Rik	0.0	0.0	0.0	1.58	49.2	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.77	0.16	0.12	0.0	0.39	0.0	0.0	8.73	11.59	2.0	1.24	6.3	15.2	1.58	0.72	0.0	1.1	0.0	90.48	0.0	0.0	3.75	7.52	0.0	0.0	90.69	67.71	0.0
Abhd12	0.0	0.0	0.0	10.91	41.15	0.0	0.0	0.0	0.0	0.0	37.85	0.43	4.86	0.0	7.48	69.28	20.5	6.75	24.7	6.73	0.17	29.1	12.5	181.37	42.47	126.78	45.37	0.0	225.12	9.51	0.0	33.03	273.1	69.18	14.1	0.18	0.43	519.15	478.62	0.0
Acer3	0.0	0.0	0.0	0.0	154.51	0.47	0.0	0.0	0.0	0.0	104.94	8.6	36.68	0.15	27.65	1.24	2.88	1.1	1.98	0.31	0.04	26.4	84.59	0.0	64.86	0.0	0.0	0.39	0.33	1.03	0.0	0.63	0.0	5.57	0.0	0.0	0.51	200.25	200.46	0.0
Aggf1	0.0	512.71	0.0	0.0	10.45	0.0	0.0	0.0	0.0	0.0	2.02	0.0	0.0	0.0	39.78	12.64	12.91	59.51	0.0	25.73	0.0	3.03	53.89	0.17	1.25	22.37	66.26	75.53	0.11	0.0	0.0	0.0	443.86	11.76	0.0	0.0	0.0	189.1	178.24	0.0
Atp6v1g1	0.48	1417.72	0.0	136.37	823.74	741.57	0.0	0.51	0.79	0.0	1076.58	338.61	0.0	4.52	433.87	758.64	747.4	507.18	409.75	430.08	427.53	1012.85	1061.76	558.77	628.75	940.83	642.38	7.58	1262.0	2.92	1629.34	3.04	0.0	869.64	673.26	3.0	1169.75	1142.18	781.2	191.18
Calm3	4.84	0.0	0.0	251.57	351.12	135.47	13.44	0.0	0.13	0.0	301.95	95.93	132.76	136.37	294.47	368.58	396.17	440.93	430.86	302.97	242.45	266.26	341.59	384.27	353.4	393.42	323.27	1.66	399.03	23.54	24.65	25.57	0.0	420.6	268.81	8.84	5.11	402.67	383.03	0.0
Camk2b	0.0	0.0	0.0	79.99	164.05	156.03	0.0	0.0	0.07	0.0	30.88	169.74	0.0	0.45	107.22	95.06	91.36	186.06	45.44	53.37	249.52	57.05	93.98	161.84	74.85	45.88	77.66	0.0	348.1	0.19	0.35	0.32	0.0	68.0	36.93	0.27	0.52	330.76	406.66	0.0
Cap2	0.0	0.0	0.0	201.09	172.83	0.0	0.0	0.0	0.0	0.0	189.86	39.18	0.0	0.65	168.37	112.83	141.81	137.38	154.16	46.93	0.09	16.54	180.39	159.92	131.33	75.45	87.79	0.2	220.07	0.0	0.39	0.35	0.0	126.43	16.79	0.58	21.29	301.91	229.01	0.0
Ccdc55	0.16	0.0	0.66	25.43	30.74	16.15	0.91	0.54	0.31	0.39	93.0	32.88	2.44	1.53	142.21	69.68	50.41	41.45	1.03	31.6	9.98	1.65	192.24	55.66	8.01	9.91	42.0	1.43	7.21	0.0	5.48	1.29	0.88	14.88	87.46	0.0	0.26	226.58	163.42	0.74
Ccl27b	0.0	0.0	0.0	0.3	113.94	0.0	0.0	0.0	0.0	0.0	10.7	141.26	0.0	0.68	9.94	54.72	30.68	0.23	50.62	21.3	145.89	114.35	145.03	0.49	118.2	75.28	177.16	0.0	42.8	0.0	0.0	0.0	0.0	150.8	167.16	0.0	0.46	138.23	237.48	0.0
Cct6b	0.0	0.0	0.0	0.48	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.74	0.0	0.52	0.19	0.0	0.2	0.9	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.35	0.0	0.95	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	1.1	1.37	0.0
Cdk5r1	0.0	0.0	0.0	29.82	133.82	49.62	0.0	0.0	0.0	0.0	60.67	8.34	0.0	0.14	24.72	25.06	38.96	36.96	60.16	20.11	32.82	48.25	50.11	106.53	45.52	114.68	32.34	0.0	168.1	0.0	0.0	0.0	0.0	76.74	46.25	0.25	0.0	155.25	174.29	0.0
Chd2	0.05	409.97	0.0	7.05	0.0	7.84	0.0	0.0	79.42	0.0	0.0	0.0	0.0	0.13	0.0	3.06	1.02	0.26	3.54	4.14	12.47	8.74	14.59	30.89	4.78	28.22	22.39	0.0	3.26	0.0	0.0	0.0	0.0	0.26	0.0	4.25	0.0	39.42	85.29	4.93
Csmd1	0.0	0.0	0.0	21.28	22.52	6.64	0.0	0.0	0.0	0.0	16.68	9.79	0.0	0.04	8.65	0.35	3.63	2.55	5.52	1.92	19.62	2.07	1.25	0.23	2.15	2.24	2.42	21.34	25.18	0.0	0.49	0.0	0.17	0.77	0.0	0.0	0.03	40.36	57.5	0.03
Ddx3x	0.0	0.0	0.0	196.47	260.8	55.31	0.0	0.0	0.0	246.97	4.5	52.16	7.79	0.0	4.74	122.55	78.56	25.57	3.17	6.79	62.81	49.26	0.0	17.11	50.24	59.58	43.8	0.48	104.92	0.17	0.0	0.14	0.0	22.37	69.17	0.15	538.71	364.48	188.33	0.0
Dffa	0.18	0.0	0.0	2.48	35.5	0.31	0.06	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	29.8	0.19	46.18	1.12	0.0	45.29	0.0	0.85	0.24	0.0	2.15	37.41	0.92	71.83	0.0	0.0	0.0	0.35	36.57	0.0	0.0	0.17	334.17	148.22	0.0
Dut	0.22	0.26	0.0	0.0	0.94	0.35	0.0	0.0	0.0	0.0	0.0	4.09	0.0	0.27	0.0	10.75	2.92	0.0	0.18	10.37	18.51	1.95	43.92	81.28	13.47	58.85	0.0	0.0	18.72	0.34	143.12	2.86	1.07	13.67	2.78	0.0	0.0	122.09	136.87	7.67
Eid1	0.0	0.0	0.16	15.65	146.69	0.0	0.0	0.0	0.0	0.0	5.1	53.53	0.0	0.71	42.71	56.41	20.94	1.77	46.04	71.35	133.8	70.56	102.12	61.46	43.13	81.67	81.74	0.0	75.78	0.0	0.0	0.0	0.0	44.66	40.69	0.14	0.0	543.9	152.24	0.0
Eif5b	0.0	0.0	22.23	22.23	48.52	10.9	0.0	0.0	123.4	0.0	57.2	17.83	14.49	0.15	0.0	48.38	18.35	9.12	13.6	21.02	6.09	5.7	2.2	72.19	5.25	19.21	10.83	4.07	43.83	10.86	0.0	0.08	0.0	10.63	20.6	12.75	0.21	117.22	126.73	0.0
Epb4.1l3	0.0	0.0	0.0	152.93	17.42	0.29	0.0	0.0	0.0	0.0	43.26	1.64	0.0	0.29	35.12	63.86	36.86	21.36	186.59	125.63	70.3	77.8	17.28	92.89	113.98	8.66	40.66	5.56	36.47	1.71	296.87	0.63	0.0	60.81	0.83	0.17	0.31	214.42	314.77	50.54
Fam73a	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.05	0.0	0.0	38.73	0.0	46.1	35.19	46.91	2.44	24.6	0.0	0.0	0.25	0.0	22.59	0.11	1.2	0.0	38.8	0.0	71.4	0.0	0.0	0.0	0.0	1.31	15.88	70.12	0.0	165.38	135.33	0.0
Gm13306	0.0	0.0	0.0	0.3	113.94	0.0	0.0	0.0	0.0	0.0	10.7	141.26	0.0	0.68	9.94	54.72	30.68	0.23	50.62	21.3	145.89	114.35	145.03	0.49	118.2	75.28	177.16	0.0	42.8	0.0	0.0	0.0	0.0	150.8	167.16	0.0	0.46	138.23	237.48	0.0
Gm14430	0.0	0.0	0.0	0.63	11.58	0.0	0.03	0.0	0.0	0.0	1.33	0.17	8.44	0.0	0.48	4.76	8.15	0.0	6.89	0.0	0.06	0.0	12.82	18.78	0.2	0.0	4.13	0.0	21.71	0.0	0.0	0.28	0.0	13.33	0.44	0.07	0.24	10.36	11.07	0.0
Gm14434	0.0	0.0	0.0	0.63	11.58	0.0	0.03	0.0	0.0	0.0	1.33	0.17	8.44	0.0	0.48	4.76	8.15	0.0	6.89	0.0	0.06	0.0	12.82	18.78	0.2	0.0	4.13	0.0	21.71	0.0	0.0	0.28	0.0	13.33	0.44	0.07	0.24	10.36	11.07	0.0
Gm2002	0.0	0.0	0.0	0.05	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.44	0.0	0.0	0.66	0.0	0.22	0.38	8.89	0.0	0.24	4.38	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.11	0.0	0.0	1.48	30.69	0.0
Gm2506	0.0	0.0	0.0	0.3	113.94	0.0	0.0	0.0	0.0	0.0	10.7	141.26	0.0	0.68	9.94	54.72	30.68	0.23	50.62	21.3	145.89	114.35	145.03	0.49	118.2	75.28	177.16	0.0	42.8	0.0	0.0	0.0	0.0	150.8	167.16	0.0	0.46	138.23	237.48	0.0
