	Pvalb_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.11	0.11
1700061J05Rik	0.0	0.0	0.11	0.11
2310034O05Rik	0.0	0.0	0.64	0.51
4930403N07Rik	0.0	0.0	0.04	0.04
4930528F23Rik	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.07	0.07
4932416H05Rik	0.24	0.81	5.44	5.08
5330437I02Rik	0.0	0.0	1.52	1.44
9230104L09Rik	0.0	0.0	0.16	0.16
AW551984	0.0	0.03	4.19	4.8
Adamdec1	0.0	0.0	0.04	0.04
Akap13	0.0	0.0	12.53	13.47
Akr1c12	0.0	0.0	0.08	0.08
Alms1	0.15	1.05	4.1	4.52
Bcorl1	0.0	0.73	11.02	10.84
Blk	0.0	0.0	0.04	0.04
Cacna1a	1.9	4.71	73.0	78.42
Capn13	0.0	0.0	0.04	0.04
Ccl27b	0.0	2.62	30.63	22.96
Ccr3	0.0	0.0	0.03	0.03
Cd244	0.0	0.0	0.05	0.05
Ces1a	0.0	0.0	0.05	0.05
Clec12b	0.0	0.0	0.07	0.07
Cyp3a57	0.0	0.0	0.06	0.06
D730048J04Rik	0.0	0.0	0.76	0.31
Ddx23	0.0	0.0	59.87	55.88
Dnajc5b	0.0	0.0	0.11	0.11
En2	0.0	0.0	0.36	0.75
Evc2	0.0	0.0	12.45	12.67
Fads2	0.0	0.0	127.3	142.84
Fndc3c1	0.0	0.0	0.02	0.02
Gjc1	0.0	0.0	5.73	4.5
Glipr1l1	0.0	0.0	0.23	0.23
Gm12633	0.0	0.0	0.06	0.06
Gm13306	0.0	2.62	30.63	22.96
Gm16197	0.0	0.0	0.37	0.37
Gm1647	0.0	0.0	0.14	0.14
Gm2506	0.0	2.62	30.63	22.96
Gm4745	0.0	0.0	0.08	0.08
Gpr155	0.0	4.56	45.45	40.13
Gzma	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.04	0.04
Hist1h3f	0.0	0.0	0.14	0.14
Homer3	0.0	0.0	10.48	13.09
Hoxd8	0.0	0.0	0.07	0.07
Jam2	0.0	0.0	23.34	25.18
Kctd19	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.05	0.05
Lao1	0.0	0.0	0.05	0.05
Lect2	0.0	0.0	0.12	0.12
Lpcat2	0.0	0.0	8.45	10.55
Ltf	0.0	0.0	0.04	0.04
Lzts2	0.27	0.0	34.91	39.9
Mgat5b	0.0	2.46	55.22	52.11
Mgll	0.0	1.61	146.13	151.13
Mkl1	0.0	0.0	33.82	38.6
Mri1	0.0	2.1	11.78	13.44
Muc4	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.07	0.07
Ncr1	0.0	0.0	0.07	0.07
Nup98	0.55	9.31	14.53	15.02
Olfr15	0.0	0.0	0.11	0.11
Otx2os1	0.0	0.0	0.14	0.14
Pla2g16	0.0	0.08	20.85	21.9
Raet1d	0.0	0.0	0.16	0.16
Rasgef1b	0.0	0.0	59.07	64.69
Rbp1	0.0	0.0	7.11	8.15
Rnase13	0.0	0.0	0.17	0.17
Sash1	0.0	0.0	30.84	32.14
Sh3rf2	0.0	0.1	4.57	3.67
Slc30a10	0.0	0.07	11.47	13.18
Slc4a1	0.0	0.0	0.02	0.02
Slco6c1	0.0	0.0	0.04	0.04
Sspn	0.0	0.0	6.39	7.79
Tac4	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.03	0.03
Tas2r137	0.0	0.0	0.1	0.1
Tcstv1	0.0	0.0	0.12	0.12
Tmcc3	0.0	0.0	21.12	21.32
Tnfrsf19	0.0	0.0	41.73	41.14
Tnks1bp1	0.0	0.0	38.59	41.15
Ttc39d	0.0	0.0	0.05	0.05
Txnrd3	0.0	0.0	4.24	4.38
Ubr4	0.97	7.97	45.95	49.32
Usp26	0.0	0.0	0.02	0.02
Vax2os2	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.04	0.04
Zfp385c	0.0	0.3	0.35	0.47
Zp3r	0.0	0.0	0.05	0.05
Zwilch	0.0	0.0	2.92	3.35
mt_AK131586	0.0	0.0	25813.35	24561.45
mt_AK166684	0.0	0.0	18796.57	18655.33
mt_BC104337	0.0	0.0	9032.87	8583.15
