	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_15	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_39	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_11	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_45	Sst_tdTpositive_cell_64	Sst_tdTpositive_cell_75	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_53	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_64	Vip_tdTpositive_cell_68	CAV_LP_Ipsi_tdTpos_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310044H10Rik	1.68	0.35	1.44	0.0	0.0	19.52	26.1	58.97	0.0	0.0	0.0	0.85	4.84	0.76	2.8	1.11	0.65	5.53	0.87	3.14	1.22	2.97	0.0	1.69	2.49	18.79	18.98	0.0	17.6	29.86	1.35	0.0	1.93	1.62	3.13	8.37	0.47	42.16	2.38	10.88	14.28	63.12	73.1	98.84	6.77	0.22	0.8	0.0	1.57	5.7	5.5	0.0	0.48	215.98	240.68	232.45
Ap1b1	0.1	29.96	33.02	109.23	1.18	7.28	33.81	56.78	6.25	1.02	44.06	0.0	113.66	5.59	10.4	49.01	0.58	0.0	83.03	64.82	1.2	61.36	0.0	0.97	1.89	0.0	370.21	90.88	101.79	39.74	95.4	0.15	98.07	74.64	1.21	1.82	0.21	90.52	17.87	56.86	4.24	19.56	109.96	12.46	154.86	18.95	0.0	0.0	0.71	0.0	1.84	44.54	62.78	108.7	118.17	106.79
Arfgef2	0.03	0.0	0.0	1.45	0.54	45.9	1.8	9.24	0.0	0.0	0.0	65.68	0.0	0.94	14.8	1.58	0.45	0.0	0.0	0.0	0.0	33.1	0.0	0.65	0.0	27.83	0.0	86.59	20.48	0.0	0.0	0.0	1.6	0.03	0.0	6.86	0.0	42.59	0.27	0.42	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	14.35	0.0	0.12	31.51	30.54	31.38
Arsb	0.03	0.0	0.23	42.43	0.0	0.0	30.85	0.0	18.06	0.0	0.0	0.0	0.0	0.0	0.0	133.78	38.95	0.0	0.0	0.0	34.76	0.09	0.0	0.0	0.0	20.36	1.99	0.0	0.0	0.06	0.0	0.0	0.0	1.78	42.96	0.0	0.0	103.06	2.34	0.0	0.22	31.87	91.39	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	87.41	87.83	86.42
B4galt6	1.27	6.2	8.1	0.95	23.81	12.6	11.29	1.92	62.51	0.52	1.83	11.67	135.57	19.6	6.17	40.44	25.49	136.43	14.82	14.82	0.58	14.86	12.76	1.66	19.02	20.16	51.11	52.07	0.84	43.08	6.02	1.4	26.96	4.05	62.73	66.57	2.07	185.15	102.72	64.75	11.07	39.6	96.64	19.83	53.43	103.47	37.64	0.71	42.54	31.59	50.45	14.51	68.54	78.47	74.46	73.74
Bcl11b	0.04	0.0	0.0	0.17	1.51	0.08	42.3	0.13	0.0	0.0	0.12	0.13	0.15	60.73	21.47	0.87	0.11	0.04	0.25	5.36	0.0	0.1	0.11	1.28	0.0	0.06	7.29	0.12	0.03	16.95	28.39	0.0	13.04	2.49	0.07	12.23	0.17	0.95	0.08	0.0	0.0	0.1	1.61	0.05	0.0	0.0	0.05	0.06	0.22	0.08	0.0	18.29	4.5	35.56	39.1	36.72
Camk2n2	16.81	0.0	0.0	3.1	3.33	60.43	7.05	86.96	0.0	0.0	34.52	0.42	0.0	0.0	35.64	0.99	13.28	0.0	0.92	0.0	0.0	0.98	0.0	0.0	0.0	1.94	20.46	0.0	27.53	4.26	0.0	0.0	0.0	13.43	0.0	14.53	0.0	57.41	2.42	18.52	0.7	56.16	36.67	0.0	68.71	0.0	0.0	0.39	16.83	0.0	36.72	52.37	0.0	102.8	123.63	121.54
Ccl27b	6.84	0.0	0.0	0.0	0.0	15.08	11.32	17.73	0.0	6.68	4.28	0.0	2.7	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.0	0.03	0.0	0.0	10.06	0.0	6.57	5.02	22.21	31.22	0.0	0.0	4.66	0.0	0.0	0.0	1.16	0.0	4.04	0.0	0.0	0.0	20.26	13.03	0.0	0.0	8.98	0.18	0.0	0.0	0.0	1.51	3.43	30.63	28.29	22.96
Chrm1	0.41	3.14	1.58	0.58	1.21	1.24	8.7	2.62	0.27	2.73	37.71	66.71	1.8	17.6	0.81	1.58	8.94	3.32	36.2	2.03	2.61	31.49	12.24	0.83	1.11	7.69	2.93	4.2	3.51	31.7	0.75	1.47	0.82	0.76	8.51	2.4	2.61	69.07	1.02	2.34	2.92	1.13	29.09	3.86	6.06	4.55	2.26	0.69	2.63	1.5	1.2	1.51	2.06	75.01	77.79	71.99
Crmp1	87.29	0.0	119.25	0.0	0.0	145.85	228.61	20.01	0.0	0.0	104.75	0.0	130.58	164.58	0.0	30.31	30.05	0.0	0.13	0.0	0.0	0.0	0.0	195.32	3.61	0.17	1.17	0.17	4.25	0.0	44.95	0.0	1.32	21.69	115.01	96.67	0.3	436.08	56.63	4.73	0.0	92.74	0.0	0.0	0.18	8.38	0.41	0.34	15.01	0.53	0.0	0.0	53.23	157.11	177.02	162.66
