	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_96	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_66	Ntsr1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_99	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_43	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1200011M11Rik	0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	1.22	1.48	2.98	1.61	0.2	0.0	27.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6	12.88	12.91
1600010M07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.51	5.77	0.0	0.0	36.71	0.0	0.53	1.53	0.0	11.06	0.9	0.0	0.0	20.17	1.1	4.57	2.09	0.0	0.0	0.0	5.06	0.0	1.19	1.04	2.62	0.6	0.0	0.0	0.61	0.0	0.0	0.41	10.92	0.0	0.0	0.0	0.0	3.44	1.0	0.81	1.54
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700010K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.48
1700094D03Rik	2.24	5.63	16.32	3.45	4.96	4.29	2.34	4.03	4.67	5.98	3.71	4.23	3.62	3.99	5.29	31.89	26.64	7.71	3.05	91.4	1.14	2.22	4.18	20.18	7.55	7.29	7.11	18.85	10.13	6.61	16.2	10.93	13.71	3.5	5.0	15.06	5.09	5.06	6.07	2.03	3.2	0.7	2.7	5.06	4.89	6.29	5.02
1810033B17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	72.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.25	0.18
4930415O20Rik	0.0	7.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	17.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.38
4933438B17Rik	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.46	0.0	0.32	0.0	0.0	0.28	0.0	0.05	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.76	0.18	0.0	0.0	2.61	0.09	0.08	0.0
5430437P03Rik	3.11	78.32	102.24	0.0	73.35	3.47	5.62	25.64	44.8	0.0	3.44	12.16	32.3	117.07	43.35	192.33	85.19	23.42	4.81	222.22	36.07	1.67	0.0	0.0	1.86	0.0	34.96	63.68	93.79	43.89	21.71	45.89	26.59	14.21	0.0	74.52	3.43	9.67	0.0	26.97	50.7	0.0	54.27	0.0	71.98	80.84	71.14
5830416I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.54	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.23	1.31	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.19	0.12
9030617O03Rik	16.38	0.0	0.0	0.0	0.0	0.0	66.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	89.2	0.0	0.0	0.2	0.0	0.0	0.1	0.1	0.05	0.0	0.73	2.12	2.76	2.36	0.0	0.02	0.0	0.0	0.07	17.36	0.0	0.67	0.0	0.0	0.0	5.52	5.38	5.38
9130019P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	4.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.7	1.87
AU040972	0.0	0.54	0.0	0.0	0.0	0.0	0.29	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	18.85	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	1.03	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.68	0.0	0.0	0.39	1.16	0.36
AY358078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.07
Adcy5	8.79	15.15	0.0	0.07	0.0	0.0	0.0	27.07	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	45.95	0.0	0.0	21.51	0.0	0.0	0.0	0.0	0.0	0.0	4.55	1.58	0.93	3.29	2.68	2.76	4.77	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.15	0.0	139.88	145.98	149.99
Akr1cl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.08
Ankrd16	49.89	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	305.91	0.14	0.0	0.15	0.0	0.0	0.0	34.02	51.44	0.0	137.03	115.11	0.12	0.0	2.56	4.23	0.0	10.53	0.49	19.87	8.93	5.34	6.6	5.48	66.44	0.0	0.12	1.21	0.0	0.0	0.0	8.03	0.0	31.26	0.0	18.65	19.44	18.39
Anp32b	42.07	0.82	22.05	43.54	0.0	0.0	5.71	58.9	0.0	0.0	0.0	69.58	69.39	1.65	60.37	0.0	16.06	25.4	46.79	108.95	5.15	0.0	0.0	0.0	0.0	0.0	12.32	27.1	17.39	20.4	20.08	22.64	19.99	0.0	0.0	0.0	0.0	145.9	0.44	0.0	31.84	66.98	8.02	0.0	83.63	85.26	76.97
Ash1l	1.72	26.89	0.15	0.36	28.44	11.87	14.51	32.92	54.87	121.35	0.06	7.86	28.46	52.27	84.38	0.39	47.35	32.81	21.71	156.38	16.14	49.23	12.58	9.41	2.71	0.0	24.71	21.28	26.36	21.82	24.52	18.55	18.8	18.04	80.96	7.1	49.24	20.56	46.11	4.88	1.73	7.4	22.95	94.86	45.87	38.07	47.3
BC005561	38.78	14.69	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	4.45	28.53	63.73	3.21	0.0	53.78	0.0	7.27	0.0	0.0	0.0	0.09	15.64	9.78	12.91	8.65	13.28	10.72	7.56	0.99	3.17	0.0	31.03	70.89	0.0	0.0	15.96	0.0	57.53	0.0	7.21	4.74	8.42
Bmp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.32	4.21
Brdt	0.0	0.11	0.14	0.0	0.0	0.0	0.0	19.65	0.0	0.0	12.49	2.26	0.0	0.0	23.35	0.09	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	2.11	5.14	4.76	0.71	2.13	5.87	4.23	0.0	4.07	11.23	0.0	54.14	29.85	0.0	0.64	0.05	3.2	4.0	8.87	8.03	9.07
C030039L03Rik	1.24	42.67	0.93	38.34	1.07	9.29	0.71	0.66	0.57	4.14	0.29	0.38	0.34	18.89	11.32	84.23	0.37	0.28	0.4	77.09	0.25	0.65	0.44	1.26	0.54	2.41	5.87	10.77	2.56	2.49	11.76	4.43	12.81	0.55	0.38	14.01	0.06	6.6	0.54	0.72	0.29	0.22	0.83	3.17	9.48	9.42	9.42
Casp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.79	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	2.55	2.31
Ccnf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	82.33	0.0	0.0	95.74	0.0	0.0	0.0	51.52	0.0	0.14	8.53	4.35	4.68	6.17	10.75	12.41	4.47	0.0	0.0	0.0	0.0	0.0	0.1	0.0	71.34	0.0	41.34	0.0	3.85	4.01	4.27
Cd160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.76	0.85
Cd28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.15	0.21
