	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_71	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_76	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_67	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600010M07Rik	1.34	5.81	0.0	0.0	4.3	3.54	0.0	0.0	0.0	0.0	2.38	0.61	0.0	14.1	0.0	0.0	6.47	0.0	0.0	7.37	0.0	0.0	0.0	0.0	8.21	0.0	0.0	0.0	2.62	0.6	0.0	1.0	0.81	1.54
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
2410003K15Rik	0.0	0.0	0.0	0.0	0.0	62.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.4	0.93	0.47	17.7	19.74	18.67
4832428D23Rik	0.0	0.65	0.24	0.11	0.0	1.55	1.06	0.0	0.0	0.0	0.25	0.0	0.08	0.49	0.17	0.0	0.41	0.17	0.0	0.17	0.0	0.23	0.0	0.04	0.36	0.53	0.0	0.0	0.0	0.12	0.11	0.25	0.28	0.3
4921509C19Rik	0.65	0.0	0.0	0.25	0.84	10.17	0.0	0.23	0.24	0.34	0.17	0.0	0.28	0.37	0.16	0.84	0.36	0.4	0.78	0.34	0.04	0.12	0.0	0.13	0.72	0.0	0.0	0.34	0.01	0.11	0.0	0.0	0.0	0.0
4921511H03Rik	0.0	0.0	0.0	0.0	0.0	54.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.1	0.0	0.0
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4931403E22Rik	0.0	0.0	0.0	0.0	0.0	17.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	1.23	1.02	1.11
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
4933407L21Rik	0.0	0.0	0.0	0.0	0.09	163.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.92	10.2	5.3	3.76	4.13	5.16
