	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700019D03Rik	0.0	0.0	398.59	0.0	39.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.73	53.87	10.87	8.28	13.99
1700034K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.52	0.44	0.95	0.52
1700113A16Rik	0.0	0.0	0.0	0.0	21.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.15	24.64	42.6	45.16	38.43
2410088K16Rik	0.0	0.0	0.0	0.77	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	0.73	0.89	1.25	0.6
2410091C18Rik	0.0	6.81	2.56	0.26	144.42	2.31	1.15	28.27	2.11	2.19	305.65	310.79	186.2	124.48	33.19	35.83	28.8
A230072C01Rik	16.94	53.51	19.43	0.53	103.06	18.12	5.56	136.2	28.0	54.98	4.99	7.9	67.18	69.69	27.03	21.39	29.9
Aak1	0.03	0.0	0.3	0.0	19.32	0.0	0.0	0.0	6.62	31.67	0.0	0.0	26.27	17.4	77.03	72.23	78.8
Abhd15	0.0	0.74	1.14	0.17	0.62	0.73	0.54	1.24	0.37	1.25	0.35	0.81	0.34	0.09	1.13	1.08	0.58
Abl2	1.83	1.16	7.2	2.21	3.42	0.86	0.92	0.49	0.14	0.0	0.0	1.92	13.6	7.77	24.45	24.4	24.39
Aebp2	0.0	0.0	0.0	0.0	19.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19	9.99	51.86	50.5	51.73
Agk	0.0	0.75	0.52	47.87	121.5	13.01	0.0	227.47	0.0	0.81	0.0	0.0	120.79	163.2	41.42	40.02	42.44
Apc	64.27	1.8	7.25	66.05	4.92	0.0	0.05	14.07	41.78	0.0	0.0	7.21	21.06	13.88	97.77	76.83	103.87
Arpc5l	225.35	0.0	0.47	0.0	119.22	0.0	0.0	187.63	0.0	0.0	12.92	280.38	171.29	81.65	115.47	120.0	115.6
Asap2	0.0	0.31	0.0	0.0	9.4	0.22	0.0	0.15	72.46	0.0	0.0	0.0	9.01	6.7	25.96	25.73	27.77
Atr	0.0	0.0	0.0	0.0	4.81	0.0	0.0	196.24	0.0	0.0	0.0	0.0	2.53	2.29	6.45	5.14	7.31
BC032203	0.0	0.0	0.09	0.0	5.22	0.09	0.0	0.0	0.0	0.0	0.0	0.0	3.72	5.6	28.79	28.27	28.83
Bccip	261.49	1.38	0.0	0.0	152.44	0.0	0.0	0.0	227.05	0.0	0.0	0.0	195.9	212.93	65.9	62.52	60.75
Ccl27b	0.0	0.0	0.0	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.22	61.27	30.63	28.29	22.96
Cd44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	1.85	2.67	2.71
