	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_58	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_41	Ntsr1_tdTpos_10cell_7
9330133O14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.15	0.0	17.99	60.72	0.0	70.77	0.0	18.21	0.0	26.09	0.0	76.89	25.04	22.72	43.01	0.0	0.0	89.24	32.11
9330159F19Rik	43.73	5.04	0.72	0.05	0.1	19.5	0.0	31.13	14.12	21.33	95.97	75.22	51.69	24.95	24.88	8.01	50.19	67.13	53.0	72.68	137.78	56.83	15.65	75.8	89.33	57.14
Bcl11a	0.07	80.35	0.0	0.0	0.0	0.23	0.0	54.29	38.14	12.04	118.3	0.67	42.83	0.0	4.8	0.0	0.0	0.0	113.33	20.1	0.16	0.0	0.0	0.0	246.44	73.0
Bpifc	1.75	0.23	0.0	0.41	0.46	4.89	0.0	3.74	2.84	0.04	6.59	1.38	2.95	2.18	1.0	0.94	0.0	0.0	1.69	0.55	0.9	1.64	0.49	0.96	8.42	1.41
Cdk19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.16	0.0	0.0	0.0	50.07	0.0	0.0	1.8	0.62	28.13	0.98	0.0	11.82	0.0	0.0	0.06	24.21	11.87
Chm	56.46	18.39	0.0	0.0	0.0	97.19	0.0	15.12	16.28	6.03	0.0	21.87	68.16	0.0	62.17	0.0	35.31	44.33	45.47	24.5	19.45	0.06	0.0	36.53	134.31	44.8
Cntnap1	9.82	15.2	0.0	0.0	0.0	0.0	0.0	0.17	10.52	21.71	3.21	13.56	45.76	10.52	20.32	0.0	20.95	18.5	0.35	10.83	14.83	14.31	19.17	12.05	17.8	3.44
Copa	69.61	22.18	11.55	0.0	0.0	0.3	0.0	69.03	51.92	42.77	116.94	75.06	148.47	45.66	29.04	41.51	71.03	59.6	38.58	66.73	8.13	154.26	38.78	33.52	146.58	57.57
Cox16	15.04	16.94	0.0	0.0	0.0	0.0	0.0	0.47	1.23	12.93	42.21	30.87	40.21	9.37	9.36	3.67	5.8	17.53	18.3	16.27	72.78	13.05	16.86	4.83	25.58	29.69
Cxx1b	0.0	26.18	0.0	0.0	0.0	0.63	0.0	23.71	7.19	11.06	34.06	9.07	39.92	0.0	0.0	0.2	10.98	45.1	0.0	3.61	5.52	22.55	0.0	17.48	38.1	18.25
Eya1	0.0	0.07	0.0	0.0	0.0	0.0	0.0	4.44	0.0	26.5	38.08	19.16	72.61	27.72	0.0	37.07	0.0	0.0	123.99	56.22	56.87	28.24	29.4	0.0	21.47	0.0
Fam92a	2.12	11.07	0.0	0.0	0.0	7.62	0.0	5.44	3.27	50.34	6.72	0.0	212.52	0.0	0.0	0.0	38.07	140.12	82.25	107.43	61.11	0.0	0.0	0.0	42.6	37.88
Golm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.31	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	24.18	8.59
Impdh2	94.2	176.82	0.0	0.0	0.0	0.88	9.36	99.26	109.97	71.99	124.56	0.38	195.58	0.0	61.76	117.11	0.42	141.21	31.18	43.97	73.58	386.25	0.0	102.89	266.47	123.68
Itgav	0.0	2.21	0.0	0.0	0.0	0.0	0.0	2.24	0.24	17.03	5.55	4.5	18.02	0.0	4.15	0.0	3.69	0.0	0.97	8.05	0.58	2.13	2.14	0.0	5.76	15.41
Klhdc9	22.19	39.38	0.0	0.0	0.0	0.0	0.0	0.33	0.0	77.15	0.0	22.23	72.79	35.42	4.04	1.18	47.27	32.74	0.92	0.0	40.25	56.81	1.79	0.0	41.55	65.27
Mast2	7.84	37.03	0.0	0.0	0.0	0.0	0.0	5.22	1.55	17.2	25.34	25.78	20.93	1.66	56.91	0.0	16.59	19.9	1.12	11.63	44.15	1.08	2.11	1.07	27.99	13.57
Mmp24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.18	13.33	4.58	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	28.06	6.02
Mtf1	0.0	0.16	0.0	0.0	0.0	0.0	0.0	2.01	0.0	0.57	0.0	0.0	10.21	0.0	0.0	0.0	0.0	6.57	5.83	7.27	5.31	0.0	0.0	0.0	14.0	6.0
Myo1c	0.69	0.5	0.0	0.29	0.84	0.69	0.0	1.91	1.31	0.86	17.67	0.96	11.26	0.37	11.38	0.9	2.05	0.44	1.14	1.39	8.46	1.37	0.62	0.09	1.29	2.21
Nop14	0.0	27.29	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	22.58	0.67	89.85	0.0	2.75	23.37	6.25	0.0	0.0	3.17	34.09	0.46	52.53	5.19	15.41	22.09
Pbld1	29.04	34.61	15.95	39.51	30.23	21.34	4.44	16.43	29.07	48.11	43.51	45.26	66.72	40.66	39.82	39.27	29.58	33.56	45.43	90.35	52.66	35.91	54.18	57.1	64.51	92.97
Pola2	28.34	27.63	11.76	21.95	22.01	21.12	1.84	15.51	13.56	43.15	53.28	36.95	55.75	30.4	28.52	39.4	25.34	20.4	27.19	45.3	36.52	26.98	35.63	38.75	32.89	64.9
Slc25a46	33.19	55.87	0.0	0.22	0.0	17.04	0.0	0.11	1.35	22.04	75.63	35.13	31.72	0.29	5.34	22.18	41.25	0.79	5.45	15.3	55.0	17.98	20.07	47.83	72.31	24.1
Slc35f3	0.0	63.26	0.0	0.0	0.0	1.27	0.0	0.0	5.96	47.48	12.4	71.58	75.66	54.51	5.33	0.0	15.05	33.74	0.0	1.46	79.39	6.82	42.94	0.12	44.14	25.81
Smarce1	16.32	0.59	0.14	0.0	0.0	3.37	0.0	7.4	7.71	43.37	44.4	30.96	69.74	30.24	26.1	0.0	35.84	7.38	0.0	43.0	27.32	38.36	20.56	20.47	34.53	35.15
Stx1b	9.17	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	30.38	73.07	0.39	52.48	0.0	0.0	0.78	34.07	1.35	0.0	0.21	29.58	21.12	0.18	0.0	16.65	15.75
Tac1	7648.19	5471.23	0.0	0.0	0.0	3356.89	0.0	3159.38	2310.92	2154.94	6618.42	4203.43	5550.42	686.81	4137.98	5725.34	5716.55	8114.55	11032.51	6960.91	5289.34	7084.35	5303.3	5991.55	4526.97	0.0
Taf1d	23.05	28.33	0.0	0.0	0.0	0.0	0.0	24.06	0.0	59.01	42.93	0.48	67.85	44.79	2.22	0.0	101.31	18.73	9.91	12.11	64.62	68.95	34.11	31.49	138.44	38.17
Tcerg1	1.13	0.0	0.0	0.0	0.0	13.63	0.0	2.01	0.0	9.97	45.96	8.06	43.78	0.29	8.35	3.14	68.54	35.69	2.21	16.05	18.01	16.29	0.0	3.31	18.33	9.68
mt_AK136262	0.07	0.12	0.0	0.0	0.0	101.77	0.0	0.14	0.18	0.05	0.24	0.01	2.77	0.02	0.0	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	0.0	1.54	12.15
mt_AK142003	0.07	0.12	0.0	0.0	0.0	101.77	0.0	0.14	0.18	0.05	0.24	0.01	2.77	0.02	0.0	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	0.0	1.54	12.15
mt_AK166798	0.07	0.12	0.0	0.0	0.0	101.77	0.0	0.14	0.18	0.05	0.24	0.01	2.77	0.02	0.0	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	0.0	1.54	12.15
mt_AK166978	0.07	0.12	0.0	0.0	0.0	101.77	0.0	0.14	0.18	0.05	0.24	0.01	2.77	0.02	0.0	0.08	5.76	0.16	30.23	250.06	185.44	255.35	0.0	0.0	1.54	12.15
