	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_23	Pvalb_tdTpositive_cell_45	Scnn1a.Tg3_tdTnegative_cell_15	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700094D03Rik	69.67	1.98	3.38	4.77	4.89	6.29	5.02
1700108F19Rik	7.64	0.0	0.0	0.0	0.12	0.0	0.0
1700120E14Rik	13.2	0.0	0.0	0.0	0.0	0.0	0.0
2410088K16Rik	5.4	0.0	0.0	0.0	0.89	1.25	0.6
4930451I11Rik	31.1	0.0	0.0	0.0	0.22	0.0	0.0
4930579C15Rik	37.02	0.0	0.0	0.0	1.14	1.69	1.1
6430550D23Rik	76.54	0.44	0.0	0.0	1.39	1.24	1.44
9230110C19Rik	45.74	0.63	1.29	0.0	12.09	11.73	11.31
A630066F11Rik	72.22	0.0	0.0	0.0	2.8	2.02	2.89
AI987944	77.73	0.0	1.21	0.0	6.26	4.34	6.69
Abca8b	32.05	0.09	1.6	0.0	15.09	12.8	14.73
Aldh4a1	45.18	5.65	0.0	12.06	18.48	20.09	18.02
Amotl2	21.21	0.0	2.19	0.0	13.61	15.01	13.33
Anxa4	0.87	0.0	0.0	0.0	7.07	5.92	5.98
Apom	0.86	0.0	0.0	0.0	0.43	0.0	0.15
Arntl2	29.42	0.0	0.0	0.0	7.64	6.09	7.49
Arsa	34.38	2.46	0.0	0.0	24.38	24.05	25.22
C030037D09Rik	30.45	0.0	0.0	0.0	8.31	8.19	9.56
Calhm1	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Calr3	43.94	0.0	0.0	0.0	1.34	1.44	0.98
Ccl27b	9.27	9.17	0.0	0.0	30.63	28.29	22.96
Cd83	75.97	0.0	0.0	0.0	15.75	15.31	13.54
Cep290	49.06	0.85	0.0	0.0	4.92	2.58	5.34
Cldn1	17.13	0.0	0.0	0.0	1.67	1.75	1.98
Col9a1	6.46	0.0	0.0	0.0	0.51	0.64	0.47
Crtc1	39.73	0.0	0.0	0.0	88.78	88.79	94.03
Cuzd1	71.36	0.0	0.0	0.0	0.61	0.33	0.72
D030040B21Rik	1.41	0.52	0.5	0.54	1.36	0.73	1.14
Dhx29	34.08	2.65	0.0	0.0	17.2	16.3	16.78
Dleu2	14.09	0.0	0.0	0.0	4.64	4.43	4.31
Dleu7	117.44	0.0	0.0	0.0	11.73	10.97	13.19
Dnase1l1	20.81	0.0	0.0	0.0	1.92	1.12	3.05
Dyrk4	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Fads3	40.96	0.0	0.0	0.0	24.08	27.45	23.49
Fam120a	134.48	49.68	0.0	0.0	91.54	93.88	92.78
Fsd1l	34.59	0.1	0.0	0.24	15.92	13.49	15.55
Galnt10	26.75	0.0	0.0	0.0	6.62	6.72	6.25
Gchfr	50.31	0.0	0.0	0.0	0.33	1.55	0.17
Gm12522	9.68	0.0	0.0	0.0	1.7	1.15	1.67
Gm13306	9.27	9.17	0.0	0.0	30.63	28.29	22.96
Gm14430	21.67	0.06	3.22	0.0	7.67	5.07	7.49
Gm14431	20.17	0.87	0.3	0.0	8.87	7.17	8.34
Gm14434	21.67	0.06	3.22	0.0	7.67	5.07	7.49
