	Chrna2_tdTpositive_cell_49	Chrna2_tdTpositive_cell_54	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_9	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_11	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_48	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_90	Vip_tdTpositive_cell_1
1700047I17Rik2	0.7	1.48	3.2	2.51	3.54	6.22	5.97	8.93	29.51	6.53	4.56	15.28	5.43	5.26	4.31	2.48	0.87	0.67
2010003O02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.59	0.0	0.0	56.35	0.0	0.0	0.0	0.0	0.0	0.0
2310008H09Rik	0.23	0.0	1.31	0.07	13.84	2.59	3.05	7.1	33.33	47.35	0.31	3.18	0.0	0.6	18.39	0.14	0.48	0.5
2610316D01Rik	0.0	256.18	0.0	0.0	58.36	117.45	37.37	0.0	74.95	0.0	0.0	238.51	0.46	0.0	73.52	77.84	0.29	0.46
2700007P21Rik	9.57	117.41	218.54	170.71	136.48	334.64	352.26	143.43	117.24	516.6	195.09	203.39	169.29	133.83	87.79	97.49	100.64	0.13
6330409D20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.79	0.0	0.0	0.0	45.25	27.24	0.0	0.0	0.0
8430419L09Rik	8.61	4.28	36.84	7.27	0.29	40.57	39.23	47.44	63.49	79.13	0.0	139.57	104.01	9.3	116.16	9.97	14.16	3.98
9130011E15Rik	0.0	0.08	0.0	0.0	0.0	86.31	0.0	0.0	13.93	45.59	0.0	1.84	0.0	0.0	0.45	28.72	38.03	1.1
9530082P21Rik	86.37	52.12	60.04	6.25	64.07	178.21	13.2	80.81	81.19	179.26	39.13	109.26	133.06	96.69	120.2	93.39	44.09	0.0
Abcf1	0.21	0.0	36.98	46.21	0.0	47.17	21.12	55.67	37.6	101.85	0.0	94.45	35.95	26.88	111.74	0.11	0.08	0.0
Acat1	217.84	138.79	128.34	178.41	70.42	252.35	5.75	68.42	91.89	207.56	49.52	259.72	172.11	233.14	126.69	235.84	40.72	0.0
Actr3b	0.0	174.67	0.0	11.07	0.0	24.37	1.78	3.16	9.38	0.0	0.44	112.27	19.35	103.23	6.4	0.0	0.0	0.0
Add3	0.49	0.0	24.78	8.11	0.0	33.22	34.31	14.32	48.83	0.0	0.0	41.96	42.84	0.0	16.31	0.0	1.59	0.0
Alkbh1	0.48	0.41	0.05	79.58	0.0	52.97	56.16	1.06	0.8	110.77	0.0	0.55	0.19	0.88	0.73	0.5	1.02	0.07
Ap3b1	0.0	0.0	1.0	0.73	0.0	6.71	53.7	1.15	0.2	34.24	0.0	20.93	2.83	0.0	0.49	0.0	0.06	0.0
Car11	0.0	0.17	2.87	4.18	7.58	0.0	0.0	0.47	0.0	63.15	0.0	0.0	0.58	1.43	0.23	0.25	16.19	0.0
Carkd	0.0	0.0	136.91	130.86	111.86	148.49	211.65	29.25	4.35	0.0	0.0	255.54	114.32	181.08	46.53	80.44	0.2	0.32
Cars	1.66	41.85	55.55	71.06	55.84	114.38	220.49	61.96	31.64	87.66	0.0	227.19	55.97	6.79	29.2	0.0	0.87	0.0
Cby1	0.0	203.46	119.23	78.61	0.0	254.33	0.0	45.46	88.35	227.12	0.0	15.71	151.78	8.39	99.48	154.59	0.24	0.0
Cc2d1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	2.16	0.97	0.0	4.36	0.0	0.0	0.1	0.0	0.0	0.0
Ccdc127	0.37	24.08	75.72	78.12	23.04	128.13	83.93	118.5	29.62	102.95	0.45	133.96	21.69	19.59	42.13	62.58	59.06	0.86
Ccdc51	0.0	0.0	0.0	0.0	50.32	0.0	0.0	0.28	0.0	66.87	0.0	0.0	32.99	37.65	0.0	0.0	0.11	0.0
Cdkn2aipnl	0.0	7.56	0.0	0.0	0.0	107.51	0.0	33.93	17.59	129.74	40.47	34.35	94.51	85.72	0.0	107.2	0.0	0.0
Ch25h	0.0	19.8	59.61	0.0	0.0	225.37	0.0	51.89	0.0	216.37	0.0	0.0	2.78	0.0	30.25	0.0	0.0	0.0
Commd8	2.42	0.15	15.17	0.74	0.0	46.55	22.76	4.09	45.77	123.76	3.33	95.11	45.74	37.31	6.89	14.48	1.2	1.5
Cplx1	871.1	304.83	1441.46	727.83	690.08	525.95	959.83	1021.35	1018.15	603.62	775.29	1157.51	1322.39	712.69	859.61	634.54	861.47	68.43
Creb3	118.46	210.19	140.53	402.64	214.87	334.94	315.31	103.37	212.03	417.92	140.24	652.64	201.58	199.82	51.36	62.44	25.15	0.0
D17H6S56E-3	0.08	0.0	1.11	0.22	0.0	0.2	1.18	0.15	4.52	0.24	0.34	1.12	0.75	0.0	0.39	0.93	0.02	0.0
D19Wsu162e	0.42	0.0	0.0	44.97	0.0	0.66	79.31	16.06	0.21	68.19	0.4	0.14	1.09	0.68	6.96	0.09	1.22	0.0
D730040F13Rik	0.15	0.42	3.0	0.33	0.0	0.83	0.89	15.75	0.73	10.22	0.76	0.7	0.32	0.71	0.27	0.39	0.82	0.41
Dnalc4	0.0	0.0	0.0	0.0	2.41	145.44	0.52	0.0	41.53	96.35	0.0	112.1	0.0	0.0	0.0	0.46	0.0	0.0
Edem3	0.03	0.0	12.07	8.93	0.0	19.45	0.0	11.95	6.28	0.0	0.0	42.63	8.92	0.27	3.19	1.1	0.0	0.0
Eid2	0.0	0.0	0.0	0.0	38.43	56.32	0.0	0.53	0.0	57.52	0.0	0.0	23.39	0.0	3.91	0.0	0.0	0.0
Elmod1	0.25	0.0	46.3	32.35	31.09	49.34	38.6	52.11	44.43	131.19	17.77	65.93	60.13	40.79	20.15	90.11	16.6	0.32
Entpd7	6.73	0.0	21.34	17.24	5.98	20.34	8.57	35.54	39.19	31.66	0.0	32.99	51.92	15.67	25.69	30.96	28.14	0.0
Eps15	206.21	22.58	259.1	161.44	240.5	560.71	737.11	233.15	233.01	409.43	116.04	885.95	133.7	188.17	187.72	180.35	122.17	8.28
Erp29	0.18	0.0	114.67	107.75	91.29	242.01	234.82	134.04	37.92	241.07	3.69	133.98	101.85	83.04	168.39	78.91	0.21	0.0
Fam102b	0.0	7.53	12.72	25.95	34.93	62.27	0.0	3.93	7.0	49.46	0.0	0.0	0.14	0.0	13.7	0.0	0.09	0.0
Fam177a	0.7	1.48	3.2	2.51	3.54	6.22	5.97	8.93	29.51	6.53	4.56	15.28	5.43	5.26	4.31	2.48	0.87	0.67
Fbxl2	0.0	120.71	62.5	0.0	75.93	0.26	82.57	46.07	24.17	0.17	0.0	160.84	39.67	0.0	0.0	2.24	0.0	0.0
Fbxl22	0.0	0.0	0.0	2.81	0.0	2.22	0.0	0.0	0.0	3.79	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0
Foxn2	0.0	0.0	20.17	0.0	0.0	9.14	0.0	7.52	6.94	38.37	0.0	0.0	7.16	0.0	0.0	0.0	0.05	0.0
Galntl1	0.16	0.0	0.0	0.0	32.94	0.0	18.24	0.0	22.08	76.71	0.0	0.0	20.5	20.23	0.25	0.0	0.0	0.0
Gins4	0.0	0.0	38.09	0.0	0.0	46.88	0.0	0.0	25.51	121.71	0.0	2.8	0.0	20.6	0.0	0.0	0.0	0.0
Gm10033	0.0	0.12	0.0	12.36	0.33	0.0	0.43	58.95	43.82	0.6	0.0	107.49	0.0	0.0	94.78	0.0	0.74	0.0
Gm14431	0.0	0.0	0.24	1.57	0.74	0.78	0.0	4.95	2.91	18.21	0.0	0.16	4.65	1.0	4.66	0.35	0.4	0.0
Gm16523	0.05	0.17	0.22	0.0	0.0	0.1	0.0	0.32	0.8	0.25	0.0	0.56	0.17	0.15	0.0	0.07	0.15	0.09
Gm8898	0.0	0.0	0.24	1.57	0.74	0.78	0.0	4.95	2.91	18.21	0.0	0.16	4.65	1.0	4.66	0.35	0.4	0.0
Hdlbp	0.17	0.0	20.66	4.42	10.21	54.12	57.1	50.65	8.28	41.13	0.47	25.91	22.65	21.78	21.03	41.0	4.56	0.0
Hinfp	0.0	0.0	0.0	1.1	2.74	0.0	0.0	0.0	0.0	113.48	0.0	0.26	0.0	31.01	0.0	0.0	0.0	0.0
Hspa4l	1.42	0.0	73.68	55.31	82.02	218.07	68.15	138.05	73.97	182.19	0.63	149.44	45.7	184.73	92.26	35.82	37.42	0.0
