	Chrna2_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	14.48	2.8	0.52	0.0	4.25	31.78	1.19	1.22	0.87	17.56	16.4	17.92
2210404J11Rik	144.34	0.0	0.0	0.0	0.0	0.0	2.62	0.31	0.0	12.04	10.93	12.26
2410018L13Rik	85.18	0.0	13.52	0.0	0.43	0.11	0.47	0.35	0.0	21.22	18.14	24.47
2700029M09Rik	153.54	0.0	0.0	0.0	16.66	2.47	0.0	43.54	142.32	50.96	54.49	53.66
3110056K07Rik	123.44	0.0	0.0	0.0	0.0	0.0	0.24	0.0	65.76	15.4	15.43	16.21
4833442J19Rik	129.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.51	4.32	4.25
4922501C03Rik	29.99	0.0	0.0	0.0	0.0	0.06	2.69	0.0	0.05	5.96	4.67	6.17
4930413G21Rik	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4	23.64	23.18
4930509E16Rik	0.58	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
6030446N20Rik	138.03	0.0	0.0	0.0	0.0	0.0	0.0	24.3	0.0	6.35	5.61	4.99
9230114K14Rik	160.71	0.77	7.64	0.0	2.66	1.65	0.2	6.73	3.38	4.3	3.25	3.9
9330179D12Rik	170.84	0.0	0.0	0.0	9.61	0.0	0.0	0.0	0.0	4.76	5.26	5.01
A630007B06Rik	96.72	0.0	0.0	0.0	26.98	0.0	4.37	21.63	5.79	22.89	20.11	23.41
Acaa2	339.65	0.0	0.0	0.0	0.0	670.52	0.0	0.0	0.0	26.95	27.76	27.06
Actr3	135.03	0.13	0.0	0.0	0.0	0.0	0.0	29.75	40.36	195.76	189.66	180.15
Adcy5	56.8	0.0	0.0	0.0	17.82	0.06	26.23	0.09	0.0	139.88	145.98	149.99
Adi1	182.37	0.0	0.0	0.0	1.23	0.08	0.12	35.76	3.18	41.45	40.82	38.67
Adprh	405.9	0.0	0.0	0.0	98.31	0.0	0.14	5.5	51.94	108.17	118.79	112.54
Alg5	163.21	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.18	20.97	21.61	21.16
Arrdc1	8.74	0.0	0.0	0.0	0.0	339.01	0.0	0.29	0.0	8.68	11.56	10.62
Asb8	408.66	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.12	43.46	41.82	38.06
Atg7	79.35	2.18	0.0	0.0	0.0	0.0	0.06	25.08	6.12	18.47	21.21	22.24
Atxn2	103.3	0.0	0.0	33.31	4.73	0.0	7.83	0.95	60.66	46.73	47.49	48.73
B230118H07Rik	151.91	0.0	0.0	0.0	67.33	0.0	0.1	26.58	63.71	15.44	13.59	15.08
B3galtl	25.64	0.0	0.0	0.0	3.52	0.0	0.0	0.0	0.0	14.82	14.88	13.76
Bivm	135.47	0.0	0.0	0.0	45.01	0.0	0.0	0.0	14.68	17.32	16.38	16.43
Bmpr1a	56.68	0.0	0.0	0.0	0.0	0.0	0.12	40.02	0.0	26.12	23.76	26.09
Brd1	63.04	0.0	0.0	0.0	33.76	0.03	0.04	8.73	59.51	30.53	33.71	28.77
Bub3	401.44	0.0	0.0	0.0	0.0	0.15	96.48	61.66	11.21	70.62	70.2	66.72
Ccm2	105.17	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.61	55.46	61.72	57.53
Cdan1	26.31	0.0	0.17	0.0	0.09	111.62	0.35	0.22	0.36	12.72	12.84	12.6
Cdc7	137.19	0.0	0.0	0.0	0.0	0.0	0.22	33.92	0.09	12.79	11.83	13.24
Cdkl2	68.73	0.0	0.0	0.0	2.62	0.0	0.0	17.31	0.0	29.92	27.86	26.47
Cfl2	398.71	0.0	1079.06	2.55	145.1	0.11	0.66	29.65	42.37	57.12	56.66	55.26
Commd6	498.51	0.8	0.97	0.0	118.23	0.0	0.0	161.44	64.29	49.15	52.26	45.31
Cpsf3l	48.25	0.0	0.0	0.0	0.0	0.0	0.0	8.36	4.51	27.54	28.88	26.1
Cthrc1	289.27	0.29	0.0	0.0	0.0	0.0	0.0	68.26	0.0	11.75	10.9	9.09
Dcun1d5	214.86	0.0	0.0	0.0	35.0	0.0	4.59	9.38	11.44	60.12	57.72	61.46
Ddx31	91.24	0.0	0.0	0.0	0.0	0.0	3.79	0.0	0.0	4.55	4.15	5.16
Dnttip2	219.17	0.0	0.0	0.0	42.56	0.0	0.0	17.11	1.29	21.1	18.52	16.99
Dstyk	32.55	0.0	0.0	0.0	0.0	0.0	0.37	5.39	0.08	31.47	30.63	31.81
Eif2b4	374.4	0.0	0.19	0.0	0.0	0.0	7.65	39.79	0.0	36.76	38.85	37.76
Emb	230.06	0.0	0.0	0.0	0.0	0.0	0.0	25.29	0.0	22.37	23.13	21.03
Erp29	263.67	0.0	0.0	0.0	40.42	0.0	5.86	10.62	0.21	93.46	105.91	103.56
Fam177a	14.48	2.8	0.52	0.0	4.25	31.78	1.19	1.22	0.87	17.56	16.4	17.92
Fam19a1	0.24	0.0	0.0	0.0	0.18	0.05	2.63	5.41	0.87	28.25	26.68	31.03
Gca	72.58	0.0	0.0	0.0	24.9	0.0	0.0	6.79	14.8	19.74	15.34	19.31
Gck	77.3	0.0	0.0	0.0	0.26	0.0	0.1	0.0	0.0	0.93	1.2	0.82
Gimap3	1.44	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.28	0.23	0.31
