	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_14	Rorb_tdTpositive_cell_11	Ntsr1_tdTpos_100cell_1
1700028P15Rik	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0
2700038G22Rik	2.76	2.59	0.0	0.46	172.36	1.05	0.74	1.7
2700062C07Rik	0.0	0.2	0.0	0.19	175.84	0.0	0.0	54.0
2810008M24Rik	0.0	438.42	0.0	0.1	549.51	0.0	0.0	60.48
3110007F17Rik	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0
4930413F20Rik	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0
4930471M23Rik	0.0	0.0	0.0	0.0	135.76	0.0	0.0	24.72
4930509E16Rik	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0
4933425O20Rik	0.0	0.0	0.0	0.34	0.48	0.0	0.0	0.0
6330439K17Rik	0.24	39.81	1.12	2.33	222.88	0.06	163.32	26.72
7420701I03Rik	0.0	0.0	0.0	0.54	1.11	0.5	0.0	0.0
9330178D15Rik	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0
9330182O14Rik	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0
9530082P21Rik	122.27	45.49	62.7	13.92	225.89	85.22	0.89	100.91
AW046200	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0
AW555464	0.0	0.03	25.65	6.65	54.61	0.09	0.0	7.54
Abcf2	302.35	0.12	32.21	165.28	859.51	13.4	0.0	242.85
Abhd14b	0.0	158.76	0.0	157.1	240.73	0.0	0.0	12.78
Acadm	0.0	0.06	0.0	0.1	168.95	0.0	0.0	31.61
Acot9	9.93	0.07	0.0	0.25	288.71	0.36	289.37	143.59
Acta2	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0
Adam23	10.57	9.74	69.86	38.58	113.98	10.84	65.95	32.83
Adap1	0.32	1.96	81.27	80.95	200.89	7.61	1.19	14.97
App	212.01	89.74	185.13	559.07	757.89	431.41	296.93	200.54
Avpr1b	0.0	0.02	0.0	0.0	0.18	0.0	0.0	0.0
B020018J22Rik	0.0	0.0	0.0	0.07	0.22	0.12	0.0	0.0
Bglap-rs1	0.0	0.0	0.0	0.0	4.07	0.7	0.0	0.0
Boc	0.0	66.51	7.6	0.25	80.16	0.35	0.0	0.0
