	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110050K14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	1.49	1.46
1700110K17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.16	0.3	0.17
2610020H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.2	0.56	0.95	1.82
3110099E03Rik	0.0	0.0	0.17	0.26	0.0	0.0	0.0	1.52	0.66	0.0	0.29	0.0	0.07	0.0	0.11	0.0	0.18	0.32	0.12	0.35	0.0	0.0	0.0	0.0	0.0	0.15	0.32	0.23	0.39	0.0	0.57	0.36	0.27
4930467E23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95	9.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.27	0.0	1.41	1.22	1.73
4930507D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	1.34	1.03	1.28
4930524L23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.44	0.59	0.68
4930525G20Rik	0.0	0.0	0.0	0.23	0.0	0.0	0.0	160.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	12.07	0.0	0.0	0.0	0.0	1.2	5.71	2.02	2.07	1.61	1.84
4930552N02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930558J18Rik	0.17	0.0	0.0	0.34	0.0	0.0	0.54	4.56	0.2	0.0	0.13	0.16	0.0	0.23	0.0	0.0	0.0	0.0	0.08	0.0	0.12	0.67	0.0	0.52	0.77	0.17	0.51	0.0	0.16	0.0	0.36	0.2	0.47
4930562C15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.19	0.08
4933408B17Rik	0.0	0.0	0.0	0.29	0.0	0.0	0.0	57.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.63	0.73	1.03	1.0	0.64	0.95
4933438B17Rik	0.0	0.22	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.05	0.0	0.09	0.08	0.0
9030624G23Rik	0.0	0.22	0.0	4.02	0.0	0.0	0.0	112.07	0.0	0.0	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	1.92	0.0	6.26	4.53	0.0	0.0	0.0	0.0	0.16	6.22	4.42	3.99	16.15	16.02	14.89
9530051G07Rik	6.14	0.0	0.0	0.0	0.0	0.0	0.0	105.27	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.47	0.29	0.46
A230056J06Rik	0.23	0.0	0.0	0.0	0.0	0.0	0.0	47.63	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.11	0.0	0.0	0.34	0.22	0.0	2.08	0.44	0.88	0.69	1.01	0.84
A930004D18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.37	3.04	3.56	3.04
AY358078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.07
Adamts5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.9	0.0	12.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	0.92	1.99	0.83	0.69	0.9
Adipor2	0.0	0.0	50.46	1.03	0.0	0.0	0.0	104.01	0.0	0.0	11.34	0.0	21.69	10.15	4.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.87	5.23	0.52	5.14	35.22	36.69	31.89
Agl	1.34	6.18	12.18	1.47	6.25	2.34	2.04	28.9	3.06	3.45	2.91	1.77	1.47	0.94	1.57	2.3	2.63	1.35	1.18	13.67	0.94	2.1	1.47	4.26	0.45	2.7	1.23	2.48	3.35	3.25	14.67	13.73	15.18
Alg10b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.46	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.06	0.0	6.65	0.0	0.29	0.0	0.0	0.0	1.83	2.58	3.71	25.45	25.47	26.09
Amotl2	0.0	19.58	0.0	0.0	0.0	0.0	0.0	30.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.61	15.01	13.33
Apaf1	0.0	0.0	0.0	2.8	0.0	0.0	0.0	86.2	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	4.29	2.65	0.0	0.0	0.0	0.0	9.33	0.0	0.0	0.0	2.31	1.25	1.21	7.55	7.54	6.56
Arf6	18.35	4.3	2.05	5.37	3.91	0.0	30.19	76.18	2.64	0.0	2.16	7.89	4.33	10.74	6.94	4.73	4.89	4.01	5.95	27.22	2.13	4.55	4.37	3.99	6.88	0.21	2.8	9.06	9.17	9.62	30.71	32.07	31.03
