	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31
1110012L19Rik	0.0	192.16	0.0	0.0	0.0	60.55	38.76	44.22	0.0	0.28	0.0	156.02	0.0
4930455C13Rik	0.0	4.45	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0
4930473A02Rik	0.0	6.98	0.0	0.0	0.0	0.0	0.16	0.51	0.0	0.0	0.0	0.0	0.0
5033414D02Rik	0.48	187.6	67.28	31.84	50.15	32.02	71.63	44.15	102.53	0.0	14.83	0.0	0.0
A630077J23Rik	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acadm	0.0	203.01	350.25	0.0	0.14	31.61	43.91	42.6	0.0	211.73	0.0	4.47	199.44
Acox1	0.0	206.46	13.28	1.02	25.43	49.38	49.69	45.06	0.0	0.0	0.0	139.26	36.74
Adat3	0.0	0.49	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0
Ankrd34c	0.0	5.24	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0
Arhgap10	11.57	47.67	0.0	0.0	13.39	9.11	5.77	3.99	9.34	2.41	43.65	0.0	1.77
Atad3a	0.0	9.6	0.0	0.0	12.8	10.64	5.56	6.33	0.0	0.0	0.0	1.19	0.0
Atg4b	4.17	142.77	2.66	9.86	82.91	31.35	44.74	55.91	0.0	0.0	174.36	57.66	0.0
Atm	0.02	22.94	0.03	1.69	0.05	1.84	2.47	1.54	0.09	0.0	0.0	0.42	0.03
Atp1b3	66.21	184.76	0.0	4.14	0.0	22.57	21.09	16.1	0.0	49.41	0.0	0.0	0.0
Atp5sl	0.0	171.76	0.0	0.0	15.46	24.43	35.84	29.16	138.15	0.12	0.0	36.6	104.22
Bcl2l15	0.0	0.35	0.17	0.0	0.0	0.3	0.0	0.53	0.0	0.0	0.0	0.0	0.0
Calm2	20249.89	14663.17	24749.41	21064.56	20654.99	18004.95	16099.57	15686.41	22860.58	23322.9	25106.81	21777.08	23557.63
Ccrl1	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.04	0.0
Cel	0.0	0.19	0.0	0.0	0.0	0.0	0.17	0.17	0.0	0.0	0.0	0.0	0.0
Chd6	0.0	59.92	0.0	0.0	22.94	11.27	6.45	8.29	33.02	3.38	0.21	54.01	14.1
Cox11	0.0	172.42	46.66	3.63	0.0	12.14	5.36	10.23	0.0	0.0	0.0	5.77	0.0
Csnk1e	2.24	109.44	0.0	0.12	0.09	23.67	21.07	20.03	66.71	0.11	0.0	0.17	17.31
Cxcr7	0.0	0.7	0.0	0.0	0.0	1.4	2.94	1.35	0.0	0.0	0.0	0.0	0.0
Dazap2	168.35	691.79	52.38	506.61	438.39	542.92	501.39	499.2	728.41	184.27	245.76	168.95	773.16
Dll3	0.0	0.95	0.0	0.23	0.0	0.42	0.48	0.0	0.13	0.0	0.0	0.0	0.18
Dnajb14	2.75	136.18	65.72	0.0	0.0	1.95	8.08	2.46	0.0	0.0	0.0	0.0	0.0
Dnd1	0.0	0.47	0.0	0.0	0.0	0.41	1.19	0.24	0.0	0.0	0.0	0.0	0.0
Egln2	39.74	120.1	19.48	0.0	0.0	7.13	7.39	3.65	69.01	2.45	0.0	19.39	90.39
