	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_5	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTnegative_cell_12
2510003E04Rik	8.4	0.0	0.0	130.39	49.21	0.0	0.0	0.0
6330407J23Rik	0.0	0.0	0.0	104.7	10.93	0.0	118.85	0.0
Adam11	0.0	0.25	0.11	11.36	6.49	0.0	42.78	0.0
Adcy1	0.0	0.0	0.0	44.77	12.78	0.0	27.96	0.0
Akirin1	0.0	0.0	0.19	0.53	4.31	3.91	133.76	0.0
Atxn7l3b	0.0	0.0	0.0	82.85	54.61	0.0	327.25	0.0
BC030336	0.0	0.0	0.0	50.99	46.31	0.23	24.67	0.0
Bap1	0.0	0.0	0.0	4.43	19.93	0.0	262.23	0.0
Barhl2	0.0	0.24	0.0	0.47	0.59	0.28	1.09	0.29
Bdp1	0.0	0.04	0.0	34.54	11.45	0.0	11.06	0.0
Boc	0.0	0.0	0.0	0.0	19.88	0.0	23.1	0.0
Cadm2	0.36	0.04	0.05	86.61	23.59	0.0	140.14	0.0
Ccl27b	0.0	0.0	0.0	0.18	7.32	0.0	470.61	0.0
Cdk16	0.0	0.0	0.0	21.44	25.99	0.0	29.77	0.0
Celsr2	0.0	0.0	0.0	16.02	10.19	0.0	32.73	0.0
Cer1	0.26	3.44	0.31	3.59	2.51	0.0	3.6	2.13
Coro2b	0.0	0.0	0.0	1.08	35.07	0.0	86.08	0.0
Csnk1a1	0.0	0.0	1.85	1.05	139.55	0.0	259.92	0.0
Dync1h1	0.0	0.0	0.0	28.72	11.38	22.77	122.44	0.05
E230016K23Rik	1.83	5.57	0.65	19.83	29.44	6.03	34.88	3.97
Eid1	0.0	0.0	0.18	50.62	131.5	85.03	89.08	0.0
Ephb6	0.0	0.0	0.0	2.52	9.51	0.0	156.16	0.0
Etv3	0.0	0.0	0.0	0.11	1.82	0.0	0.08	0.0
Fam160a2	0.16	0.0	0.0	2.22	0.87	0.0	0.45	6.46
Fam5b	0.0	0.0	0.0	2.34	2.32	0.32	171.54	0.0
Gabrb3	0.0	0.22	0.13	23.64	88.64	0.0	128.08	0.09
Gfod1	0.0	0.0	0.0	0.68	7.71	0.0	11.03	0.0
Gm13306	0.0	0.0	0.0	0.18	7.32	0.0	470.61	0.0
Gm14430	0.0	0.0	0.07	0.2	1.36	0.0	20.43	0.0
Gm14434	0.0	0.0	0.07	0.2	1.36	0.0	20.43	0.0
Gm1673	0.0	0.0	0.0	0.0	13.78	0.0	48.6	0.0
Gm2506	0.0	0.0	0.0	0.18	7.32	0.0	470.61	0.0
Gm4724	0.0	0.0	0.07	0.2	1.36	0.0	20.43	0.0
Gm4841	0.19	9.88	8.94	28.47	22.53	3.41	39.13	14.59
Golga4	0.05	0.0	0.0	35.2	9.92	0.0	46.27	0.0
Kalrn	0.02	0.15	0.19	5.12	14.29	1.51	92.2	0.64
Kcnb1	0.0	0.0	0.0	5.35	26.43	0.06	123.97	0.0
Kcnj9	0.0	0.0	0.0	9.75	0.55	0.0	152.41	0.0
Kcnn1	0.0	0.1	0.0	0.43	0.54	0.83	5.22	0.34
Kpna6	0.0	0.0	0.0	0.82	1.37	0.0	37.08	0.0
LOC626049	0.0	0.0	0.0	0.62	0.6	0.0	0.13	0.0
Lrrc19	0.25	0.0	0.0	0.1	0.54	0.0	96.86	0.25
Map3k5	0.0	0.0	0.0	2.42	72.38	0.0	19.45	0.0
Mapk1	0.0	0.62	0.0	175.7	182.27	0.0	182.31	0.0
Mapkbp1	0.03	0.18	0.06	0.55	19.16	0.18	27.63	0.38
Mgat3	0.0	0.0	0.0	3.43	0.03	0.0	157.15	0.0
Mgat5b	0.0	0.0	0.0	4.61	0.07	0.0	53.65	0.0
Ngfr	0.0	0.13	0.0	0.49	0.79	0.23	2.26	0.2
Odz4	0.0	0.0	0.0	40.44	15.54	0.0	7.8	0.0
Papd7	0.0	0.0	0.0	0.1	5.43	0.0	31.74	0.0
Pcdh7	0.0	0.0	0.0	12.28	59.3	0.0	141.98	0.0
Pclo	0.11	0.26	0.06	16.49	19.7	0.26	142.49	0.24
Ppm1b	0.0	0.0	0.0	1.87	72.8	0.0	10.04	0.0
Ppp2r2d	0.0	0.2	0.0	0.21	0.29	0.0	251.03	0.0
Rps11	5057.7	3829.7	7057.18	1571.5	1109.15	5145.62	436.11	7536.03
Slc12a5	0.0	0.0	0.0	66.27	20.07	0.0	79.31	0.0
Smoc2	0.0	0.0	0.0	0.05	0.11	0.0	0.0	0.0
Svop	0.0	0.0	0.0	12.6	59.8	0.0	145.89	0.0
Tfip11	0.0	0.0	0.0	0.55	0.67	0.0	53.68	0.0
Tlk1	0.0	156.92	0.0	0.24	119.82	2.59	116.57	0.0
Tmem206	32.8	7.55	9.48	33.23	23.19	6.17	170.54	12.1
Tomm70a	0.0	0.0	0.0	189.68	15.94	0.0	127.45	0.0
Trim37	0.0	0.0	0.0	33.87	40.74	0.0	44.26	0.0
Usp47	0.0	0.0	0.0	0.7	45.2	0.0	85.68	0.0
Zc3h18	0.0	0.0	0.0	0.0	0.04	0.0	5.76	0.0
Zfp827	0.0	0.0	0.0	11.92	3.75	0.0	0.15	0.07
Zyg11b	3.09	0.69	3.74	25.18	23.72	7.18	100.17	14.79
