	Chrna2_tdTpositive_cell_13	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010O12Rik	108.58	0.0	367.08	353.65	0.0	819.28	0.0	0.0	0.0	252.74	193.38	130.05	125.94	51.32	283.66	155.2	0.0	27.03	324.08	111.27	209.54	3.83	108.78	0.0	99.6	243.81	194.33	107.7	150.8	232.32	54.14	329.92	159.8	153.76	0.0	1.17	0.33	0.0	0.0	182.4	53.28	40.64	50.06	47.18
4930429F24Rik	0.0	0.0	0.0	0.0	0.0	185.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.59	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	3.09	2.44
A130040M12Rik	29.14	69.8	43.58	0.0	0.0	293.48	0.89	72.83	0.26	0.0	15.6	4.31	6.99	0.74	271.59	112.48	0.35	3.29	5.79	2.83	0.0	176.99	9.35	6.62	10.08	4.52	9.15	1.93	25.69	4.99	5.3	8.16	31.27	7.03	16.61	122.24	23.25	0.16	23.39	22.76	27.4	35.33	34.07	33.17
Acta2	0.0	0.0	15218.82	0.75	0.0	15816.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5285.52	0.0	0.0	0.0	0.0	0.0	1468.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	9.56	12.04	11.19
Actn1	0.0	0.0	416.56	37.9	3.93	129.53	0.0	0.0	190.07	0.0	0.0	4.89	0.89	0.0	40.32	13.68	4.02	0.0	43.68	0.0	9.37	0.84	0.0	1.55	1.14	12.68	19.8	0.0	3.82	3.34	0.91	0.07	10.55	6.11	1.27	0.0	0.0	0.0	0.0	0.86	27.36	72.48	66.41	70.2
Actn4	0.0	76.08	568.88	0.26	23.1	325.28	0.0	0.0	0.0	0.58	0.0	0.0	32.33	6.01	554.87	34.29	0.0	22.15	20.69	7.82	2.65	0.0	0.0	5.94	12.31	5.22	0.0	0.0	17.8	0.0	0.0	2.01	0.0	0.51	56.0	0.17	0.0	0.0	0.0	153.05	148.55	91.94	95.06	96.65
Adamts1	0.0	0.0	290.94	0.0	0.0	291.0	0.0	0.0	0.0	0.0	0.0	4.06	0.0	0.12	0.0	250.81	261.47	1.9	0.0	0.0	0.13	0.0	0.0	0.64	0.29	0.36	0.07	24.0	8.42	0.0	0.0	0.05	74.63	55.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81	6.92	7.5
Ano1	0.0	0.0	5.01	0.0	0.0	340.42	0.0	0.0	0.0	102.55	0.0	0.0	0.0	0.12	149.85	62.85	0.0	0.0	0.0	0.05	88.99	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	2.63	2.26
Anxa5	108.41	1617.51	959.64	1199.81	0.47	2724.96	0.0	745.58	320.7	2264.77	151.5	0.0	178.5	0.0	1281.19	1354.32	0.09	0.0	0.0	103.46	2372.64	375.0	127.53	11.2	183.45	66.27	0.0	45.2	0.24	0.67	0.5	104.01	0.0	0.1	0.0	0.0	0.11	0.0	0.0	73.05	0.27	55.77	60.64	54.35
Aspn	0.0	0.0	1308.88	0.0	0.17	736.39	0.0	0.0	320.32	0.0	0.0	0.0	0.0	0.0	98.47	832.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.73	1.51	1.27	0.83
Atp1b2	18.12	0.0	570.51	0.11	0.27	495.16	0.0	0.0	0.0	167.67	0.0	0.0	25.24	160.58	501.71	432.49	0.0	42.33	10.71	92.09	188.2	941.58	0.0	129.27	41.98	19.32	0.0	2.39	2.91	0.23	0.38	0.31	0.06	0.12	0.0	0.0	0.0	0.0	0.0	363.27	241.73	312.68	315.43	314.48
B230120H23Rik	2.78	1.12	1768.11	0.3	1.01	1410.23	0.08	11.32	432.32	188.31	21.03	2.04	63.91	0.0	251.06	152.27	10.49	1.22	0.51	0.42	226.74	1.25	0.07	1.41	6.42	1.83	12.44	12.31	59.06	78.82	0.35	0.37	38.92	62.55	3.51	0.24	0.32	0.38	0.38	0.12	0.07	3.54	3.14	3.86
C1galt1c1	322.19	0.0	1158.12	0.0	0.0	856.54	0.0	0.0	0.0	0.0	134.17	76.12	252.97	0.78	1.56	0.0	0.0	165.51	14.17	0.0	0.0	2.13	142.65	0.0	0.0	72.57	0.0	27.04	37.41	1.23	1.54	0.52	187.76	284.19	0.0	0.0	0.0	0.0	0.0	80.55	5.05	29.26	29.13	27.22
