	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_53	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_22	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_55	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_91	Htr3a_tdTpositive_cell_94	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_18	Ndnf_tdTnegative_cell_1	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_39	PvalbD.Slc32a1_tdTpositive_cell_34	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_15	Sst_tdTpositive_cell_17	Sst_tdTpositive_cell_60	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_64	CAV_LP_Ipsi_tdTpos_cell_34
1700030K09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.04	20.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.41	203.83	0.0	21.74	0.0	113.73	0.13	0.0	16.92	0.0	47.4	0.0	0.0	40.53	0.23	0.0	1.21	266.16	1.38
Ank	0.0	0.0	0.23	0.0	102.44	0.0	0.0	0.0	0.0	116.59	48.42	0.0	0.0	0.0	178.73	66.55	0.0	0.13	34.68	0.0	0.0	128.29	0.0	0.0	0.13	0.0	0.16	0.08	61.32	337.78	32.61	0.1	44.91	134.57	66.89	71.66	110.08	0.1	0.71	0.0	0.32	37.02	5.96	0.0	117.26	0.43	76.38
Ap2a2	60.99	49.15	105.14	14.34	115.34	0.0	89.8	42.17	60.52	41.03	28.74	88.26	3.59	121.57	53.63	59.34	218.1	22.2	35.58	126.64	39.21	98.4	0.0	75.92	45.29	66.3	77.08	51.75	233.46	82.44	242.95	74.22	169.99	191.67	138.05	227.64	244.69	136.82	107.54	96.8	192.84	112.84	85.3	59.07	16.94	5.61	183.76
B230208H17Rik	0.0	0.0	4.29	31.62	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.86	0.0	0.0	0.94	0.0	16.25	0.0	0.0	0.0	0.0	0.0	5.32	1.09	5.64	14.23	98.55	36.68	29.69	0.1	0.0	2.08	0.0	1.38	30.15	0.0	64.93	17.94	0.0	0.0	0.0	0.0
B230209E15Rik	13.59	60.83	93.97	15.16	74.19	0.0	74.52	6.49	44.56	1.39	0.0	8.74	335.46	21.82	15.15	73.06	30.49	21.23	19.23	94.26	35.29	70.4	0.0	0.48	3.04	0.0	3.08	0.0	58.98	134.96	71.74	6.48	61.01	102.91	44.2	55.21	60.04	43.8	56.85	51.45	147.21	78.72	88.21	73.51	11.01	0.0	117.42
Bola2	0.0	47.06	236.45	0.0	204.98	0.0	207.65	0.0	90.79	60.36	0.0	0.0	0.0	181.94	0.99	0.0	51.83	128.28	57.39	85.67	63.87	41.08	0.0	185.07	0.0	0.0	90.29	50.41	72.43	265.78	166.25	34.25	167.86	175.54	140.26	78.21	157.2	0.0	76.21	110.84	83.38	151.55	67.82	0.0	0.0	0.0	58.62
Ccpg1	0.1	0.06	0.39	0.0	185.12	0.0	162.22	59.06	0.0	72.81	150.97	0.0	0.0	151.32	52.89	126.65	0.5	0.0	111.71	145.87	0.07	0.15	0.0	194.09	0.15	0.0	0.2	0.2	0.14	46.09	76.24	50.01	85.21	102.24	83.03	275.18	167.48	0.13	0.21	128.39	143.74	105.42	152.57	133.9	0.18	206.9	158.25
Clec16a	0.0	0.05	3.48	0.0	0.0	0.0	0.0	0.06	0.25	10.51	0.0	0.69	0.0	0.0	59.38	12.26	0.0	0.43	0.0	42.74	49.56	29.5	0.0	0.86	0.0	0.0	0.0	0.09	10.06	81.04	0.0	31.01	13.68	0.82	22.8	48.32	0.0	0.85	12.84	0.0	0.26	49.07	0.09	0.03	0.7	0.0	0.0
Elavl2	0.0	0.0	0.64	27.5	87.74	0.0	0.0	0.09	5.42	49.87	106.56	64.18	0.0	149.62	134.75	0.0	57.74	147.75	18.48	220.78	106.77	101.29	0.0	35.87	232.51	0.0	54.68	149.87	82.86	249.5	157.1	67.18	186.95	55.51	155.31	336.32	174.93	282.35	159.17	80.3	82.21	83.91	183.41	46.71	64.66	0.0	73.94
Epb4.1l3	1.76	2.67	0.0	1.83	69.46	0.0	4.05	3.34	0.13	123.38	0.0	2.84	0.0	78.52	160.51	2.77	34.94	1.57	0.0	4.62	14.64	76.96	0.0	4.13	3.56	0.0	75.07	3.92	55.91	75.69	120.23	83.96	85.19	235.61	112.9	58.2	101.74	113.09	83.75	10.53	6.97	70.02	282.07	12.46	1.32	3.72	20.87
Gas7	3.23	1.51	12.74	3.6	62.71	0.0	23.43	0.05	5.06	39.78	9.16	48.04	41.4	13.25	64.43	0.06	22.85	0.0	3.64	99.74	14.62	104.56	0.0	12.71	67.9	0.0	133.39	13.25	76.5	108.1	104.87	4.28	128.85	33.23	35.03	70.75	93.94	44.05	79.47	80.83	62.05	54.3	148.76	0.15	0.0	63.69	128.2
Impact	5641.63	5933.6	6539.77	5893.94	6891.15	0.0	7007.16	6174.14	6228.16	6826.9	5966.4	6067.16	7392.12	6201.0	5074.49	7253.7	5696.64	6720.17	6840.91	5707.95	5620.11	5283.35	0.0	6940.54	5187.6	1442.04	5879.64	6228.26	5220.34	2705.51	5542.05	5757.16	6020.42	6867.61	6400.32	6279.58	5111.38	5717.65	5658.18	5786.89	6369.48	5980.71	4974.58	7015.38	6662.18	6284.88	5790.54
Kcna6	0.0	0.0	0.0	103.29	1.03	0.0	0.0	0.0	131.1	0.0	0.0	1.75	0.0	1.49	69.34	0.72	0.0	0.0	0.0	53.64	0.57	5.19	0.0	35.51	30.64	0.0	0.0	1.65	1.81	70.71	10.8	19.94	40.01	87.83	33.42	0.0	16.1	17.38	11.83	0.0	0.0	0.0	101.14	0.03	0.0	0.0	1.22
Mapk10	63.23	15.79	3.13	40.97	210.45	0.0	13.11	73.31	90.34	79.58	91.95	3.71	0.35	114.43	214.71	54.13	83.3	0.11	35.45	161.98	120.31	166.45	0.0	81.09	133.78	0.0	127.28	33.28	281.11	71.13	258.95	216.58	247.42	259.54	377.64	210.04	377.63	244.02	191.41	47.63	150.28	194.56	213.28	222.4	0.87	82.55	270.87
Mtss1	0.0	0.0	0.0	0.0	9.29	0.0	0.0	11.95	0.0	0.0	0.0	0.0	0.0	0.66	5.29	36.63	0.0	0.0	0.0	106.62	0.0	20.01	0.0	2.48	23.68	0.0	0.0	0.0	21.89	73.6	1.69	1.82	0.0	0.09	0.0	32.43	13.24	20.85	0.0	17.81	0.0	0.0	22.79	0.07	0.0	4.36	0.0
Neto1	0.04	0.0	0.0	0.0	10.1	0.0	6.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	1.97	9.53	76.65	0.0	0.0	0.0	0.0	0.0	0.0	33.9	51.25	36.05	71.68	66.5	83.42	13.48	139.0	29.25	54.76	41.83	60.84	0.0	13.51	175.53	0.0	0.0	0.0	0.05
Ogdh	23.71	70.12	143.95	21.16	60.97	12.58	22.07	17.98	14.46	54.96	14.23	99.76	42.89	46.05	93.51	15.58	12.5	16.17	21.83	129.06	55.02	20.39	33.99	31.83	51.96	34.43	32.47	14.82	237.61	340.97	57.37	37.73	43.04	129.68	60.77	11.98	43.22	201.71	21.66	122.53	65.65	68.39	295.32	37.11	10.51	136.36	104.19
Polb	0.12	294.8	219.59	0.54	53.45	0.0	119.32	217.97	43.66	0.5	7.0	24.99	422.4	42.23	195.41	312.66	49.85	54.08	285.68	0.0	85.3	102.68	0.0	195.64	331.79	0.0	0.48	246.87	345.29	816.1	126.29	163.97	109.17	195.29	49.59	263.26	246.18	356.84	161.74	135.01	178.67	361.48	342.17	139.94	0.41	80.26	188.14
Rab11fip5	0.03	3.86	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	37.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	25.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.25	45.79	31.77	25.62	55.42	2.5	0.0	59.85	0.0	1.81	0.0	8.51	4.17	3.41	77.04	0.0	0.0	0.0	0.0
Rbfox1	7.42	40.09	82.79	0.0	85.73	0.0	143.11	0.0	0.05	69.43	79.11	40.54	0.0	4.89	103.29	18.72	66.55	1.45	75.23	0.82	103.04	84.7	0.0	3.24	73.63	0.0	108.09	28.02	133.86	310.77	169.86	102.19	232.05	210.9	86.2	94.33	162.49	197.16	140.16	132.37	62.81	205.34	158.48	101.35	16.9	149.98	52.76
Rrn3	57.62	139.85	199.47	108.7	268.2	0.34	26.6	125.2	77.0	81.8	293.89	175.48	133.43	167.92	282.97	25.32	49.14	254.98	84.53	30.88	145.02	221.36	2.05	168.18	124.7	0.17	248.36	156.8	253.87	153.47	197.89	181.41	201.87	138.18	334.94	295.31	206.14	270.81	206.87	316.85	384.49	292.97	164.24	122.01	202.65	185.84	77.85
Runx1t1	0.07	0.0	0.14	0.11	108.33	100.8	0.0	0.0	0.0	34.68	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.4	0.0	73.22	180.34	155.95	0.0	84.43	0.0	0.1	37.82	12.82	120.72	42.94	111.67	88.62	51.3	185.71	114.54	203.44	42.25	48.95	56.54	35.18	38.35	97.66	84.04	35.58	0.25	0.51	87.19
Satb1	0.0	0.0	0.0	0.0	165.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.36	0.0	23.58	126.0	117.27	0.0	0.0	0.0	10.55	0.0	0.0	3.25	36.91	12.59	0.73	30.18	47.14	35.45	74.56	3.57	27.45	61.45	5.49	32.18	154.9	72.21	0.0	0.16	0.0	2.81
