	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_44	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.22
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.0	0.19	0.19
1700034F02Rik	0.0	0.0	0.0	0.14	0.14
1700061J05Rik	0.0	0.0	0.0	0.11	0.11
1700066B19Rik	0.0	0.0	0.0	0.13	0.13
4833403I15Rik	0.0	0.0	0.0	0.03	0.03
4930403N07Rik	0.0	0.0	0.0	0.04	0.04
4930412C18Rik	0.0	0.0	0.0	0.89	0.89
4930455B14Rik	0.0	0.0	0.0	0.09	0.09
4930528F23Rik	0.0	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.07
4930562C15Rik	0.0	0.0	0.0	0.08	0.08
4931423N10Rik	0.0	0.0	0.0	0.22	0.22
5830432E09Rik	0.0	0.0	0.0	0.28	0.28
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
9330111N05Rik	0.0	0.0	0.0	0.07	0.07
A4gnt	0.0	0.0	0.0	0.07	0.07
AU040320	0.0	0.0	0.0	48.01	46.87
Abca13	0.0	0.0	0.0	0.03	0.03
Abhd16b	0.0	0.0	0.0	0.06	0.06
Adamdec1	0.0	0.0	0.0	0.04	0.04
Adamts12	0.0	0.0	0.0	0.19	0.19
Akr1c12	0.0	0.0	0.0	0.08	0.08
Aldh9a1	0.0	0.0	0.0	23.88	24.66
Atp8b3	0.0	0.0	0.0	0.04	0.09
Awat2	0.0	0.0	0.0	0.13	0.13
BC051537	0.0	0.0	0.0	0.24	0.24
Barhl1	0.0	0.0	0.0	0.03	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.0	0.04	0.04
Bpifb4	0.0	0.0	0.0	0.05	0.05
Bsnd	0.0	0.0	0.0	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.1
Cand1	2.06	0.0	20.48	54.24	51.65
Capn13	0.0	0.0	0.0	0.04	0.04
Ccdc154	0.0	0.0	0.0	0.04	0.04
Ccdc63	0.0	0.0	0.0	0.09	0.09
Ccl2	0.0	0.0	0.0	0.13	0.13
Ccr3	0.0	0.0	0.0	0.03	0.03
Cd27	0.0	0.0	0.0	0.48	0.48
Cdk16	0.0	0.11	0.0	206.47	219.97
Ceacam15	0.0	0.0	0.0	0.07	0.07
Chd4	0.32	0.0	0.0	84.9	82.33
Clec12b	0.0	0.0	0.0	0.07	0.07
Coasy	0.0	0.0	0.0	20.56	22.11
Cpa3	0.0	0.0	0.0	0.07	0.07
Csnk1d	0.0	0.0	0.0	101.99	96.3
Cyp2c55	0.0	0.0	0.0	0.05	0.05
Cyp3a57	0.0	0.0	0.0	0.06	0.06
D6Mm5e	0.0	0.0	0.0	0.1	0.1
Ddx26b	0.0	0.0	12.43	37.71	36.9
Dhx58	0.0	0.0	0.0	1.52	1.52
Dmap1	2.31	0.0	0.0	31.72	29.68
Dnajc5b	0.0	0.0	0.0	0.11	0.11
Dnmt3l	0.0	0.0	0.0	0.12	0.12
Dppa1	0.0	0.0	0.0	0.09	0.09
Dspp	0.0	0.0	0.0	0.11	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.1
Ephb1	0.0	0.0	0.0	26.22	26.3
F630111L10Rik	0.0	0.0	0.0	0.06	0.06
Fam134b	0.0	0.0	0.22	34.92	37.51
Fam170b	0.0	0.0	0.0	0.12	0.12
Fam187a	0.0	0.0	0.0	0.13	0.13
Fam83b	0.0	0.0	0.0	0.06	0.06
Fam89a	0.0	0.0	0.0	2.44	2.44
Fgfr4	0.0	0.0	0.0	0.03	0.03
Fmo4	0.0	0.0	0.0	0.06	0.06
Fnbp4	0.0	0.0	15.03	30.59	31.74
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Foxi1	0.0	0.0	0.0	0.04	0.09
Fut1	0.0	0.0	0.0	0.08	0.08
Gabrr3	0.0	0.0	0.0	0.07	0.07
Gcet2	0.0	0.0	0.0	0.07	0.07
Gm12633	0.0	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.0	0.14	0.14
Gm20139	0.0	0.09	0.12	0.15	0.23
Gm20554	0.0	0.0	0.0	0.08	0.08
Gm4598	0.0	0.0	0.0	0.19	0.19
Gm4745	0.0	0.0	0.0	0.08	0.08
Gm5801	0.0	0.0	0.0	51.32	48.8
Gne	0.0	0.13	0.0	25.93	25.77
Gpc4	0.0	0.0	0.0	13.61	13.61
Gpr44	0.0	0.0	0.0	0.08	0.08
Gzma	0.0	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.0	0.04	0.04
Hhla1	0.0	0.0	0.0	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.07	0.07
Il17c	0.0	0.0	0.0	0.16	0.16
Il18rap	0.0	0.0	0.0	0.04	0.04
