	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_41	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700001G11Rik	222.02	0.0	0.0	0.0	0.0	0.0	0.41	0.52	0.86
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700023A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.16
1700034F02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.13	0.14
1810062O18Rik	0.0	0.0	0.0	0.0	0.0	15.67	2.45	1.93	2.63
2010001M06Rik	0.0	0.0	0.0	0.0	0.0	0.0	6.52	8.12	6.52
2310065F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.14	0.07
2810049E08Rik	0.0	2.56	0.0	0.0	0.84	0.0	9.34	6.75	7.46
4833403I15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.03
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
5830403M04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.31	0.16
5830411N06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.03	0.07
5830432E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.45	0.28
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
9330111N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.07
A4gnt	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.07
Abca13	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.03
Abhd16b	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.06
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Angpt1	0.0	0.0	0.0	0.0	0.0	0.0	4.05	3.97	4.05
Arhgef40	0.0	0.0	0.0	0.0	0.0	0.0	9.71	10.13	10.21
Atl3	0.0	0.0	0.04	0.0	0.0	0.0	22.09	20.46	22.45
BC051537	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.11	0.24
Barhl1	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.03
Bhlhe23	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bsnd	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
Capn13	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Capn2	0.0	0.0	0.0	0.0	0.0	0.0	61.25	63.62	61.62
Ccdc154	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Ccr3	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Cd209b	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.41	0.11
Cd244	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cdh6	0.0	0.0	0.0	0.0	0.0	0.0	10.99	11.8	11.81
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cnot1	0.0	0.41	0.05	0.0	0.26	0.0	45.11	42.17	44.78
Cpa3	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.07
Csnk2a1	1.36	17.42	1.82	26.11	0.16	14.73	77.48	76.29	75.41
Ctbp2	0.0	0.0	0.0	0.0	0.0	0.0	15.14	14.93	15.54
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
D8Ertd82e	3.46	0.0	0.0	0.0	0.0	0.0	18.5	18.0	18.03
Defb1	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.21	0.11
Dhrs2	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.15	0.08
Dhx37	0.84	2.79	0.54	0.43	0.81	0.78	10.77	10.37	10.38
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Dnmt3l	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.12
Dspp	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Eif4e3	0.22	0.08	0.12	0.0	0.0	0.0	17.67	14.81	14.12
Eif4ebp3	0.0	0.0	0.0	0.0	0.0	0.0	6.55	6.42	8.66
F630028O10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.17	0.07
Fam123a	2.02	0.0	0.0	0.0	0.0	0.0	25.46	23.68	25.36
Fam170b	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.12
Fam83b	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.18	0.06
Fam83g	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.08	0.02
Fam89a	0.0	0.0	0.0	0.0	0.0	0.0	2.44	2.15	2.44
Fgfr4	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.24	0.03
Fkbp11	0.0	0.0	0.0	0.0	0.0	0.0	2.79	1.57	2.16
