	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Scnn1a.Tg2_tdTpositive_cell_2	Tac2_tdTpositive_cell_5
1700047I17Rik2	0.8	0.81	0.0	5.88	1.8	1.19	33.48	14.25
1810035I16Rik	4.97	4.24	0.0	18.19	6.14	1.59	12.16	44.28
4921508A21Rik	0.21	0.78	0.0	58.14	10.77	13.94	20.34	21.77
A330076H08Rik	0.0	0.0	0.0	337.98	64.21	4.96	33.48	335.3
Amy2a2	0.07	0.0	0.0	0.71	0.04	0.05	0.36	0.1
Amy2a3	0.07	0.0	0.0	0.71	0.04	0.05	0.36	0.1
Amy2a4	0.07	0.0	0.0	0.71	0.04	0.05	0.36	0.1
Brd8	16.88	5.6	0.0	164.27	107.15	27.74	143.71	280.75
Brf2	0.0	0.0	0.0	33.57	0.0	0.0	0.0	47.53
Btbd1	0.0	0.0	0.0	35.97	3.62	4.21	7.32	67.58
Camkk2	0.0	0.0	0.0	29.62	8.92	8.3	24.43	9.42
Cltb	0.0	0.0	0.0	33.12	0.2	23.83	53.79	195.31
Cops5	0.0	0.0	0.0	87.62	195.35	194.06	165.94	888.74
Dars2	0.14	0.3	1.74	0.9	0.51	0.5	18.56	106.25
E130112N10Rik	8.66	5.82	0.0	26.45	4.2	0.81	6.25	20.79
Echs1	0.0	0.0	0.0	0.34	0.0	0.88	39.3	457.8
Fam177a	0.8	0.81	0.0	5.88	1.8	1.19	33.48	14.25
Flrt3	0.0	0.0	0.0	4.5	9.52	1.71	110.69	236.31
Fnbp1l	0.0	0.0	0.0	9.65	0.78	7.06	51.68	82.55
Fut4	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.15
Gm12070	2.92	3.79	0.0	34.39	21.38	5.94	25.75	34.3
Gm17066	2.61	0.12	0.0	2.12	22.86	0.0	2.95	98.22
H1fx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61
Hcfc1r1	308.91	186.81	0.0	214.63	50.44	50.72	144.99	438.54
Hdx	0.0	0.0	0.0	47.39	0.0	1.05	0.0	53.81
Ifitm7	3.48	0.0	0.0	10.94	0.86	7.01	0.29	1.49
Impg1	0.0	0.0	0.0	0.7	0.09	0.07	0.04	0.58
Mrps6	0.0	0.0	0.0	0.0	0.0	0.0	110.18	284.72
Nlk	0.0	0.0	0.0	1.2	72.6	10.42	95.75	98.12
Pirt	0.45	0.09	0.0	3.7	2.82	4.99	0.54	2.3
Prkag3	0.0	0.33	0.0	1.93	1.04	1.8	0.21	1.17
Rbm7	0.0	0.0	0.0	2.48	1.39	0.0	13.11	112.03
Rnpc3	0.0	0.0	0.0	81.73	10.9	12.26	52.49	150.35
Sephs2	0.0	37.17	0.0	30.29	22.94	2.47	24.14	114.94
Sh3rf1	0.0	0.0	0.0	23.02	1.37	7.88	19.78	33.4
Smg6	0.0	0.0	0.0	8.5	3.8	8.8	2.58	41.77
Smyd5	0.0	0.0	0.0	1.39	0.0	2.16	3.77	203.44
Sprr2a1	0.0	0.0	0.0	0.42	0.12	0.09	0.07	0.23
Sprr2a2	0.0	0.0	0.0	0.42	0.12	0.09	0.07	0.23
Spsb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.69
St8sia3	0.27	0.0	0.0	130.22	23.76	29.73	61.05	134.19
Taf9	0.0	0.0	0.0	35.45	60.35	112.27	827.34	940.76
Tox4	1.71	6.62	1.67	10.57	62.72	3.18	31.61	117.02
Treml2	0.0	0.0	0.0	0.43	0.18	0.1	0.06	0.22
Wdr17	0.0	0.0	0.0	10.73	25.39	21.96	0.41	72.84
Xrcc6bp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.05
Zbtb8os	0.0	0.0	0.0	0.0	0.0	12.19	75.13	213.66
Zfml	0.08	0.42	0.0	51.13	6.65	5.84	44.23	58.14
Zfyve27	0.45	1.93	0.0	70.0	37.12	6.0	14.69	202.75
mt_BC008260	7941.96	9011.6	5353.93	7885.05	6772.85	17184.37	5880.33	2466.56
mt_BC020072	7941.96	9011.6	5353.93	7885.05	6772.85	17184.37	5880.33	2466.56
