	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	0.95	0.48	1.82	2.35	2.43
1110008P14Rik	27.17	21.37	37.93	155.02	0.0	39.53	0.0	102.68	89.63	6.54	0.0	108.38	135.46	42.01	0.0	1.0	105.52	24.03	7.08	87.26	29.75	19.32	176.68	51.2	44.94	33.79	30.21	40.52	0.0	144.05	49.41	83.51	0.95	151.0	23.4	48.49	462.38	0.0	5.61	74.39	0.55	8.26	0.0	0.0	47.78	87.95	0.0	0.0	63.4	89.59	0.0	425.9	324.54	189.52	345.48	339.21	219.79	237.06	257.04
2310021P13Rik	0.0	0.0	17.68	0.0	0.0	0.54	0.16	31.22	0.0	0.0	27.84	0.0	0.48	0.0	0.06	9.68	0.06	0.16	0.0	7.71	0.0	1.86	0.0	6.32	0.05	0.16	0.4	0.0	0.0	0.0	1.52	2.67	0.05	0.0	0.0	0.0	3.99	9.2	0.03	7.46	8.33	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.45	0.0	0.0	3.21	0.4	1.09	4.1	3.33	64.68	67.63	69.39
2510039O18Rik	0.0	0.0	0.0	1.65	0.0	0.0	0.0	40.23	0.18	0.0	0.0	0.54	0.0	0.0	0.0	10.65	0.0	0.0	0.0	10.8	0.0	0.0	0.0	0.0	0.21	7.8	0.0	0.0	0.0	0.0	0.0	0.1	1.28	0.0	0.0	0.0	4.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.93	1.53	1.39	1.53	24.71	26.72	25.18
2700050L05Rik	5.34	24.93	0.0	0.0	0.0	8.59	0.0	90.45	0.0	0.0	0.0	27.96	0.01	0.0	0.25	0.82	0.0	11.09	15.23	8.33	0.0	0.0	0.0	0.0	0.0	0.0	3.91	0.0	0.0	0.0	5.76	0.1	0.0	0.0	3.25	0.48	13.88	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.06	5.17	4.92	8.68	6.82	15.84	14.42	12.98
2810417H13Rik	9.14	0.0	0.0	0.0	0.0	0.0	0.0	41.85	0.03	15.78	0.0	0.0	0.11	0.1	0.0	0.48	0.0	0.3	0.0	0.0	0.46	0.0	0.1	0.0	0.0	0.0	0.07	16.55	0.43	0.0	0.0	0.12	0.12	1.62	0.0	0.73	4.03	0.0	0.21	0.0	0.14	0.0	0.11	0.0	0.28	0.2	0.2	0.0	0.0	0.15	0.0	1.27	2.25	0.38	0.29	1.26	1.04	0.72	1.0
4732471D19Rik	0.0	0.0	37.08	6.37	0.0	0.0	0.0	127.85	0.0	0.0	0.76	6.91	0.03	0.27	0.0	0.0	0.21	13.84	0.0	6.49	0.0	24.02	13.61	0.12	0.0	0.0	0.0	1.24	52.58	49.36	0.39	8.62	0.06	43.74	0.0	2.76	1.87	19.6	0.1	0.0	2.93	0.0	0.0	0.0	0.0	42.64	0.4	0.0	0.0	1.47	3.38	0.14	2.05	6.47	2.21	6.96	11.67	10.41	10.52
6230400D17Rik	0.0	0.0	33.27	0.0	0.0	0.0	0.0	24.75	0.0	0.42	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	6.39	0.0	0.46	0.0	0.0	0.0	0.4	0.0	0.0	6.24	0.0	0.0	1.72	0.0	0.0	0.0	0.0	0.0	1.02	0.0	0.0	0.0	12.65	0.0	0.28	0.17	0.0	2.23	1.71	0.3	3.6	0.99	5.56	5.33	3.35
6330503K22Rik	0.0	0.07	1.9	8.62	0.0	0.7	0.0	41.21	0.7	0.0	0.0	6.24	0.05	0.0	39.94	0.0	0.0	7.82	0.0	0.0	0.0	4.69	0.93	87.27	0.0	1.66	10.9	47.94	0.0	0.55	17.61	0.11	0.12	0.0	0.15	2.13	5.17	0.0	0.0	19.09	6.01	0.0	0.0	49.37	4.94	0.0	0.7	0.0	0.12	0.0	0.0	10.45	8.01	4.07	6.6	5.91	41.82	37.85	43.37
6720468P15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.42	0.79
Abca9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.11	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	5.13	4.42	4.87
Acss1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.49	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.13	0.0	0.99	0.0	0.38	21.61	22.22	21.72
Adam12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	2.32	2.26	2.33
Agt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89	0.0	13.94	16.33	16.11
Amdhd2	0.0	114.39	0.0	37.77	0.0	0.21	21.98	312.83	11.22	0.0	2.29	1.53	0.11	0.0	7.99	0.0	0.06	16.29	41.02	35.89	0.0	0.0	0.0	0.0	0.0	0.67	0.0	1.59	0.0	56.81	0.59	0.0	0.0	0.0	0.0	0.0	4.69	0.0	0.0	0.81	0.0	6.02	0.0	0.0	0.15	0.0	8.44	0.0	40.85	1.19	0.0	8.16	6.27	1.04	4.31	5.56	15.29	17.88	16.77
Aph1b	0.14	0.0	0.0	25.09	0.0	0.0	0.0	249.77	14.83	0.0	0.0	0.0	0.0	18.95	0.07	31.15	0.35	5.57	52.2	0.0	0.0	0.0	0.0	0.0	0.0	43.24	14.73	0.0	0.0	60.48	0.0	0.0	26.37	0.0	16.69	0.0	8.96	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.18	0.02	0.0	4.33	10.51	17.05	3.9	10.34	20.66	19.39	19.13
Arid3b	0.0	0.29	0.0	0.0	0.0	0.0	0.0	117.47	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.43	0.0	25.61	0.0	0.0	19.62	16.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86	0.0	0.0	0.0	0.0	0.0	5.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	8.26	3.68	1.62	2.55	5.37	5.25	5.54
Arih2	18.65	0.0	0.69	0.0	0.0	0.0	0.0	139.98	0.38	0.56	0.0	24.54	0.02	0.0	22.04	11.17	0.0	0.0	0.0	1.26	27.31	0.0	0.31	0.0	0.51	0.57	4.37	0.38	2.57	41.76	24.24	0.0	0.59	0.0	0.44	10.13	4.66	13.86	19.24	0.41	0.34	0.0	0.0	26.57	0.0	41.28	0.99	19.29	0.38	0.0	0.0	9.55	8.35	4.31	6.1	7.04	31.73	32.75	30.87
Arl6ip6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.91	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.04	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	20.3	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	12.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.0	13.65	0.71	9.01	4.73	4.09	9.05	9.33	8.71
Art1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.0
