	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008J03Rik	0.0	0.0	0.0	1.13	0.0	0.0	139.23	18.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.53	24.33	18.64	20.61	22.3	19.98
2310067B10Rik	0.0	0.51	0.33	0.0	0.16	0.0	113.75	2.67	0.0	0.19	0.0	0.0	0.0	0.0	0.0	4.2	4.09	6.47	39.04	41.23	42.57
6430548M08Rik	0.0	0.0	0.0	0.83	0.21	0.0	161.12	10.04	0.0	0.13	0.04	0.0	0.0	0.0	0.0	10.0	10.93	10.59	138.81	137.15	144.03
Actl6b	0.0	0.0	0.0	0.76	0.0	0.0	173.87	38.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.15	32.77	25.77	106.07	116.33	109.58
Adcyap1r1	0.0	0.0	0.0	0.19	0.13	0.0	115.88	5.51	0.08	0.04	0.04	0.14	0.0	0.0	0.0	3.68	0.11	0.11	81.72	81.48	85.61
Agap3	0.0	0.0	0.0	0.0	0.12	0.0	106.86	9.98	0.0	0.0	2.28	0.0	0.0	0.0	0.0	3.02	6.5	6.61	234.75	249.95	235.85
Alg1	0.0	0.0	0.0	0.0	0.0	0.0	145.66	13.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57	11.99	7.57	37.47	42.15	37.07
Apba2	0.0	0.0	0.0	0.17	0.12	0.0	99.14	34.39	0.0	0.14	0.15	0.0	0.0	0.0	0.0	23.28	27.68	22.51	138.45	137.5	145.47
Atxn1	0.0	0.0	0.0	0.11	0.08	0.0	44.64	13.37	0.03	0.11	0.05	0.03	0.0	0.0	0.0	80.21	39.68	46.77	21.76	20.93	22.39
Auh	0.0	0.0	0.0	0.0	1.82	0.0	197.26	24.4	0.0	0.0	0.0	11.77	0.0	0.0	79.78	34.28	40.82	40.93	74.86	78.79	72.63
Bsn	0.0	0.0	0.0	0.1	0.02	0.0	38.62	18.84	0.04	0.06	0.02	0.06	0.0	0.0	0.19	12.76	17.76	16.94	89.93	87.69	106.31
Car2	14999.61	15763.42	17351.39	25756.96	12131.73	21340.56	0.0	1.76	14589.95	17622.48	28458.04	16669.5	17744.44	18563.42	26731.44	7.59	5.44	191.52	179.9	188.36	189.39
Cnksr2	0.0	0.0	0.0	0.11	0.0	0.0	46.76	23.98	0.0	0.04	0.09	0.0	0.0	0.0	0.0	30.43	22.99	19.76	114.68	103.4	116.88
Cpsf2	0.0	0.0	0.0	0.0	0.07	0.0	63.57	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.55	12.69	15.84	28.27	27.34	28.46
E530011L22Rik	0.0	0.0	0.0	0.0	0.21	0.0	38.39	0.43	0.0	0.0	0.41	0.57	0.0	0.0	2.96	5.6	5.58	6.21	5.6	6.32	7.42
Efnb2	0.0	0.0	0.0	0.27	0.09	0.0	56.12	26.14	0.0	0.05	0.06	0.0	0.0	0.0	0.0	8.57	3.64	7.74	36.52	40.54	35.25
Eid1	133.76	0.0	0.22	37.69	0.32	0.0	175.32	66.29	0.09	119.03	25.41	0.0	0.0	0.0	0.0	29.61	27.59	24.07	219.68	227.68	212.38
Eri1	0.0	0.0	0.0	0.0	0.0	0.0	66.21	0.05	0.05	0.05	0.0	0.0	0.0	0.0	0.0	2.8	1.55	2.85	7.8	7.4	7.51
Gm14430	0.0	0.0	0.0	0.0	0.0	0.04	0.17	6.69	0.0	0.21	0.03	0.03	0.0	0.0	0.0	4.14	5.97	4.22	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.04	0.17	6.69	0.0	0.21	0.03	0.03	0.0	0.0	0.0	4.14	5.97	4.22	7.67	5.07	7.49
Gm4724	0.0	0.0	0.0	0.0	0.0	0.04	0.17	6.69	0.0	0.21	0.03	0.03	0.0	0.0	0.0	4.14	5.97	4.22	7.67	5.07	7.49
Itgbl1	0.0	0.0	0.0	0.0	0.0	0.0	11.2	1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	1.76	2.51	4.8	4.07	4.42
Lingo1	0.0	0.19	0.0	0.0	0.24	0.0	56.76	24.63	0.07	0.07	0.0	0.09	0.0	0.0	0.0	11.82	10.64	12.29	232.82	237.98	251.08
Lrp1	0.0	0.0	0.0	0.08	0.05	0.0	49.0	7.03	0.11	0.11	0.0	0.0	0.0	0.0	0.0	3.58	4.46	3.5	105.31	103.13	117.97
Mical2	0.0	0.0	0.0	0.47	0.37	0.0	234.44	46.86	0.0	0.13	0.0	0.04	0.0	0.0	0.0	34.34	39.73	44.97	226.64	202.81	243.34
Nedd4l	0.0	0.0	0.0	0.07	0.0	0.0	66.71	25.87	0.03	0.09	0.03	0.0	0.0	0.0	0.0	21.45	25.82	19.42	51.05	50.82	53.0
Pcdh10	0.0	0.0	0.0	0.25	2.97	0.0	75.82	41.74	0.06	120.24	0.0	0.0	0.18	0.0	0.0	19.57	18.63	17.66	96.09	89.16	95.98
Rab14	0.0	0.0	0.0	178.93	0.0	0.0	499.89	133.99	20.77	10.29	0.08	302.33	0.0	10.8	0.0	150.2	101.5	117.72	224.9	218.61	212.37
Ramp1	0.0	0.0	0.0	2.86	0.16	0.0	114.96	49.13	0.0	0.29	0.22	0.0	0.0	0.0	0.0	17.41	28.55	26.95	46.29	49.4	47.35
Rap1gds1	334.71	0.0	7.1	11.93	0.23	0.11	383.77	82.22	0.34	250.23	37.4	0.08	8.83	18.75	6.13	163.34	241.35	252.04	284.57	290.45	264.54
Rasgef1c	0.0	0.0	0.0	0.0	0.0	0.0	60.19	15.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	4.01	1.24	35.74	36.19	39.24
Rictor	8.14	0.0	0.0	3.26	1.57	0.0	60.82	6.28	7.9	57.58	0.34	9.37	0.0	0.0	11.45	14.86	9.79	9.7	22.87	19.75	22.46
Rnf169	0.0	0.0	0.0	0.08	0.06	0.0	29.08	13.82	0.1	0.1	2.53	50.62	0.0	0.0	0.0	6.58	11.63	10.01	18.41	22.99	21.86
Scamp4	0.0	0.0	0.0	1.3	264.33	0.0	544.91	74.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.26	196.4	193.12	47.69	52.94	50.49
Slc17a7	0.0	0.0	0.0	0.0	0.27	0.0	163.76	18.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.06	39.4	44.22	1060.92	1095.63	1130.72
Slc35c1	0.0	0.0	0.0	1.97	0.0	0.0	237.12	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	5.07	6.69	12.26	13.46	13.59
Stac2	0.0	0.0	0.0	0.0	0.0	0.0	231.44	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.84	23.2	15.91	75.0	77.02	85.87
Styx	0.0	0.0	0.0	0.0	0.0	0.0	136.13	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	5.8	6.72	11.0	10.28	10.57
Trp53inp2	0.0	0.0	0.0	0.0	0.1	0.0	135.72	3.6	0.0	0.06	0.06	0.0	0.0	0.0	0.0	8.06	21.29	13.42	141.93	139.5	142.37
Ucma	0.0	0.0	0.0	0.0	0.0	0.0	207.42	17.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.86	3.1	0.0	1.12	1.76	2.02
Vezt	0.0	0.0	0.0	0.39	0.09	0.0	144.11	30.47	0.16	0.74	1.47	0.0	0.0	0.0	0.0	19.42	21.33	21.53	30.2	29.5	31.65
Xiap	0.0	0.0	0.0	0.09	0.06	0.0	68.66	16.24	0.0	35.3	4.93	0.04	0.0	0.0	0.0	11.42	11.57	8.95	45.99	41.82	43.87
Zbtb24	0.0	0.0	0.0	0.0	0.0	0.0	165.79	12.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	5.47	5.48	10.94	9.94	11.04
Zfp238	0.0	0.0	67.63	0.45	0.1	0.0	289.47	86.52	0.0	0.0	0.0	4.36	9.54	0.0	0.0	27.81	34.05	33.72	221.06	223.84	211.8
Zfp385b	0.0	0.0	0.0	0.22	0.0	0.0	243.52	19.48	0.0	0.09	0.0	0.0	0.0	0.0	0.0	72.01	56.12	58.79	31.54	34.48	30.93
Zfp820	0.0	0.0	0.0	0.0	0.0	0.28	1.94	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.25	1.31	0.74	0.42	0.77
