	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_60	Cux2_tdTpositive_cell_62	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_118	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_44	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_48	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_35	Slc17a6_tdTpositive_cell_44	Vip_tdTpositive_cell_49	Rbp4_CTX_10pg_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700086L19Rik	105.03	337.14	323.77	181.74	163.59	77.82	194.04	879.08	0.0	53.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23	0.0	0.0	0.0	0.4	0.0	164.05	0.91	0.0	0.55	0.37	471.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	696.41	130.01	0.63	74.02	53.32	50.22	56.02
2210403K04Rik	16.4	160.96	336.38	252.73	139.22	125.97	220.68	102.9	0.0	43.41	88.88	2.83	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	161.87	0.0	108.58	0.14	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.1	0.09	0.0	8.98	39.34	39.29	36.47
Arhgap32	18.28	30.28	50.0	47.46	46.5	103.78	63.23	58.96	0.0	3.99	0.59	0.38	0.0	0.0	0.0	0.0	0.0	0.05	0.17	0.06	0.04	0.0	39.58	0.04	15.56	0.02	0.0	0.13	0.06	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.19	15.94	0.0	7.42	137.07	128.38	137.14
B230216N24Rik	315.61	167.28	256.7	346.74	286.26	299.49	667.09	409.32	0.0	521.79	0.0	0.0	216.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.76	0.0	124.13	0.0	211.09	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.49	0.0	290.24	228.41	0.0	152.19	13.24	10.45	11.54
Basp1	80.53	93.71	60.8	50.32	54.62	72.68	120.61	86.07	0.0	37.33	7.8	29.93	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	102.6	0.0	65.79	0.13	0.0	0.23	0.0	59.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.87	62.07	42.39	85.03	481.54	530.49	509.16
Bdnf	296.87	214.28	452.2	597.43	353.16	181.53	110.98	155.34	0.0	152.88	0.25	0.05	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.1	0.0	425.56	0.0	69.1	0.18	0.0	0.6	0.07	178.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	153.25	0.12	43.56	17.6	15.24	14.28
C1ql3	3.15	0.05	78.97	10.54	43.45	0.0	0.08	56.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.18	0.0	0.0	0.0	284.55	0.0	51.24	0.0	0.0	7.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.15	4.76	117.91	110.24	121.65
Cap2	96.83	262.17	249.34	248.05	254.74	164.94	227.35	566.9	0.0	187.35	128.66	9.46	0.0	0.0	0.0	0.0	0.0	0.54	1.26	0.0	0.11	0.22	61.05	0.07	67.16	0.19	0.0	72.73	0.0	182.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.31	264.65	0.24	289.32	177.73	166.37	172.65
Ccl27b	16.65	16.92	9.63	48.6	0.86	1.5	6.93	14.87	0.0	18.38	17.08	20.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	4.02	0.0	40.26	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.22	0.18	4.38	30.63	28.29	22.96
Cdkn1a	48.8	111.49	70.05	202.36	137.72	87.08	99.69	150.68	0.0	6.95	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.18	0.0	20.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.91	0.0	24.31	21.96	18.99	20.75
Cx3cl1	248.91	322.5	133.82	174.03	216.57	324.43	369.69	127.96	0.05	138.64	14.1	2.26	0.0	0.0	0.0	0.0	0.0	0.16	2.4	0.19	1.02	0.0	194.53	0.0	86.69	0.23	0.0	0.41	0.09	114.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.39	171.39	0.0	337.7	619.59	598.38	626.22
Dbpht2	368.6	1032.34	708.92	572.58	434.76	373.68	352.38	646.59	0.05	391.25	0.28	214.86	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.13	0.0	135.95	0.26	445.95	0.81	1.57	1.46	0.29	340.54	0.19	0.17	0.0	0.0	0.0	0.0	0.0	0.0	1153.06	387.55	0.33	213.08	31.76	26.32	28.93
Etv5	319.45	163.1	65.16	103.78	42.25	70.61	272.22	22.17	0.04	55.08	42.9	26.02	0.0	0.0	0.0	0.0	0.0	0.13	0.76	0.0	0.31	0.0	18.15	0.0	84.73	0.56	0.0	0.45	0.07	55.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6	25.28	0.0	23.8	79.74	73.83	71.38
Fth1	3023.15	3711.05	3448.87	3088.17	3012.05	2791.0	3776.27	3323.3	23098.09	3052.19	2327.26	5055.95	16269.13	14661.31	19099.08	55519.2	11910.19	18925.07	28529.41	15155.79	18079.88	16296.77	2768.82	11007.29	3823.74	16270.39	11666.87	7716.8	28898.2	3748.56	15068.08	16725.01	30489.72	33711.22	23695.85	25694.29	22629.73	5945.08	4384.97	4329.94	176.17	9549.57	3202.01	3329.67	3278.59
Gm13306	16.65	16.92	9.63	48.6	0.86	1.5	6.93	14.87	0.0	18.38	17.08	20.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	4.02	0.0	40.26	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.22	0.18	4.38	30.63	28.29	22.96
Gm2506	16.65	16.92	9.63	48.6	0.86	1.5	6.93	14.87	0.0	18.38	17.08	20.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	4.02	0.0	40.26	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.22	0.18	4.38	30.63	28.29	22.96
Gpr133	44.9	2.39	0.0	6.85	30.85	12.07	0.06	6.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	15.15	0.0	5.21	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	0.0	2.79	2.36	2.9
Gpr22	264.94	106.81	82.64	471.64	122.06	53.14	231.82	132.59	0.0	22.83	15.53	3.3	0.0	0.0	0.0	0.0	0.12	0.0	0.88	0.0	0.17	0.0	215.96	0.0	91.57	0.21	0.0	0.28	0.0	101.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.85	115.61	70.01	41.14	27.51	23.06	27.74
Gspt2	0.0	63.8	0.0	0.0	34.01	2.43	0.38	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	29.34	30.76	27.86
Gucy1a3	69.44	136.76	80.63	110.3	15.92	131.14	123.96	98.54	0.0	89.12	0.0	47.61	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.17	0.0	96.17	0.0	35.35	0.0	0.16	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251.22	64.54	0.1	44.41	67.15	65.02	68.15
Inhba	498.69	77.43	0.0	554.29	0.0	0.0	261.53	0.0	0.0	80.76	0.0	8.28	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	8.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	5.81	2.46	7.07
Kctd4	13.83	3.08	108.54	91.29	15.46	44.35	128.42	119.82	1.31	50.84	0.0	0.0	11.28	0.0	0.0	2.07	4.61	39.51	1.35	0.0	0.0	0.09	46.79	194.35	87.59	0.0	0.08	53.09	0.0	12.42	0.0	0.0	0.0	0.32	0.0	31.16	2.24	0.0	159.31	70.36	0.0	8.69	21.12	16.29	20.48
Lrrtm4	349.2	353.56	589.1	296.55	480.27	667.27	654.8	714.54	0.04	258.78	25.88	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.51	0.0	0.24	0.0	366.04	0.0	706.14	0.43	0.07	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	700.98	147.19	94.79	31.03	24.51	22.19	21.57
