	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Htr3a_tdTpositive_cell_13	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_49	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_VISp_Contra_tdTpos_cell_1
1700029I01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.18	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.13	0.26	0.24	0.0	0.01	0.0	0.0	1.28	0.13	2.18	0.71	0.39	0.41	2.42	6.79	0.57	1.87	1.69	5.51	1.13	0.81	0.2	0.0	0.0	0.0	0.36	0.0	0.06	0.1	0.0	13.18	0.0	0.0	0.0
2310045N01Rik	73.2	0.0	39.85	0.0	0.0	0.0	39.12	0.0	66.67	0.0	0.0	0.0	0.0	33.82	0.0	194.95	0.0	157.88	0.0	0.0	110.95	48.05	87.12	0.0	87.63	87.09	51.63	0.0	59.18	65.51	36.25	42.98	40.04	62.94	58.59	80.42	64.37	54.0	55.76	52.34	97.5	59.55	151.96	78.06	0.0	81.26	105.49	0.0	0.0	218.73	0.0	65.57	105.48	0.0	0.0
2700062C07Rik	0.0	0.0	0.0	0.0	0.0	9.12	6.43	0.0	29.34	0.0	1.54	0.0	0.0	0.0	6.74	178.87	0.0	3.18	0.0	0.33	11.47	23.65	10.82	0.0	0.35	4.6	94.34	120.37	10.15	8.57	67.67	68.65	68.81	85.95	114.32	74.72	100.65	37.72	102.94	54.0	69.84	49.89	34.36	2.11	24.58	35.82	93.51	98.7	0.0	213.35	0.0	0.92	34.54	0.0	0.0
Ankrd27	0.0	0.0	41.14	0.0	0.0	4.4	0.0	0.0	116.68	0.1	58.34	0.0	0.0	109.28	0.0	0.0	1.12	0.0	5.9	13.08	22.63	10.95	4.16	0.0	0.0	0.23	140.28	21.07	121.13	8.59	17.07	20.42	40.52	35.2	20.45	31.01	29.12	29.74	23.93	18.85	18.53	20.73	14.77	6.14	99.84	6.8	100.56	0.0	0.0	22.77	0.0	7.45	0.0	0.0	51.29
Arfgap1	6.8	0.0	102.68	0.0	3.77	6.57	30.83	0.0	83.87	9.83	84.01	11.65	0.0	0.0	0.11	0.0	60.05	1.03	29.43	3.38	1.49	29.24	7.11	15.42	0.0	0.21	59.57	39.59	45.64	29.6	28.1	19.86	12.4	20.6	40.63	32.45	22.61	20.87	24.23	25.0	27.34	27.86	1.89	10.24	0.0	10.05	34.17	10.86	8.52	0.0	0.0	0.38	9.54	0.1	5.35
Arhgap4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97	0.0	0.0	0.0	0.46	0.0	0.55	0.45	1.87	0.09	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calm2	20249.89	13213.71	18003.48	14663.17	11451.13	20740.74	19081.81	13944.2	15844.12	19635.16	19628.74	15577.56	24749.41	21064.56	19971.06	20654.99	16501.66	19749.13	13023.46	13956.46	18742.78	18187.15	19736.86	14137.5	14233.37	18784.2	15940.81	20660.56	19581.9	15475.49	15887.21	14138.62	17363.25	14908.0	16198.04	15858.62	15411.91	15343.8	18644.66	18004.95	16099.57	15686.41	15882.13	18281.5	22860.58	23322.9	18313.66	25106.81	19256.69	21777.08	23557.63	18864.48	19735.95	19191.1	15134.85
Casc3	41.14	64.13	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	29.94	0.0	0.0	0.29	0.0	0.0	0.0	0.0	30.5	1.72	3.03	0.2	0.34	0.0	35.95	0.0	0.0	10.74	19.9	3.04	6.58	4.35	9.33	9.56	6.33	9.8	7.08	17.38	10.7	7.5	9.87	34.47	0.0	41.47	0.0	33.9	0.0	0.0	0.06	0.0	61.63	0.73	4.13	0.0
Ccdc48	5.65	0.47	1.29	1.02	1.42	0.73	44.85	3.54	2.72	0.84	1.49	14.85	2.08	3.41	0.84	28.06	2.07	2.13	2.56	3.0	3.33	4.71	6.25	1.72	4.61	1.67	3.62	6.98	0.61	2.91	3.28	13.37	7.04	8.06	4.47	2.24	8.1	11.48	4.45	2.69	4.16	10.28	0.82	2.19	0.15	2.23	13.59	0.51	12.37	3.67	11.22	2.66	4.54	7.55	2.31
Cenpo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.35	0.0	0.0	0.0	7.13	1.09	0.0	0.0	0.0	3.66	0.0	0.11	0.0	0.64	0.12	0.0	22.28	0.0	0.0	0.0	2.48	3.52	0.1	0.44	4.8	1.53	0.71	2.91	3.9	0.0	0.47	4.24	0.52	3.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	7.55	0.0
