	Pvalb_tdTpositive_cell_27	Pvalb_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.22
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.0	0.19	0.19
1700034F02Rik	0.0	0.0	0.0	0.14	0.14
1700061J05Rik	0.0	0.0	0.0	0.11	0.11
1700066B19Rik	0.0	0.0	0.0	0.13	0.13
4833403I15Rik	0.0	0.0	0.0	0.03	0.03
4930403N07Rik	0.0	0.0	0.0	0.04	0.04
4930412C18Rik	0.0	0.0	0.0	0.89	0.89
4930419G24Rik	0.0	0.0	0.0	0.19	0.2
4930455B14Rik	0.0	0.0	0.0	0.09	0.09
4930528F23Rik	0.0	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.07
4930562C15Rik	0.0	0.0	0.0	0.08	0.08
4931423N10Rik	0.0	0.0	0.0	0.22	0.22
5830403M04Rik	0.0	0.0	0.0	0.16	0.16
5830432E09Rik	0.0	0.0	0.0	0.28	0.28
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
9330111N05Rik	0.0	0.0	0.0	0.07	0.07
A4gnt	0.0	0.0	0.0	0.07	0.07
A930041C12Rik	0.0	0.0	0.0	0.19	0.2
Abca13	0.0	0.0	0.0	0.03	0.03
Abhd12	32.95	48.87	11.42	309.4	332.54
Abhd16b	0.0	0.0	0.0	0.06	0.06
Adam19	0.0	0.0	0.25	10.59	11.15
Adamdec1	0.0	0.0	0.0	0.04	0.04
Akr1c12	0.0	0.0	0.0	0.08	0.08
Ano7	0.0	0.0	0.0	0.09	0.09
Apob	0.0	0.0	0.0	0.01	0.01
Arl2bp	0.0	0.0	5.63	172.31	188.08
Awat2	0.0	0.0	0.0	0.13	0.13
BC051537	0.0	0.0	0.0	0.24	0.24
Barhl1	0.0	0.0	0.0	0.03	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.0	0.04	0.04
Bnc2	0.0	0.0	0.0	0.27	0.27
Bpifb9a	0.0	0.0	0.0	0.1	0.05
Bsnd	0.0	0.0	0.0	0.04	0.04
Calhm1	0.0	0.0	0.0	0.1	0.1
Capn13	0.0	0.0	0.0	0.04	0.04
Capn9	0.0	0.0	0.0	0.08	0.04
Ccdc154	0.0	0.0	0.0	0.04	0.04
Ccdc63	0.0	0.0	0.0	0.09	0.09
Ccdc84	0.0	0.0	0.0	10.79	9.18
Ccl2	0.0	0.0	0.0	0.13	0.13
Ccl27b	1.27	1.07	2.62	30.63	22.96
Ccr3	0.0	0.0	0.0	0.03	0.03
Cd27	0.0	0.0	0.0	0.48	0.48
Ceacam15	0.0	0.0	0.0	0.07	0.07
Ces1a	0.0	0.0	0.0	0.05	0.05
Clec12b	0.0	0.0	0.0	0.07	0.07
Cmtm4	0.95	0.0	0.73	59.02	57.0
Cpa3	0.0	0.0	0.0	0.07	0.07
Cyp3a57	0.0	0.0	0.0	0.06	0.06
D6Mm5e	0.0	0.0	0.0	0.1	0.1
Dhx58	0.0	0.0	0.0	1.52	1.52
Dlx3	0.0	0.0	0.0	0.08	0.04
Dnajc5b	0.0	0.0	0.0	0.11	0.11
Dnalc1	1.56	0.84	1.26	67.35	65.11
Dnmt3l	0.0	0.0	0.0	0.12	0.12
Dppa1	0.0	0.0	0.0	0.09	0.09
Dspp	0.0	0.0	0.0	0.11	0.11
Dydc2	0.0	0.0	0.0	0.7	0.54
Dyrk4	0.0	0.0	0.0	0.1	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.1
F630028O10Rik	0.0	0.0	0.0	0.07	0.07
F8a	0.0	0.0	2.79	15.63	15.89
Fam170b	0.0	0.0	0.0	0.12	0.12
Fam187a	0.0	0.0	0.0	0.13	0.13
Fam78a	0.0	0.0	0.0	4.9	3.24
Fam83b	0.0	0.0	0.0	0.06	0.06
Fam89a	0.0	0.0	0.0	2.44	2.44
Fam98c	0.0	0.0	0.0	39.96	38.61
Fgfr4	0.0	0.0	0.0	0.03	0.03
Fmo4	0.0	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Fut1	0.0	0.0	0.0	0.08	0.08
Fxr2	0.0	2.12	4.94	98.68	95.24
Gcet2	0.0	0.0	0.0	0.07	0.07
Gm12633	0.0	0.0	0.0	0.06	0.06
Gm13306	1.27	1.07	2.62	30.63	22.96
Gm1647	0.0	0.0	0.0	0.14	0.14
Gm20554	0.0	0.0	0.0	0.08	0.08
Gm2506	1.27	1.07	2.62	30.63	22.96
Gm4598	0.0	0.0	0.0	0.19	0.19
Gm4745	0.0	0.0	0.0	0.08	0.08
Gm9961	0.0	0.0	0.0	0.19	0.2
Gpr44	0.0	0.0	0.0	0.08	0.08
Gpr82	0.0	0.0	0.0	0.08	0.04
Gzma	0.0	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.0	0.04	0.04
Hist1h3f	0.0	0.0	0.0	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.07	0.07
Il12rb2	0.0	1.66	0.0	2.27	3.31
