	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_25	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_66	Rbp4_tdTpositive_cell_51
4732418C07Rik	0.0	0.04	25.66	3.4	2.53	6.51	54.73	22.49	0.0	0.0	16.07	0.0	0.06	81.25	18.15	44.29	119.74	28.67	87.82	77.01	92.21	60.39
5430427M07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.31	0.0	0.56	0.49	0.38	0.93	0.0	0.0	0.94	0.75	1.19	0.38
9830166K06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.15	0.12	0.09	0.14	0.14
Acer3	0.0	0.0	0.1	25.04	35.16	0.0	14.5	46.55	0.85	47.7	64.13	0.0	30.73	32.99	48.49	0.0	15.58	0.0	25.64	21.17	86.22	1.33
Bambi-ps1	18.96	0.0	17.96	25.24	0.0	9.55	25.56	18.9	36.88	23.19	16.95	9.92	10.79	16.13	25.91	36.25	23.73	14.93	81.51	7.09	26.32	19.42
Birc6	0.67	0.0	1.83	30.37	9.61	15.38	25.03	36.81	18.79	19.27	19.99	19.95	16.31	27.01	19.34	25.78	21.51	24.69	56.5	34.35	51.7	32.59
Bms1	0.0	0.0	0.0	15.41	0.0	25.44	18.65	8.71	44.96	0.0	0.0	13.68	6.69	12.48	1.21	0.0	1.12	0.52	45.29	26.73	46.21	25.53
Cdv3	13.68	0.0	0.0	8.2	72.18	46.76	41.5	37.03	0.0	0.0	32.06	0.21	27.27	5.03	56.1	44.58	29.79	33.9	49.87	40.22	118.5	5.49
Chrna7	0.0	0.0	0.0	5.4	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.35	0.0	25.29	0.0
Cltc	54.27	47.4	0.65	115.43	162.87	156.1	162.37	311.99	112.49	218.9	222.51	142.12	227.58	134.24	120.97	128.6	85.45	122.0	344.18	291.43	329.87	142.45
Cpsf6	0.04	0.0	0.0	38.87	31.48	7.37	34.15	48.58	0.0	26.71	25.98	13.07	25.89	36.43	22.59	25.74	64.04	37.35	71.46	54.94	109.63	89.75
Dcun1d1	1.1	0.0	0.0	74.06	55.44	28.81	94.36	67.93	4.42	76.1	124.6	0.77	54.22	46.56	23.02	117.92	28.1	76.81	135.76	77.63	117.6	104.35
Ddhd1	0.0	0.07	54.68	0.0	0.0	0.19	3.59	9.24	0.0	0.0	0.3	0.0	0.0	0.0	17.84	0.0	42.85	8.3	36.39	17.88	49.35	19.3
Fam134a	0.1	0.0	0.0	24.71	13.75	2.81	28.78	45.32	0.0	75.63	7.33	102.95	11.97	53.94	9.54	46.05	62.74	0.34	72.63	91.45	213.75	1.1
Gm10190	0.4	0.0	2.08	2.46	0.0	0.25	0.47	1.11	0.56	1.49	1.24	1.42	0.68	0.97	1.48	0.98	0.64	0.43	1.66	2.09	2.95	1.82
Gm6313	3.88	0.0	0.94	11.24	1.63	3.16	7.73	5.17	10.51	11.01	8.0	6.44	4.55	4.25	10.56	10.61	8.49	8.22	10.97	12.7	23.03	8.09
Inpp4a	46.59	0.0	124.42	309.01	148.42	71.38	308.46	298.16	232.21	256.46	300.02	159.51	167.82	281.27	275.53	371.54	223.97	288.4	392.43	298.27	450.3	313.73
Kcnma1	17.94	0.0	0.0	66.86	17.09	26.89	35.95	58.24	0.29	104.51	28.73	4.73	24.55	34.15	56.33	108.52	37.68	19.61	77.56	9.87	114.59	57.88
Kif5b	0.15	0.0	0.54	18.72	13.43	23.83	53.68	40.41	3.25	38.38	21.1	0.38	31.6	22.15	18.44	28.96	34.26	26.28	63.2	44.89	88.94	65.48
Kpna3	0.06	0.0	0.0	44.08	12.99	42.58	68.12	41.3	0.0	0.18	34.65	34.05	34.49	52.55	111.26	18.78	51.01	27.23	71.13	73.07	61.64	46.07
Ldhb	8970.97	2593.67	4338.23	8750.45	10118.08	10894.4	9220.91	10165.1	8469.38	11261.44	10004.69	8757.21	13571.31	12546.17	9106.97	9755.78	11010.48	10182.84	7205.83	9082.37	6343.21	11746.38
Lin7b	172.78	0.0	0.0	162.57	24.06	22.02	32.93	115.77	0.0	0.0	62.41	0.0	122.18	78.92	154.23	7.77	21.63	59.16	210.74	138.95	283.91	35.76
Lrrfip1	0.0	0.0	0.0	42.34	9.64	16.9	56.54	26.6	0.23	11.34	74.34	20.19	7.73	41.28	65.86	28.78	51.8	30.87	84.78	64.78	70.99	63.38
Lynx1	0.0	0.0	0.0	70.47	35.04	62.83	44.28	78.67	0.53	7.87	52.23	72.26	63.06	75.27	91.7	12.11	26.03	111.63	42.33	71.33	142.49	70.91
Map4k3	91.7	0.0	0.09	12.99	0.0	0.0	1.11	55.29	0.0	39.09	29.08	19.8	5.86	11.41	19.59	0.41	2.53	0.0	20.05	40.56	89.39	0.05
Mier3	0.05	0.0	0.0	89.12	24.47	6.1	101.34	35.32	0.0	28.39	90.12	76.02	23.13	42.6	16.09	67.22	89.84	51.61	207.48	38.31	102.21	23.17
Mtif3	0.06	0.0	0.0	30.16	0.04	8.18	15.86	0.0	0.0	0.18	25.32	30.73	0.08	17.58	1.75	0.0	13.88	19.71	2.39	12.86	39.45	0.04
Patz1	0.13	0.0	0.0	0.0	0.0	0.0	5.07	0.0	0.0	0.0	0.49	0.0	0.42	8.94	1.1	0.0	57.64	41.78	76.54	5.74	97.73	0.0
Pirt	0.0	0.0	0.1	0.89	0.0	0.71	2.68	0.44	0.7	0.39	1.07	0.2	0.0	0.65	1.13	0.75	1.01	0.76	1.48	0.94	1.28	0.74
Prpf38b	59.02	0.0	0.0	2.33	12.85	29.07	11.55	17.91	15.68	6.03	7.34	4.54	12.1	12.22	32.24	6.66	2.33	36.34	47.32	18.69	99.68	22.95
Rchy1	4.38	0.0	1.82	53.96	66.31	85.81	114.34	77.72	5.36	92.61	51.81	2.78	28.98	2.04	66.91	33.06	82.34	107.8	65.96	8.65	188.58	56.13
Rnf138	0.0	0.0	0.0	18.66	5.54	0.0	0.26	32.81	0.0	38.9	41.93	23.72	14.87	12.51	0.0	47.14	2.94	36.95	65.97	0.56	100.97	0.0
Rsph3b	0.0	0.0	0.0	13.34	3.42	1.2	9.94	9.03	0.0	11.25	0.0	0.0	14.67	0.0	15.33	6.3	3.56	1.92	34.79	7.6	24.17	1.83
Srpr	0.0	0.0	0.0	86.82	16.1	18.05	69.1	64.3	4.31	0.51	25.17	32.69	2.74	19.6	19.12	17.34	88.11	31.06	80.71	54.54	111.55	16.81
Syp	56.58	0.0	88.31	156.49	303.73	220.71	181.53	190.06	216.02	293.04	259.93	249.94	316.8	332.64	240.91	240.72	269.32	321.97	326.26	478.07	491.07	257.49
Trappc8	0.0	0.0	0.0	12.86	0.0	5.66	18.73	13.15	0.0	0.0	13.96	2.44	16.57	0.91	34.23	0.42	11.7	10.36	4.73	11.76	72.64	0.29
Trim23	0.0	0.0	0.0	40.67	0.0	12.03	11.23	6.96	0.0	25.89	0.0	54.57	0.0	13.23	55.6	38.67	0.0	43.06	97.75	33.1	87.81	34.89
Trim37	15.67	0.0	0.0	67.09	15.57	41.8	49.67	42.43	15.72	108.95	79.87	23.23	82.85	39.89	23.35	26.62	151.5	13.09	93.14	132.55	167.57	94.64
Txndc15	0.0	0.0	83.94	29.4	9.28	0.0	31.04	1.73	0.0	0.0	0.0	0.0	0.0	47.86	0.0	74.5	0.0	99.86	140.36	0.0	226.05	50.72
Ubqln4	40.19	0.0	0.0	34.78	17.57	10.02	42.7	7.86	6.24	22.9	30.64	0.0	42.49	26.17	16.15	0.0	43.07	43.77	38.16	21.62	47.94	4.42
Zfp191	0.0	0.0	0.0	4.02	60.48	16.46	78.59	6.42	0.22	18.18	18.0	23.54	53.94	53.14	63.12	4.03	26.83	67.12	72.55	79.3	183.63	42.91
Zfp445	5.09	0.0	0.0	47.9	14.98	45.02	29.88	23.53	0.0	0.0	28.96	19.28	9.82	19.76	20.51	101.39	34.79	79.27	27.04	8.06	66.6	30.58
