	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_9	PvalbF.Gad2_tdTpositive_cell_39	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600014C10Rik	0.0	0.0	0.0	21.99	22.96	19.59
2610034B18Rik	0.0	0.0	0.0	17.14	15.12	17.88
Ankrd34a	0.0	0.0	0.0	57.01	57.85	56.25
Arnt2	1.0	0.08	23.44	188.64	150.74	163.97
Asphd1	0.0	0.0	0.0	43.71	48.61	44.08
Atp13a2	0.0	0.0	0.91	91.7	99.84	96.26
Atp2c1	4.27	0.0	12.39	105.3	100.31	105.18
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B230206H07Rik	0.29	0.0	0.33	2.4	3.11	4.05
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cmtm8	0.0	0.0	0.0	1.61	2.98	2.35
D230037D09Rik	0.0	0.0	0.0	17.33	16.95	15.74
Dennd4a	0.0	0.0	18.3	30.52	27.12	28.77
Ecm2	0.27	0.0	0.63	4.56	4.02	5.06
Eif4b	0.0	0.0	69.73	124.34	132.27	126.09
Fam53a	0.0	0.0	0.0	19.06	20.61	20.59
Fbxo9	0.0	0.0	1.39	115.71	125.15	111.58
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm10336	0.0	0.0	0.0	9.88	8.13	9.04
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.38	0.28	0.38
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Kcng4	0.0	0.0	0.0	4.39	4.5	4.8
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klhl3	0.0	0.0	0.0	21.96	21.89	23.29
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Mllt3	0.1	0.0	0.52	13.89	12.56	13.12
Mras	0.0	0.0	0.0	136.61	125.31	139.08
Ncdn	0.0	0.0	3.4	907.72	1022.47	941.79
Neil1	0.0	0.0	0.0	10.82	14.47	11.97
Nit1	0.0	0.0	0.0	49.99	44.93	43.56
Pcdh7	0.0	0.0	10.16	50.86	49.1	53.42
Per2	0.0	0.0	0.0	20.12	18.62	13.79
Phb2	0.0	0.0	10.26	98.22	102.23	98.96
Pim3	0.0	0.0	0.0	42.42	49.19	35.35
Pink1	0.0	0.0	10.72	335.12	372.71	355.19
Pkmyt1	0.23	0.0	0.0	5.41	6.51	5.69
Plekhm2	0.0	0.0	0.0	61.8	64.21	63.93
Ppp1r3a	0.0	0.0	0.0	0.02	0.03	0.01
Ppp2r4	0.0	0.0	41.83	128.91	141.46	135.61
Rdh12	0.0	0.0	0.0	2.26	2.41	1.9
Sap130	0.0	0.0	4.38	24.37	27.06	26.32
Sbk1	0.0	0.0	3.31	50.91	56.15	49.9
Scaf4	0.0	0.0	0.12	24.71	24.1	25.73
Scd2	0.0	0.0	69.9	716.19	715.89	753.91
Skp2	0.0	0.0	2.2	5.22	5.01	4.35
Slc25a47	0.0	0.0	0.0	2.52	2.5	3.19
Ssx2ip	0.0	0.0	71.7	72.81	76.62	71.07
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tdp2	0.0	0.0	0.26	18.11	20.37	18.23
Thoc3	0.0	0.0	0.0	27.23	27.25	25.86
Tnfrsf1b	0.57	0.09	0.0	2.41	2.38	2.69
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Whamm	0.0	0.0	0.66	13.61	13.81	14.76
Xk	0.0	0.13	8.81	12.74	11.89	12.9
Zdhhc16	0.0	0.0	25.85	29.45	29.99	29.15
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	3744.02	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
