	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_9	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700019N12Rik	0.0	0.0	0.0	11.64	12.48	11.04
2310047M10Rik	0.0	0.0	0.0	26.42	30.44	27.64
2810025M15Rik	0.0	0.0	0.0	20.93	21.09	18.01
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4932438A13Rik	0.0	2.91	1.34	31.01	24.84	32.35
4933400C05Rik	0.0	0.0	0.0	2.08	2.39	1.59
4933411E08Rik	0.0	0.0	0.0	1.6	1.48	1.87
6430706D22Rik	0.0	0.0	0.0	34.55	34.43	34.12
6720401G13Rik	0.0	0.0	0.0	44.62	43.57	47.95
AF366264	0.0	0.0	0.0	0.12	0.04	0.08
Abca3	0.0	0.0	0.0	50.64	49.23	52.54
Acer3	0.0	0.0	0.0	8.02	5.96	7.71
Arap3	0.0	0.09	0.0	6.02	5.02	5.59
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atxn7	0.0	0.0	0.0	15.84	14.28	14.81
Bcorl1	0.0	0.0	0.0	11.02	11.09	10.84
Bhlhe22	0.0	0.0	0.0	38.02	41.56	39.71
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bub1	0.0	0.0	0.0	0.05	0.15	0.21
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc114	26.53	0.0	0.0	2.34	2.03	2.58
Ccdc147	0.0	0.0	0.0	0.18	0.19	0.46
Ccdc94	0.0	0.0	0.0	9.31	10.05	10.17
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cd320	0.0	0.0	0.0	11.83	10.6	11.07
Cdc25c	0.0	0.0	0.0	0.31	0.55	0.42
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chic1	0.0	0.08	0.0	18.13	17.18	18.35
Clcn5	0.0	0.0	0.0	4.91	4.76	5.13
Cnst	0.0	0.0	0.0	33.05	32.81	30.83
Coro1c	0.0	0.0	0.0	65.37	68.38	64.96
D330041H03Rik	0.0	0.0	1.68	4.13	2.89	4.82
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dbnl	0.0	0.0	257.09	58.85	63.6	67.0
Dido1	0.0	0.0	0.0	34.31	33.36	36.3
Dnaja4	0.0	0.0	0.0	48.35	47.81	46.55
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dync2li1	0.0	0.0	0.0	26.63	26.71	26.4
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
E130309D02Rik	0.0	0.0	0.0	20.56	22.19	21.61
Ears2	0.0	0.0	0.0	6.62	7.09	8.39
Ebf4	0.0	0.0	0.0	9.17	8.46	10.38
Eif2c3	0.0	0.0	0.0	11.74	7.79	13.09
Eif3b	0.0	0.0	0.0	73.74	78.47	72.41
Entpd4	0.0	0.0	0.0	98.2	97.74	126.54
Eps8l1	0.0	0.0	0.0	2.3	4.3	1.14
Fam63a	0.0	0.0	0.0	16.34	18.08	17.05
Fbxl6	0.0	0.0	0.0	32.27	35.56	34.69
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gatad2b	0.0	0.0	0.0	33.12	33.16	38.11
Gdpd3	0.0	0.0	0.0	6.33	1.42	1.27
Gdpd5	0.0	0.0	0.0	22.07	24.28	25.67
Gm14431	0.0	0.0	2.51	8.87	7.17	8.34
Gm14873	0.0	0.0	0.0	3.19	1.66	2.48
Gm5878	0.0	0.0	0.0	0.0	0.02	0.02
Gm8898	0.0	0.0	2.51	8.87	7.17	8.34
Gpc6	0.0	0.3	0.0	5.57	5.69	6.21
