	Cux2_tdTpositive_cell_94	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_33	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_187	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1110008P14Rik	1632.4	1116.67	0.0	0.0	797.29	0.0	0.0	568.65	695.98	468.9	549.67	50.84	128.37	1005.34	359.42	397.41	466.79	197.96	496.4	165.06	0.0	144.46	47.12	115.77	195.69	399.87	241.34
1700016D06Rik	13.1	12.74	0.0	0.0	4.6	1.08	7.11	12.96	5.54	7.26	7.54	0.96	2.34	4.35	2.76	6.18	7.49	11.83	18.07	7.34	0.0	2.19	1.64	2.53	2.1	1.67	2.25
2010300C02Rik	187.41	117.96	0.0	0.0	0.08	0.0	0.67	6.88	0.0	0.0	8.39	7.83	72.86	26.3	34.4	23.02	56.7	42.4	9.45	0.7	0.0	35.51	3.65	30.13	39.66	7.2	2.94
2210039B01Rik	30.96	66.95	0.0	0.0	27.79	10.54	0.17	23.08	1.02	24.84	4.12	6.94	3.06	2.56	1.69	11.47	3.91	116.66	168.85	9.88	0.0	4.41	1.34	0.0	9.81	7.69	2.78
2610044O15Rik	274.95	337.57	0.0	0.0	0.72	3.49	0.0	235.2	40.04	4.76	181.03	83.07	9.59	47.66	4.22	32.36	11.44	29.5	270.45	214.03	0.0	8.49	12.08	4.05	15.97	0.8	1.86
4921513I03Rik	7.41	11.14	0.0	0.0	0.0	0.47	0.0	3.6	2.22	2.5	1.47	3.18	3.26	2.79	2.74	1.69	1.94	7.99	15.58	6.18	0.22	0.31	0.43	0.76	3.14	1.52	0.34
4930519G04Rik	13.62	10.67	0.17	0.0	2.02	4.25	0.86	8.6	5.22	6.33	3.04	3.13	3.53	4.12	1.45	3.97	2.04	7.01	23.33	4.37	0.55	0.65	1.32	1.27	1.07	0.75	0.59
4933407C03Rik	224.67	324.22	0.0	0.0	40.16	127.87	0.04	297.86	168.78	90.79	118.76	65.96	19.22	30.42	62.63	77.7	97.76	8.85	227.2	49.87	0.0	90.09	34.39	26.19	15.18	17.92	6.04
6430550D23Rik	2.12	3.14	0.0	0.0	1.2	0.0	0.0	0.61	0.0	0.31	0.21	0.76	0.0	0.0	0.17	0.15	0.0	0.32	2.02	0.0	0.0	0.0	0.26	0.0	0.27	0.54	0.24
9130221F21Rik	27.03	26.78	0.51	0.0	7.16	3.93	2.91	29.57	17.01	16.01	8.31	3.35	11.2	7.27	3.47	15.26	10.52	39.47	32.01	30.3	0.0	6.46	4.62	2.33	1.07	2.08	2.08
