	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_1	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
0610007P14Rik	285.23	0.0	0.0	0.0	129.29	0.0	0.53	88.85	181.32	147.75	244.7	178.36	133.16	41.01	68.21	83.41	293.45	64.9	209.66	48.22	99.98	38.36	161.33	128.95	141.39	0.0	172.26	106.32	292.36	0.59
3632451O06Rik	0.0	0.0	0.0	0.0	12.51	0.0	0.66	3.83	0.0	72.87	146.72	102.91	12.36	122.2	35.04	88.12	0.28	0.0	103.57	0.0	64.0	57.92	0.0	109.34	58.47	0.0	0.0	0.82	89.06	0.0
5330434G04Rik	0.0	0.0	0.0	0.0	36.56	0.0	0.0	8.9	29.39	82.06	34.05	56.5	46.53	64.67	33.21	6.18	26.5	1.32	104.72	34.54	12.17	44.09	18.16	20.93	13.18	20.11	3.58	58.74	81.78	0.0
9930021J03Rik	0.0	0.0	0.0	0.0	0.98	0.0	0.0	9.31	6.92	2.37	0.31	6.87	19.41	5.4	14.51	15.16	1.61	0.0	22.1	22.17	0.88	0.0	1.46	13.02	20.14	30.31	15.44	6.66	0.7	0.0
Arfgef2	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.08	4.29	10.47	11.67	2.14	0.0	10.23	6.2	4.37	0.09	9.58	33.27	6.95	2.17	15.04	14.45	8.81	0.0	24.5	13.27	4.36	0.61	0.0
Atpaf1	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.91	26.97	3.98	5.37	41.9	8.14	32.96	0.44	39.44	0.0	110.04	82.57	2.57	8.32	17.11	0.0	0.0	48.02	66.81	0.46	0.0	0.5	0.29
Bag5	0.0	0.0	0.0	0.0	51.95	0.0	0.0	90.45	8.33	41.36	25.45	81.14	0.0	116.28	42.02	28.44	223.1	33.67	114.59	234.61	2.02	6.54	0.0	33.91	150.75	0.0	9.65	67.25	40.75	0.0
Cdc37l1	0.0	0.0	0.0	72.89	19.53	77.81	0.24	6.42	0.38	170.47	94.97	50.35	42.46	46.65	22.8	89.95	32.24	91.82	108.16	22.55	21.91	61.48	9.27	5.97	36.4	12.21	14.17	92.97	37.77	0.0
Cdr1	0.0	0.0	0.0	0.0	96.17	0.0	0.0	64.19	47.5	85.92	140.74	110.68	129.29	135.65	37.4	73.33	85.72	12.54	139.68	0.49	50.28	125.28	69.32	65.84	139.13	15.12	182.77	83.73	104.56	0.0
Chchd3	146.96	0.0	0.0	0.0	145.78	0.0	0.0	170.23	246.08	144.25	75.2	349.94	381.68	234.27	360.64	374.51	588.0	395.86	430.44	219.82	264.35	54.42	85.37	147.9	364.71	222.4	170.51	277.42	121.67	0.0
Dap3	0.0	6.9	0.06	0.37	133.98	0.0	1.11	117.39	65.1	132.95	92.08	59.11	106.26	53.52	37.25	50.2	112.52	61.0	214.17	69.2	51.76	65.78	66.59	106.47	28.91	14.4	54.43	71.71	59.31	1.68
Dnajb9	0.0	0.0	0.0	0.0	47.02	9.87	0.0	14.8	0.0	8.76	0.0	0.0	20.97	40.27	6.04	0.0	4.6	36.01	151.1	0.0	6.97	33.56	33.85	62.56	38.21	1.12	94.34	108.89	85.24	0.0
Efcab2	0.0	0.0	0.0	0.0	17.22	0.0	0.0	0.55	0.0	3.95	0.0	31.36	0.0	33.4	0.0	29.72	0.0	8.33	81.93	0.0	8.75	0.11	0.0	0.0	45.37	56.3	0.0	81.13	63.07	0.0
Frat1	1.59	0.0	0.0	0.24	31.32	0.0	0.0	114.06	52.15	79.64	34.38	172.08	141.59	71.05	72.98	44.5	82.71	0.0	172.5	0.0	37.79	38.69	12.67	52.08	61.2	0.16	76.0	93.42	25.54	0.0
Gabra4	51.35	0.0	0.0	0.0	114.52	0.4	0.0	69.02	124.4	133.18	156.76	102.68	361.8	192.86	188.69	72.86	75.41	45.39	386.33	0.54	75.24	204.16	80.56	84.76	225.66	130.3	11.17	137.4	62.92	0.0
Galnt13	0.03	0.0	0.0	0.0	3.75	0.0	0.11	0.1	24.08	8.63	12.6	53.06	56.8	9.74	0.08	3.95	0.11	47.15	44.75	17.42	0.0	21.07	17.21	18.58	4.14	44.73	13.54	8.04	21.55	0.0
Gm13629	0.19	0.0	0.0	0.0	139.48	0.0	0.0	299.61	658.51	148.87	189.26	227.14	188.22	278.62	300.87	101.04	577.62	204.12	589.91	67.62	172.68	248.67	215.47	243.95	390.74	288.81	142.01	188.41	107.68	0.0
Hemk1	105.38	0.0	0.0	0.0	0.58	0.0	0.0	0.64	0.22	1.37	0.0	17.48	0.85	1.49	0.46	0.89	0.35	0.0	84.17	1.2	6.23	0.38	10.29	13.06	0.2	45.59	0.21	6.42	0.27	0.0
Hmg20a	1.86	0.0	0.0	0.0	12.61	0.0	0.0	0.0	12.09	29.87	1.4	85.55	54.17	20.89	43.73	42.88	6.94	0.13	100.78	4.71	16.68	70.58	20.66	5.9	13.95	7.11	0.0	75.05	6.83	0.0
Hspa12a	0.0	0.0	0.0	0.0	21.12	0.0	0.0	26.97	22.26	59.54	45.17	45.81	50.68	26.1	54.64	103.38	0.13	0.16	82.4	45.01	39.09	34.4	21.1	40.71	26.89	18.81	64.2	40.13	12.33	0.0
Itm2c	35.81	0.0	0.0	5.49	20.66	0.0	9.37	3.49	0.0	2.3	8.28	19.3	23.6	1.08	0.25	44.28	0.0	0.23	31.18	0.37	10.68	20.18	44.33	23.65	60.48	24.15	7.52	53.08	44.43	0.0
Kcnab1	0.0	0.0	0.0	0.0	475.12	0.0	0.0	424.77	312.96	437.57	684.16	669.3	724.18	595.28	679.62	504.97	132.29	51.64	1049.04	416.28	426.89	439.02	387.08	554.35	457.26	487.23	133.06	416.82	490.77	0.0
Ldhb	8970.97	5404.32	5274.92	3693.02	8752.31	3732.24	2911.44	8750.45	10894.4	8892.3	8583.06	8517.89	9220.91	9343.6	8808.99	10165.1	9166.61	9602.81	7167.6	11261.44	9074.03	13571.31	12546.17	8513.41	9755.78	8904.1	11010.48	10182.84	11746.38	5577.5
Luzp1	0.0	0.0	0.0	43.63	5.6	0.0	0.0	19.93	26.74	39.77	23.22	105.4	29.81	11.79	26.92	21.09	15.06	0.06	85.52	7.05	12.83	35.59	4.7	25.63	4.66	66.96	52.09	41.44	13.01	0.0
Mipep	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.12	39.17	33.62	0.0	0.0	5.43	4.86	0.54	0.0	0.0	42.99	0.0	0.0	0.0	0.0	0.0	13.07	0.0	0.0	0.0	30.4	0.0
Mrpl4	11.88	2.21	0.0	0.0	283.54	0.0	0.0	296.9	264.44	220.11	84.07	267.86	298.34	426.71	390.72	124.05	227.93	37.72	231.31	196.06	264.78	182.51	123.89	191.11	359.53	281.64	285.91	278.1	272.73	0.54
Mrps11	291.5	0.0	0.0	0.0	152.5	0.0	0.0	126.72	154.27	163.34	188.29	207.24	124.88	98.16	283.47	170.87	72.82	81.99	316.09	127.37	219.54	255.63	114.39	137.09	215.39	151.59	296.14	172.36	129.45	0.0
Opcml	0.0	0.0	0.0	0.12	100.94	0.3	0.0	81.28	57.88	108.66	124.52	141.51	99.08	110.69	43.98	143.62	87.04	19.6	116.37	74.18	27.6	43.62	53.53	117.72	129.46	29.85	36.21	57.91	43.62	0.0
Pcgf5	69.17	0.0	0.0	0.0	0.28	0.0	0.0	11.52	53.18	195.82	76.82	111.5	154.59	0.0	59.82	0.0	0.0	0.0	224.28	0.0	34.73	11.06	49.86	43.17	62.03	23.77	71.64	74.05	0.0	0.0
Pdxdc1	3.27	4.63	3.24	6.84	46.4	18.15	10.4	35.16	3.48	65.18	42.26	65.39	85.4	51.7	76.84	67.05	183.78	4.47	228.04	40.28	40.78	47.83	33.1	3.42	124.24	2.64	59.57	3.38	21.36	7.16
Pfkfb3	0.0	0.0	0.11	0.13	0.25	0.0	0.27	0.0	0.0	14.15	13.67	0.15	1.29	0.34	0.0	7.73	0.0	0.23	18.5	1.14	0.0	0.64	1.22	0.66	0.16	1.04	0.4	13.27	0.09	0.0
Pigm	0.44	0.0	0.0	0.27	0.76	0.11	0.29	4.94	0.69	2.81	2.05	7.96	13.38	16.76	0.4	15.91	4.42	12.55	26.56	0.23	0.34	11.63	1.06	10.81	6.19	0.56	1.15	5.6	1.38	0.06
