	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_49	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700063D05Rik	0.0	2.84	0.98	0.0	0.36	0.17	3.84	0.56	1.5	0.0	1.93	0.0	0.0	0.63	0.0	4.64	2.23	1.38	0.66	0.0	74.31	1.55	5.26	5.72	6.69
1700110I01Rik	0.0	0.0	0.0	0.0	0.03	0.07	0.0	0.34	0.0	0.0	0.23	0.14	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.52	12.44	0.19	1.64	1.05	1.89
2210411K11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	3.26	3.81	4.05
2610305D13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.73	0.0	0.69	0.55	0.78
2810408I11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.85	4.11	1.01	1.22	0.15
4930412F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	2.37	1.3	1.33	1.4
A430084P05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.1
Acad10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	0.0	3.38	0.08	0.0	0.17	0.0	0.0	0.0	0.0	7.86	1.67	2.44	3.02	2.41
Aldoc	966.34	151.28	980.31	129.4	839.87	0.46	84.48	0.34	0.0	237.85	66.1	0.13	56.87	0.0	0.33	0.09	52.01	217.0	21.71	0.26	2013.39	145.45	798.66	828.67	817.03
Amot	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.0	0.0	0.0	17.79	0.03	0.03	12.71	0.0	0.0	0.0	0.0	0.0	0.0	22.55	0.59	9.57	8.69	9.56
B3gnt7	0.0	0.0	0.0	0.0	0.0	0.0	4.04	0.0	0.0	0.0	18.05	0.0	0.0	0.11	0.0	0.0	22.85	0.09	0.26	0.0	41.29	1.99	0.76	0.9	1.3
Btd	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.64	16.45	9.04	11.02	8.92
Capn5	0.0	0.0	0.0	0.0	15.53	0.0	20.95	0.06	32.24	26.76	0.0	30.18	21.9	18.37	0.06	0.07	5.88	0.05	24.06	0.1	37.87	2.71	34.6	32.35	35.1
Cass4	0.37	0.18	0.0	0.69	0.31	0.15	0.0	0.0	0.13	0.07	0.11	0.06	10.74	0.07	0.67	0.09	0.13	0.12	0.13	0.12	25.35	4.34	2.32	1.59	2.18
Ccdc112	0.0	0.37	0.0	0.0	0.0	0.0	0.0	9.04	0.0	0.84	6.56	0.0	0.0	0.0	0.0	11.39	0.0	0.08	0.0	0.0	31.66	3.44	10.48	10.78	9.82
Ccl27b	8.68	11.32	0.0	4.28	0.03	0.0	0.0	0.0	0.0	2.47	0.77	0.0	2.79	1.65	0.13	2.24	4.31	4.89	0.0	4.62	1.88	76.52	30.63	28.29	22.96
Cct6b	0.31	0.0	0.0	0.53	0.05	0.13	0.24	0.0	0.14	0.0	0.0	0.49	0.12	0.16	0.16	0.27	0.14	0.0	0.51	0.5	14.19	0.0	0.26	0.61	0.5
Cd59b	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.86	0.46	0.57	0.52	1.12
Cdh24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	10.45	10.94	11.28
Chst1	7.63	8.97	0.0	0.0	0.03	5.55	30.33	16.06	2.42	2.08	0.85	0.65	69.21	16.44	1.03	27.47	24.12	1.2	2.31	0.0	82.8	62.45	206.13	226.17	215.2
D630042P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.69	0.0	0.08	0.14	0.16
