	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_38	Rorb_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_35
1810055G02Rik	0.0	61.84	106.61	0.05	0.36	0.29	1.83	163.46	6.87	0.09	543.2	2.37	0.0	158.46	159.54	230.76	34.55	64.09	158.29
4921517L17Rik	0.0	4.45	0.0	0.05	0.0	0.0	0.0	83.25	0.5	0.0	1.95	0.35	0.0	2.34	0.0	0.0	0.0	2.75	0.0
4933405D12Rik	4.14	8.66	9.91	6.35	19.02	18.19	2.96	14.98	13.02	5.62	21.4	14.22	3.84	22.31	10.73	3.28	12.54	11.27	15.52
Ablim1	0.0	18.98	28.99	1.68	5.35	0.0	13.13	44.46	18.27	6.99	88.23	45.75	0.0	193.75	9.74	0.0	5.07	16.56	67.91
Acat1	136.09	28.06	94.17	81.5	39.56	231.66	75.59	2.76	0.11	103.75	273.12	305.68	0.11	239.95	41.7	178.82	0.27	162.15	126.13
Arf1	437.56	768.9	566.53	401.28	368.72	1323.92	301.36	623.93	736.98	424.27	807.19	1086.42	1132.35	777.3	909.25	726.34	1197.53	713.6	787.71
Arl6ip5	1511.06	818.54	364.04	740.46	195.06	174.46	578.95	532.21	164.56	334.3	478.47	119.05	452.36	1003.64	713.75	0.3	501.56	868.7	851.11
B230208H11Rik	3.18	8.95	6.72	3.09	2.43	11.41	1.74	10.18	7.4	4.8	13.66	12.95	6.15	8.37	9.33	5.03	5.59	8.32	8.54
Ccl27b	0.0	60.41	88.08	2.22	12.68	39.72	54.38	210.46	98.78	98.8	217.8	170.68	32.42	408.42	296.35	54.51	0.0	199.04	220.55
Cdh8	3.39	61.68	10.85	0.03	14.09	1.57	0.18	190.61	128.63	0.05	32.73	141.46	23.62	26.4	72.9	0.0	0.9	121.89	291.2
Cuta	91.72	167.51	154.58	0.73	139.21	225.8	0.0	381.56	0.0	340.56	257.49	313.33	89.04	215.6	432.67	120.05	0.0	273.79	336.05
E330020D12Rik	0.0	2.17	8.76	3.35	0.0	0.39	6.44	19.55	0.81	7.17	23.46	5.19	0.0	16.84	8.8	0.09	1.34	10.1	16.06
Gm13306	0.0	60.41	88.08	2.22	12.68	39.72	54.38	210.46	98.78	98.8	217.8	170.68	32.42	408.42	296.35	54.51	0.0	199.04	220.55
Gm2002	0.0	0.07	0.04	0.0	0.0	0.0	0.0	0.4	0.0	0.03	0.12	0.39	0.0	0.59	0.41	0.0	0.0	0.89	0.0
Gm2506	0.0	60.41	88.08	2.22	12.68	39.72	54.38	210.46	98.78	98.8	217.8	170.68	32.42	408.42	296.35	54.51	0.0	199.04	220.55
Hars2	57.92	0.0	0.0	0.0	0.0	0.0	0.0	0.07	34.85	50.92	0.06	0.0	0.0	100.37	0.0	0.0	0.0	0.0	154.75
Ift46	4.07	2.73	0.93	2.28	208.81	3.9	1.78	175.04	10.11	102.03	15.33	249.9	1.27	0.66	136.64	135.34	2.29	55.1	37.32
Il11ra2	0.0	0.07	0.04	0.0	0.0	0.0	0.0	0.4	0.0	0.03	0.12	0.39	0.0	0.59	0.41	0.0	0.0	0.89	0.0
Ipo9	11.53	27.82	1.16	70.99	28.19	124.91	55.07	54.05	88.52	36.85	127.6	73.27	0.06	96.84	44.97	44.18	23.88	167.02	75.17
Lztfl1	0.0	57.43	10.31	0.03	0.0	0.0	24.34	149.53	22.8	0.1	121.55	19.09	0.0	67.88	10.05	0.68	0.0	82.39	1.24
Nop10	82.33	415.2	169.41	247.91	240.69	211.2	123.24	284.41	334.73	101.3	288.16	169.5	155.55	427.98	385.43	147.93	226.84	197.87	152.3
Opa3	0.44	0.86	1.72	2.56	1.37	1.57	3.62	10.86	3.18	1.93	184.49	4.73	2.36	160.46	4.66	2.87	15.96	86.33	31.41
Pura	0.0	3.67	0.0	2.34	3.81	35.84	0.0	123.49	34.24	5.42	17.01	5.13	0.5	0.0	58.23	0.75	21.63	36.46	16.83
Rap1b	0.0	0.9	86.39	0.05	0.0	0.0	52.14	205.39	14.03	124.91	93.89	0.0	0.0	175.47	101.19	84.13	10.87	189.93	0.0
Rbak	0.23	1.04	0.39	0.7	0.33	0.93	0.76	1.38	1.15	0.37	33.5	1.45	0.28	3.94	2.03	0.1	0.38	0.48	1.11
Rpl18a	583.78	365.7	484.2	246.1	228.58	291.14	121.92	368.14	360.31	340.29	485.88	344.16	504.75	508.45	317.5	248.22	388.65	307.73	631.04
Rpl37	237.14	247.22	307.88	307.82	242.54	187.49	404.74	376.43	231.97	269.78	319.21	378.75	216.14	363.62	424.24	295.15	242.23	250.23	406.71
Rpl8	576.02	358.93	438.17	146.66	987.55	0.67	256.22	633.07	200.07	323.31	628.85	464.16	276.87	286.78	676.88	386.59	185.56	377.79	422.19
Rps27a	140.2	609.04	126.31	575.41	284.15	367.85	142.51	717.81	331.64	267.11	617.03	428.32	403.3	424.81	523.17	413.5	273.19	825.55	384.15
Smcr7l	250.16	131.99	18.1	0.06	0.13	0.0	12.84	134.46	45.51	4.24	119.14	110.93	3.0	59.68	68.07	0.0	155.92	79.82	137.61
Snap25	26182.83	20995.4	19986.44	24880.43	21540.55	25194.29	22198.58	20475.86	24000.2	21827.11	19565.51	22188.29	24648.02	18246.22	21855.18	23051.34	25542.47	20633.02	19905.31
Stk25	33.79	20.41	149.63	2.08	2.45	2.52	5.05	210.35	73.58	148.44	138.45	211.65	71.3	216.69	68.97	49.6	134.09	293.51	170.15
Susd4	0.0	4.06	0.05	0.15	0.0	232.33	0.0	188.45	0.0	0.0	0.1	145.94	0.0	207.2	0.65	0.0	0.94	0.12	27.84
Timm22	196.81	149.69	45.12	12.42	23.16	7.48	23.75	19.37	121.21	119.3	173.25	134.83	43.39	129.38	69.29	85.12	3.52	23.67	144.94
Vps25	0.0	209.3	2.48	120.86	0.0	8.5	145.13	248.7	0.55	15.23	300.26	406.29	199.1	373.16	151.38	0.38	0.0	0.12	218.13
Vps28	428.62	308.71	388.93	563.43	0.0	831.49	277.37	855.39	498.0	338.91	900.92	987.74	195.64	902.2	588.17	729.01	1864.54	353.98	493.89
