	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_6	Gad2_tdTpositive_cell_16	Htr3a_tdTpositive_cell_12	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_143	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_20	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_9	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_42	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_51	Rorb_tdTpositive_cell_53	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_17
1700086O06Rik	0.0	0.0	2.65	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	1.53	6.08	12.95	0.0	0.21	12.0	0.69	0.0	57.34	3.31	0.0	0.0	0.0	0.0	0.11	0.65	0.33	2.26	1.24	0.0	0.0	0.0	0.0	0.0	0.0	31.53	0.0	0.0	0.0	0.23	1.2	0.0	0.0	0.0	0.0
2900097C17Rik	0.1	0.0	302.41	614.12	0.0	861.06	0.0	454.76	544.98	11.01	1665.05	953.36	1564.9	290.55	128.7	2494.17	2908.9	2600.2	1649.85	310.82	167.61	427.86	201.87	217.89	0.91	1.37	3.24	837.5	2.37	1262.08	322.29	1469.6	0.12	0.28	1602.79	1155.15	1203.3	1636.15	6.78	2266.72	1742.79	866.9	1056.12	0.2	0.0	0.0
Abcb6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17	15.93	6.83	0.0	0.0	8.38	82.16	0.0	0.0	0.0	0.0	35.93	14.75	0.0	4.73	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.22	8.04	0.0	0.0	0.0	0.0	0.0
Atp5o	0.0	1.13	934.8	1033.68	0.0	1820.36	253.0	0.0	1789.99	15.85	1676.49	1650.96	2131.1	1981.99	1262.99	1139.4	1581.87	1489.96	1544.91	1815.27	1531.08	1285.98	2367.93	1931.44	1.32	177.79	1094.92	574.75	982.22	0.0	293.0	449.15	0.0	0.0	1489.58	30.68	1776.93	1212.0	698.07	1088.0	1787.36	924.65	687.93	909.77	0.0	641.43
Atp6v0c	0.0	0.0	0.0	782.43	396.05	1351.46	304.83	0.0	1035.1	62.33	1250.6	1806.66	1307.37	1877.85	2325.12	1875.01	2392.4	1756.57	1370.93	818.42	1109.51	471.89	1428.83	1555.34	0.0	1045.43	1976.19	991.68	1007.36	507.91	0.0	748.73	764.5	0.0	2563.37	533.36	1283.89	2294.46	0.0	1923.82	2525.19	0.0	177.53	839.16	1363.96	207.05
B230209E15Rik	0.0	0.0	0.0	75.38	1.17	43.44	0.0	0.0	15.21	0.51	63.09	41.04	87.98	79.94	87.18	84.28	113.01	141.39	225.82	13.1	23.52	98.49	103.67	69.71	0.31	0.58	1.07	150.06	0.76	0.0	0.32	0.0	0.0	0.0	201.44	142.27	148.29	154.79	1.02	45.49	116.36	30.39	0.0	0.48	0.0	0.0
Bcap29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	1.78	185.05	116.1	35.63	31.34	113.28	354.26	154.99	310.68	130.57	0.0	127.07	29.16	94.59	212.59	0.0	0.0	0.0	132.23	0.0	0.0	0.0	55.46	0.0	0.52	213.97	0.0	144.48	146.96	0.23	105.71	119.08	0.0	0.56	0.0	0.0	0.0
Ccl27b	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	10.7	0.81	54.72	30.68	0.23	50.62	21.3	2.24	42.87	25.58	0.47	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	32.77	43.11	150.8	44.3	0.46	0.49	42.6	49.16	0.0	0.0	0.0	0.0
Cryba2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	46.36	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cxx1c	14.26	0.0	0.0	208.76	0.0	233.85	0.0	937.42	138.57	32.23	774.35	359.65	525.72	452.12	364.38	519.57	647.53	1029.78	550.25	404.13	891.34	824.19	596.12	491.88	0.7	0.97	0.8	339.01	0.0	0.0	0.0	0.0	0.0	0.0	647.19	256.61	537.4	741.69	143.22	812.63	1336.9	816.68	742.65	0.0	0.0	0.0
