	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_12	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008J03Rik	0.0	1.75	83.06	111.52	0.0	0.0	0.0	73.19	0.56	62.17	0.0	0.0	0.0	0.0	6.93	3.35	0.83	20.09	0.0	0.0	123.73	39.29	117.42	49.98	0.0	0.0	18.42	0.0	207.23	0.0	212.31	0.0	9.09	0.0	0.0	20.61	22.3	19.98
2610002J02Rik	0.0	0.0	0.0	87.44	0.0	0.0	0.0	125.67	0.0	0.0	74.01	0.0	112.99	79.81	0.0	269.2	0.0	0.0	56.31	0.0	0.0	0.0	0.0	28.6	0.0	0.0	12.44	0.0	253.2	0.0	0.0	0.0	13.51	113.1	0.0	25.55	28.57	26.96
2700078E11Rik	0.0	0.0	0.61	8.72	0.0	0.0	0.0	0.0	0.31	0.39	0.0	0.0	0.25	0.0	0.0	76.49	7.12	0.0	0.0	2.13	49.15	6.51	16.33	19.32	0.0	0.0	12.3	0.0	140.52	4.2	3.7	1.5	13.79	13.08	1.35	38.47	35.4	36.85
4921517L17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.68	16.91	0.0	29.52	0.0	0.0	0.0	0.0	168.72	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.82	0.62	0.0	129.54	0.0	0.0	0.0	12.69	0.0	0.0	3.65	3.11	2.99
4933403F05Rik	9.92	8.09	5.52	33.44	0.0	0.0	0.0	48.52	0.0	13.01	9.82	0.0	29.02	10.11	0.0	88.52	0.0	59.88	0.0	0.0	71.17	28.1	6.96	14.15	0.0	0.0	6.47	0.0	109.92	0.0	0.0	29.55	88.2	0.0	0.0	14.24	12.82	13.08
Acaca	0.0	7.74	14.4	38.54	0.0	0.0	1.05	0.0	6.69	0.0	8.29	3.63	0.0	0.0	0.0	6.57	0.0	0.0	0.0	0.0	0.0	0.2	0.0	13.04	0.0	0.0	1.72	0.0	49.35	0.0	0.0	0.0	0.0	8.02	3.22	30.97	27.93	30.45
Adar	11.87	45.92	41.06	36.53	0.0	0.0	17.53	27.24	59.25	32.0	20.28	0.09	30.23	11.29	0.0	92.88	0.11	22.49	7.47	0.0	7.48	32.86	4.16	24.02	0.0	0.11	29.9	0.0	142.9	171.77	108.1	51.07	9.81	37.6	0.0	104.36	101.16	101.08
Agpat6	0.0	0.14	115.2	31.97	0.0	0.0	0.0	48.35	0.0	26.82	70.83	0.13	137.16	0.17	0.0	287.54	48.32	0.08	137.63	114.12	152.61	9.83	0.0	56.67	0.0	0.17	17.56	0.0	273.67	0.0	0.0	0.0	0.0	0.0	0.0	59.42	61.46	58.92
Akap6	0.0	0.05	24.29	52.18	0.0	0.0	0.0	40.33	20.91	39.24	36.77	0.0	33.51	11.15	0.0	60.21	0.21	29.66	52.41	0.0	32.46	21.14	44.9	20.71	0.0	0.0	28.99	0.0	148.9	0.07	0.0	22.64	0.75	33.79	15.36	71.25	63.96	73.31
Akr1e1	0.0	0.22	0.0	96.19	0.0	0.0	0.0	224.45	0.0	59.02	59.79	0.0	0.0	0.0	0.0	370.83	0.0	60.12	58.35	0.0	83.03	37.74	74.62	112.41	0.0	0.0	103.16	0.0	412.48	0.0	5.53	88.02	0.0	0.0	21.13	29.15	29.65	23.32
